"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","metadata_entry_id"
"*/BypassAddUser.exe*",".{0,1000}\/BypassAddUser\.exe.{0,1000}","offensive_tool_keyword","BypassAddUser","Bypass antivirus software to add users","T1562.001 - T1078.002 - T1136.001","TA0005 - TA0003","N/A","N/A","Defense Evasion","https://github.com/TryA9ain/BypassAddUser","1","1","N/A","N/A","6","1","46","8","2020-12-12T05:11:35Z","2020-12-12T04:15:06Z","5871"
"*/BypassAddUser.git*",".{0,1000}\/BypassAddUser\.git.{0,1000}","offensive_tool_keyword","BypassAddUser","Bypass antivirus software to add users","T1562.001 - T1078.002 - T1136.001","TA0005 - TA0003","N/A","N/A","Defense Evasion","https://github.com/TryA9ain/BypassAddUser","1","1","N/A","N/A","6","1","46","8","2020-12-12T05:11:35Z","2020-12-12T04:15:06Z","5872"
"*/BypassAddUser/releases/download/*",".{0,1000}\/BypassAddUser\/releases\/download\/.{0,1000}","offensive_tool_keyword","BypassAddUser","Bypass antivirus software to add users","T1562.001 - T1078.002 - T1136.001","TA0005 - TA0003","N/A","N/A","Defense Evasion","https://github.com/TryA9ain/BypassAddUser","1","1","N/A","N/A","6","1","46","8","2020-12-12T05:11:35Z","2020-12-12T04:15:06Z","5873"
"*/BypassAddUser/tarball/*",".{0,1000}\/BypassAddUser\/tarball\/.{0,1000}","offensive_tool_keyword","BypassAddUser","Bypass antivirus software to add users","T1562.001 - T1078.002 - T1136.001","TA0005 - TA0003","N/A","N/A","Defense Evasion","https://github.com/TryA9ain/BypassAddUser","1","1","N/A","N/A","6","1","46","8","2020-12-12T05:11:35Z","2020-12-12T04:15:06Z","5874"
"*/BypassAddUser/zipball/*",".{0,1000}\/BypassAddUser\/zipball\/.{0,1000}","offensive_tool_keyword","BypassAddUser","Bypass antivirus software to add users","T1562.001 - T1078.002 - T1136.001","TA0005 - TA0003","N/A","N/A","Defense Evasion","https://github.com/TryA9ain/BypassAddUser","1","1","N/A","N/A","6","1","46","8","2020-12-12T05:11:35Z","2020-12-12T04:15:06Z","5875"
"*\BypassAddUser.exe*",".{0,1000}\\BypassAddUser\.exe.{0,1000}","offensive_tool_keyword","BypassAddUser","Bypass antivirus software to add users","T1562.001 - T1078.002 - T1136.001","TA0005 - TA0003","N/A","N/A","Defense Evasion","https://github.com/TryA9ain/BypassAddUser","1","0","N/A","N/A","6","1","46","8","2020-12-12T05:11:35Z","2020-12-12T04:15:06Z","14414"
"*\BypassAddUser-master*",".{0,1000}\\BypassAddUser\-master.{0,1000}","offensive_tool_keyword","BypassAddUser","Bypass antivirus software to add users","T1562.001 - T1078.002 - T1136.001","TA0005 - TA0003","N/A","N/A","Defense Evasion","https://github.com/TryA9ain/BypassAddUser","1","0","N/A","N/A","6","1","46","8","2020-12-12T05:11:35Z","2020-12-12T04:15:06Z","14416"
"*2e10ff03c18dcdeda7ccb185154f17ae29f54920a489edd270c535d7813366e0*",".{0,1000}2e10ff03c18dcdeda7ccb185154f17ae29f54920a489edd270c535d7813366e0.{0,1000}","offensive_tool_keyword","BypassAddUser","Bypass antivirus software to add users","T1562.001 - T1078.002 - T1136.001","TA0005 - TA0003","N/A","N/A","Defense Evasion","https://github.com/TryA9ain/BypassAddUser","1","0","#filehash","N/A","6","1","46","8","2020-12-12T05:11:35Z","2020-12-12T04:15:06Z","23983"
"*446dded3a070a586ff2c25e9a17784ed650e594e9a08b703c4cbd2662b95c94c*",".{0,1000}446dded3a070a586ff2c25e9a17784ed650e594e9a08b703c4cbd2662b95c94c.{0,1000}","offensive_tool_keyword","BypassAddUser","Bypass antivirus software to add users","T1562.001 - T1078.002 - T1136.001","TA0005 - TA0003","N/A","N/A","Defense Evasion","https://github.com/TryA9ain/BypassAddUser","1","0","#filehash","N/A","6","1","46","8","2020-12-12T05:11:35Z","2020-12-12T04:15:06Z","25640"
"*559b3c946bba5edb17f646da5b0b4e259ad3af12aafea6744b1502230419cd6b*",".{0,1000}559b3c946bba5edb17f646da5b0b4e259ad3af12aafea6744b1502230419cd6b.{0,1000}","offensive_tool_keyword","BypassAddUser","Bypass antivirus software to add users","T1562.001 - T1078.002 - T1136.001","TA0005 - TA0003","N/A","N/A","Defense Evasion","https://github.com/TryA9ain/BypassAddUser","1","0","#filehash","N/A","6","1","46","8","2020-12-12T05:11:35Z","2020-12-12T04:15:06Z","26891"
"*5f76ace41e6efb7af838f936421f53fd66eed1efdcfde03950f3432816fadeed*",".{0,1000}5f76ace41e6efb7af838f936421f53fd66eed1efdcfde03950f3432816fadeed.{0,1000}","offensive_tool_keyword","BypassAddUser","Bypass antivirus software to add users","T1562.001 - T1078.002 - T1136.001","TA0005 - TA0003","N/A","N/A","Defense Evasion","https://github.com/TryA9ain/BypassAddUser","1","0","#filehash","N/A","6","1","46","8","2020-12-12T05:11:35Z","2020-12-12T04:15:06Z","27638"
"*7FDCF4E0-2E6A-43D5-80FB-0A1A40AB3D93*",".{0,1000}7FDCF4E0\-2E6A\-43D5\-80FB\-0A1A40AB3D93.{0,1000}","offensive_tool_keyword","BypassAddUser","Bypass antivirus software to add users","T1562.001 - T1078.002 - T1136.001","TA0005 - TA0003","N/A","N/A","Defense Evasion","https://github.com/TryA9ain/BypassAddUser","1","0","#GUIDproject","N/A","6","1","46","8","2020-12-12T05:11:35Z","2020-12-12T04:15:06Z","29851"
"*BypassAddUser.exe -*",".{0,1000}BypassAddUser\.exe\s\-.{0,1000}","offensive_tool_keyword","BypassAddUser","Bypass antivirus software to add users","T1562.001 - T1078.002 - T1136.001","TA0005 - TA0003","N/A","N/A","Defense Evasion","https://github.com/TryA9ain/BypassAddUser","1","0","N/A","N/A","6","1","46","8","2020-12-12T05:11:35Z","2020-12-12T04:15:06Z","36468"
"*d8512753450da47e16944a61c468294e7a2617f244bbe6595fedf0249af0bba3*",".{0,1000}d8512753450da47e16944a61c468294e7a2617f244bbe6595fedf0249af0bba3.{0,1000}","offensive_tool_keyword","BypassAddUser","Bypass antivirus software to add users","T1562.001 - T1078.002 - T1136.001","TA0005 - TA0003","N/A","N/A","Defense Evasion","https://github.com/TryA9ain/BypassAddUser","1","0","#filehash","N/A","6","1","46","8","2020-12-12T05:11:35Z","2020-12-12T04:15:06Z","39939"
"*e64efe84d00a0c06cc9672f7d2c96e39c6ef7ef4b8ff1671f35e369a03431af9*",".{0,1000}e64efe84d00a0c06cc9672f7d2c96e39c6ef7ef4b8ff1671f35e369a03431af9.{0,1000}","offensive_tool_keyword","BypassAddUser","Bypass antivirus software to add users","T1562.001 - T1078.002 - T1136.001","TA0005 - TA0003","N/A","N/A","Defense Evasion","https://github.com/TryA9ain/BypassAddUser","1","0","#filehash","N/A","6","1","46","8","2020-12-12T05:11:35Z","2020-12-12T04:15:06Z","42172"
"*TryA9ain/BypassAddUser*",".{0,1000}TryA9ain\/BypassAddUser.{0,1000}","offensive_tool_keyword","BypassAddUser","Bypass antivirus software to add users","T1562.001 - T1078.002 - T1136.001","TA0005 - TA0003","N/A","N/A","Defense Evasion","https://github.com/TryA9ain/BypassAddUser","1","1","N/A","N/A","6","1","46","8","2020-12-12T05:11:35Z","2020-12-12T04:15:06Z","61666"
