"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* CMLoot.ps1*","N/A","offensive_tool_keyword","CMLoot","Find interesting files stored on (System Center) Configuration Manager (SCCM/CM) SMB shares","T1083 - T1039","TA0007 - TA0001","N/A","N/A","Discovery","https://github.com/1njected/CMLoot","1","0","N/A","8","2","129","19","2023-02-05T00:24:31Z","2022-06-02T10:59:21Z"
"* -SCCMHost * -Outfile *","N/A","offensive_tool_keyword","CMLoot","Find interesting files stored on (System Center) Configuration Manager (SCCM/CM) SMB shares","T1083 - T1039","TA0007 - TA0001","N/A","N/A","Discovery","https://github.com/1njected/CMLoot","1","0","N/A","8","2","129","19","2023-02-05T00:24:31Z","2022-06-02T10:59:21Z"
"*/CMLoot.git*","N/A","offensive_tool_keyword","CMLoot","Find interesting files stored on (System Center) Configuration Manager (SCCM/CM) SMB shares","T1083 - T1039","TA0007 - TA0001","N/A","N/A","Discovery","https://github.com/1njected/CMLoot","1","1","N/A","8","2","129","19","2023-02-05T00:24:31Z","2022-06-02T10:59:21Z"
"*/CMLoot.ps1*","N/A","offensive_tool_keyword","CMLoot","Find interesting files stored on (System Center) Configuration Manager (SCCM/CM) SMB shares","T1083 - T1039","TA0007 - TA0001","N/A","N/A","Discovery","https://github.com/1njected/CMLoot","1","1","N/A","8","2","129","19","2023-02-05T00:24:31Z","2022-06-02T10:59:21Z"
"*\CMLoot.ps1*","N/A","offensive_tool_keyword","CMLoot","Find interesting files stored on (System Center) Configuration Manager (SCCM/CM) SMB shares","T1083 - T1039","TA0007 - TA0001","N/A","N/A","Discovery","https://github.com/1njected/CMLoot","1","0","N/A","8","2","129","19","2023-02-05T00:24:31Z","2022-06-02T10:59:21Z"
"*1njected/CMLoot*","N/A","offensive_tool_keyword","CMLoot","Find interesting files stored on (System Center) Configuration Manager (SCCM/CM) SMB shares","T1083 - T1039","TA0007 - TA0001","N/A","N/A","Discovery","https://github.com/1njected/CMLoot","1","1","N/A","8","2","129","19","2023-02-05T00:24:31Z","2022-06-02T10:59:21Z"
"*CMLoot.psm1*","N/A","offensive_tool_keyword","CMLoot","Find interesting files stored on (System Center) Configuration Manager (SCCM/CM) SMB shares","T1083 - T1039","TA0007 - TA0001","N/A","N/A","Discovery","https://github.com/1njected/CMLoot","1","1","N/A","8","2","129","19","2023-02-05T00:24:31Z","2022-06-02T10:59:21Z"
"*CMLoot-main*","N/A","offensive_tool_keyword","CMLoot","Find interesting files stored on (System Center) Configuration Manager (SCCM/CM) SMB shares","T1083 - T1039","TA0007 - TA0001","N/A","N/A","Discovery","https://github.com/1njected/CMLoot","1","1","N/A","8","2","129","19","2023-02-05T00:24:31Z","2022-06-02T10:59:21Z"
"*Invoke-CMLootDownload*","N/A","offensive_tool_keyword","CMLoot","Find interesting files stored on (System Center) Configuration Manager (SCCM/CM) SMB shares","T1083 - T1039","TA0007 - TA0001","N/A","N/A","Discovery","https://github.com/1njected/CMLoot","1","1","N/A","8","2","129","19","2023-02-05T00:24:31Z","2022-06-02T10:59:21Z"
"*Invoke-CMLootExtract*","N/A","offensive_tool_keyword","CMLoot","Find interesting files stored on (System Center) Configuration Manager (SCCM/CM) SMB shares","T1083 - T1039","TA0007 - TA0001","N/A","N/A","Discovery","https://github.com/1njected/CMLoot","1","1","N/A","8","2","129","19","2023-02-05T00:24:31Z","2022-06-02T10:59:21Z"
"*Invoke-CMLootHunt *","N/A","offensive_tool_keyword","CMLoot","Find interesting files stored on (System Center) Configuration Manager (SCCM/CM) SMB shares","T1083 - T1039","TA0007 - TA0001","N/A","N/A","Discovery","https://github.com/1njected/CMLoot","1","0","N/A","8","2","129","19","2023-02-05T00:24:31Z","2022-06-02T10:59:21Z"
"*Invoke-CMLootInventory*","N/A","offensive_tool_keyword","CMLoot","Find interesting files stored on (System Center) Configuration Manager (SCCM/CM) SMB shares","T1083 - T1039","TA0007 - TA0001","N/A","N/A","Discovery","https://github.com/1njected/CMLoot","1","1","N/A","8","2","129","19","2023-02-05T00:24:31Z","2022-06-02T10:59:21Z"
"*src\CMLootOut\*","N/A","offensive_tool_keyword","CMLoot","Find interesting files stored on (System Center) Configuration Manager (SCCM/CM) SMB shares","T1083 - T1039","TA0007 - TA0001","N/A","N/A","Discovery","https://github.com/1njected/CMLoot","1","0","N/A","8","2","129","19","2023-02-05T00:24:31Z","2022-06-02T10:59:21Z"
