"keyword","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* certipy-ad*","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"* -dns-tcp -nameserver * -dc-ip*","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"* -no-pass -dns-tcp -nameserver*","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"* -old-bloodhound*","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"* shadow auto -u * -p * -account *","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"*/Certipy.git*","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","1","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"*/Certipy/*","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","1","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"*certipy account *","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"*certipy auth *","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"*certipy ca *","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"*certipy ca -backup*","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"*certipy cert *","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"*certipy find *","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"*certipy forge *","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"*certipy forge *","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"*certipy relay *","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"*certipy req *","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"*certipy shadow *","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
"*certipy template *","offensive_tool_keyword","Certipy","Tool for Active Directory Certificate Services enumeration and abuse","T1555 T1588 T1552","N/A","N/A","N/A","Exploitation tools","https://github.com/ly4k/Certipy","1","0","N/A","10","10","1812","248","2023-10-26T22:50:10Z","2021-10-06T23:02:40Z"
