"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* acltoolkit*","N/A","offensive_tool_keyword","acltoolkit","acltoolkit is an ACL abuse swiss-army knife. It implements multiple ACL abuses","T1222.001 - T1222.002 - T1046","TA0007 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/zblurx/acltoolkit","1","0","N/A","N/A","2","112","14","2023-02-03T10:27:45Z","2022-01-12T22:45:49Z"
"* give-dcsync*","N/A","offensive_tool_keyword","acltoolkit","acltoolkit is an ACL abuse swiss-army knife. It implements multiple ACL abuses","T1222.001 - T1222.002 - T1046","TA0007 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/zblurx/acltoolkit","1","0","N/A","N/A","2","112","14","2023-02-03T10:27:45Z","2022-01-12T22:45:49Z"
"* give-genericall * -target-sid *","N/A","offensive_tool_keyword","acltoolkit","acltoolkit is an ACL abuse swiss-army knife. It implements multiple ACL abuses","T1222.001 - T1222.002 - T1046","TA0007 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/zblurx/acltoolkit","1","0","N/A","N/A","2","112","14","2023-02-03T10:27:45Z","2022-01-12T22:45:49Z"
"* set-objectowner * -target-sid * -owner-sid *","N/A","offensive_tool_keyword","acltoolkit","acltoolkit is an ACL abuse swiss-army knife. It implements multiple ACL abuses","T1222.001 - T1222.002 - T1046","TA0007 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/zblurx/acltoolkit","1","0","N/A","N/A","2","112","14","2023-02-03T10:27:45Z","2022-01-12T22:45:49Z"
"*/acltoolkit*","N/A","offensive_tool_keyword","acltoolkit","acltoolkit is an ACL abuse swiss-army knife. It implements multiple ACL abuses","T1222.001 - T1222.002 - T1046","TA0007 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/zblurx/acltoolkit","1","1","N/A","N/A","2","112","14","2023-02-03T10:27:45Z","2022-01-12T22:45:49Z"
"*/add_groupmember.py*","N/A","offensive_tool_keyword","acltoolkit","acltoolkit is an ACL abuse swiss-army knife. It implements multiple ACL abuses","T1222.001 - T1222.002 - T1046","TA0007 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/zblurx/acltoolkit","1","1","N/A","N/A","2","112","14","2023-02-03T10:27:45Z","2022-01-12T22:45:49Z"
"*acltoolkit *","N/A","offensive_tool_keyword","acltoolkit","acltoolkit is an ACL abuse swiss-army knife. It implements multiple ACL abuses","T1222.001 - T1222.002 - T1046","TA0007 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/zblurx/acltoolkit","1","0","N/A","N/A","2","112","14","2023-02-03T10:27:45Z","2022-01-12T22:45:49Z"
"*acltoolkit.git*","N/A","offensive_tool_keyword","acltoolkit","acltoolkit is an ACL abuse swiss-army knife. It implements multiple ACL abuses","T1222.001 - T1222.002 - T1046","TA0007 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/zblurx/acltoolkit","1","1","N/A","N/A","2","112","14","2023-02-03T10:27:45Z","2022-01-12T22:45:49Z"
"*acltoolkit-ad*","N/A","offensive_tool_keyword","acltoolkit","acltoolkit is an ACL abuse swiss-army knife. It implements multiple ACL abuses","T1222.001 - T1222.002 - T1046","TA0007 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/zblurx/acltoolkit","1","1","N/A","N/A","2","112","14","2023-02-03T10:27:45Z","2022-01-12T22:45:49Z"
"*acltoolkit-main*","N/A","offensive_tool_keyword","acltoolkit","acltoolkit is an ACL abuse swiss-army knife. It implements multiple ACL abuses","T1222.001 - T1222.002 - T1046","TA0007 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/zblurx/acltoolkit","1","1","N/A","N/A","2","112","14","2023-02-03T10:27:45Z","2022-01-12T22:45:49Z"
"*give_dcsync.py*","N/A","offensive_tool_keyword","acltoolkit","acltoolkit is an ACL abuse swiss-army knife. It implements multiple ACL abuses","T1222.001 - T1222.002 - T1046","TA0007 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/zblurx/acltoolkit","1","1","N/A","N/A","2","112","14","2023-02-03T10:27:45Z","2022-01-12T22:45:49Z"
"*set_logon_script.py*","N/A","offensive_tool_keyword","acltoolkit","acltoolkit is an ACL abuse swiss-army knife. It implements multiple ACL abuses","T1222.001 - T1222.002 - T1046","TA0007 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/zblurx/acltoolkit","1","0","N/A","N/A","2","112","14","2023-02-03T10:27:45Z","2022-01-12T22:45:49Z"
