"keyword","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*\adprinterpipe*","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\AnyDesk (1).exe*","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\AnyDesk.exe*","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\AnyDesk\connection_trace.txt*","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\anydesk\printer_driver*","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\AnyDesk\service.conf*","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\AnyDeskPrintDriver.cat*","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\anydeskprintdriver.inf*","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\AppData\Roaming\AnyDesk\system.conf*","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\AppData\Roaming\AnyDesk\user.conf*","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*\Prefetch\ANYDESK.EXE*","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*anydesk.exe --set-password*","greyware_tool_keyword","anydesk","setting the AnyDesk service password manually","N/A","N/A","N/A","N/A","RMM","https://thedfirreport.com/2023/04/03/malicious-iso-file-leads-to-domain-wide-ransomware/","1","0","N/A","5","10","N/A","N/A","N/A","N/A"
"*boot.net.anydesk.com*","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","1","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*C:\Program Files (x86)\AnyDesk*","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*Desktop\AnyDesk.lnk*","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*discordapp.com/attachments/*/AnyDesk.exe*","offensive_tool_keyword","anydesk","Fake Anydesk distributed by discord - mars stealer","T1566 T1587","N/A","N/A","N/A","Malware","https://www.virustotal.com/gui/url/f83616f0f9cd2337ed40e22b0a675a99d58edf004b31645f56f28f020f5e4f46/detection","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"*HKCR\.anydesk\*","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","0","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
"*relay-*.net.anydesk.com*","greyware_tool_keyword","anydesk","Anydesk RMM usage","T1021 - T1071 - T1090","TA0008 - TA0011","N/A","N/A","RMM","https://anydesk.com/","1","1","risk of false positives - compliance detection","10","10","N/A","N/A","N/A","N/A"
