"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","metadata_entry_id"
"* DigitalOceanProxyTab.java*",".{0,1000}\sDigitalOceanProxyTab\.java.{0,1000}","offensive_tool_keyword","burpsuite","A BurpSuite extension to deploy an OpenVPN config file to DigitalOcean and set up a SOCKS proxy to route traffic through it","T1592 - T1021 - T1573 - T1090 - T1071","TA0005","N/A","Black Basta","Defense Evasion","https://github.com/honoki/burp-digitalocean-openvpn-socks","1","0","N/A","N/A","10","1","49","9","2024-02-26T13:59:20Z","2024-02-26T13:59:17Z","842"
"*/awesome-burp-extensions/*",".{0,1000}\/awesome\-burp\-extensions\/.{0,1000}","offensive_tool_keyword","burpsuite","Collection of burpsuite plugins","T1556 - T1556.001 - T1556.002 - T1556.003 - T1557 - T1558 - T1573 - T1574","TA0003 - TA0004 - TA0005 - TA0006 - TA0008","N/A","Black Basta","Exploitation tool","https://github.com/Mr-xn/BurpSuite-collections","1","1","N/A","network exploitation tool","9","10","3533","676","2025-03-05T12:04:51Z","2020-01-25T02:07:37Z","5507"
"*/burp/releases/community/latest*",".{0,1000}\/burp\/releases\/community\/latest.{0,1000}","offensive_tool_keyword","burpsuite","The class-leading vulnerability scanning. penetration testing. and web app security platform","T1556 - T1556.001 - T1556.002 - T1556.003 - T1557 - T1558 - T1573 - T1574","TA0003 - TA0004 - TA0005 - TA0006 - TA0008","N/A","Black Basta","Exploitation tool","https://portswigger.net/burp","1","1","N/A","network exploitation tool","N/A","N/A","N/A","N/A","N/A","N/A","5855"
"*/burp-api/*",".{0,1000}\/burp\-api\/.{0,1000}","offensive_tool_keyword","burpsuite","CO2 is a project for lightweight and useful enhancements to Portswigger popular Burp Suite web penetration tool through the standard Extender API","T1583 - T1595 - T1190","TA0001 - TA0002 - TA0009","N/A","Black Basta","Exploitation tool","https://github.com/JGillam/burp-co2","1","1","N/A","network exploitation tool","N/A","2","152","34","2024-02-21T02:23:00Z","2015-04-19T03:38:34Z","5856"
"*/BurpExtender.java*",".{0,1000}\/BurpExtender\.java.{0,1000}","offensive_tool_keyword","burpsuite","CO2 is a project for lightweight and useful enhancements to Portswigger popular Burp Suite web penetration tool through the standard Extender API","T1583 - T1595 - T1190","TA0010 - TA0007 - TA0003","N/A","Black Basta","Exploitation tool","https://github.com/JGillam/burp-co2","1","1","N/A","network exploitation tool","N/A","2","152","34","2024-02-21T02:23:00Z","2015-04-19T03:38:34Z","5859"
"*/BurpSuite-collections*",".{0,1000}\/BurpSuite\-collections.{0,1000}","offensive_tool_keyword","burpsuite","Collection of burpsuite plugins","T1556 - T1556.001 - T1556.002 - T1556.003 - T1557 - T1558 - T1573 - T1574","TA0003 - TA0004 - TA0005 - TA0006 - TA0008","N/A","Black Basta","Exploitation tool","https://github.com/Mr-xn/BurpSuite-collections","1","1","N/A","network exploitation tool","N/A","10","3533","676","2025-03-05T12:04:51Z","2020-01-25T02:07:37Z","5861"
"*/co2-cewler/*",".{0,1000}\/co2\-cewler\/.{0,1000}","offensive_tool_keyword","burpsuite","CO2 is a project for lightweight and useful enhancements to Portswigger popular Burp Suite web penetration tool through the standard Extender API","T1583 - T1595 - T1190","TA0001 - TA0002 - TA0009","N/A","Black Basta","Exploitation tool","https://github.com/JGillam/burp-co2","1","1","N/A","network exploitation tool","N/A","2","152","34","2024-02-21T02:23:00Z","2015-04-19T03:38:34Z","6124"
"*/co2-core/*",".{0,1000}\/co2\-core\/.{0,1000}","offensive_tool_keyword","burpsuite","CO2 is a project for lightweight and useful enhancements to Portswigger popular Burp Suite web penetration tool through the standard Extender API","T1583 - T1595 - T1190","TA0001 - TA0002 - TA0009","N/A","Black Basta","Exploitation tool","https://github.com/JGillam/burp-co2","1","1","N/A","network exploitation tool","N/A","2","152","34","2024-02-21T02:23:00Z","2015-04-19T03:38:34Z","6125"
"*/co2-laudanum/*",".{0,1000}\/co2\-laudanum\/.{0,1000}","offensive_tool_keyword","burpsuite","CO2 is a project for lightweight and useful enhancements to Portswigger popular Burp Suite web penetration tool through the standard Extender API","T1583 - T1595 - T1190","TA0001 - TA0002 - TA0009","N/A","Black Basta","Exploitation tool","https://github.com/JGillam/burp-co2","1","1","N/A","network exploitation tool","N/A","2","152","34","2024-02-21T02:23:00Z","2015-04-19T03:38:34Z","6126"
"*/co2-sqlmapper/*",".{0,1000}\/co2\-sqlmapper\/.{0,1000}","offensive_tool_keyword","burpsuite","CO2 is a project for lightweight and useful enhancements to Portswigger popular Burp Suite web penetration tool through the standard Extender API","T1583 - T1595 - T1190","TA0001 - TA0002 - TA0009","N/A","Black Basta","Exploitation tool","https://github.com/JGillam/burp-co2","1","1","N/A","network exploitation tool","N/A","2","152","34","2024-02-21T02:23:00Z","2015-04-19T03:38:34Z","6127"
