"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","metadata_entry_id"
"* del C:\Windows\temp\1 /F /Q*",".{0,1000}\sdel\sC\:\\Windows\\temp\\1\s\/F\s\/Q.{0,1000}","greyware_tool_keyword","del","suspicious deletion made by the Russian Foreign Intelligence Service","T1059.003","TA0005","N/A","N/A","Defense Evasion","https://github.com/mthcht/ThreatIntel-Reports","1","0","N/A","N/A","8","2","109","9","2025-04-22T03:37:27Z","2024-10-23T11:27:13Z","814"
"*del %userprofile%\documents\Default.rdp*",".{0,1000}del\s\%userprofile\%\\documents\\Default\.rdp.{0,1000}","greyware_tool_keyword","del","CleanRDP.bat script erasing RDP traces used by Dispossessor ransomware group","T1562.001 - T1112 - T1059 - T1036","TA0005 - TA0040","N/A","Dispossessor","Defense Evasion","https://vx-underground.org/Archive/Dispossessor%20Leaks","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A","40673"
"*del /F /Q %APPDATA%\Microsoft\Windows\Recent\*",".{0,1000}del\s\/F\s\/Q\s\%APPDATA\%\\Microsoft\\Windows\\Recent\\.{0,1000}","offensive_tool_keyword","del","del command used by Anti Forensics Tools","T1070.001 - T1070.002 - T1070.004 - T1070.006 - T1070.009 - T1564.004 - T1553.002 - T1027","TA0005 - TA0004","N/A","N/A","Defense Evasion","https://github.com/PaulNorman01/Forensia","1","0","N/A","N/A","10","8","755","75","2023-06-23T23:23:22Z","2022-12-07T14:45:52Z","40680"
"*del /F /Q %APPDATA%\Microsoft\Windows\Recent\AutomaticDestinations\*",".{0,1000}del\s\/F\s\/Q\s\%APPDATA\%\\Microsoft\\Windows\\Recent\\AutomaticDestinations\\.{0,1000}","offensive_tool_keyword","del","del command used by Anti Forensics Tools","T1070.001 - T1070.002 - T1070.004 - T1070.006 - T1070.009 - T1564.004 - T1553.002 - T1027","TA0005 - TA0004","N/A","N/A","Defense Evasion","https://github.com/PaulNorman01/Forensia","1","0","N/A","N/A","10","8","755","75","2023-06-23T23:23:22Z","2022-12-07T14:45:52Z","40682"
"*del /F /Q %APPDATA%\Microsoft\Windows\Recent\CustomDestinations\*",".{0,1000}del\s\/F\s\/Q\s\%APPDATA\%\\Microsoft\\Windows\\Recent\\CustomDestinations\\.{0,1000}","offensive_tool_keyword","del","del command used by Anti Forensics Tools","T1070.001 - T1070.002 - T1070.004 - T1070.006 - T1070.009 - T1564.004 - T1553.002 - T1027","TA0005 - TA0004","N/A","N/A","Defense Evasion","https://github.com/PaulNorman01/Forensia","1","0","N/A","N/A","10","8","755","75","2023-06-23T23:23:22Z","2022-12-07T14:45:52Z","40684"
"*del /F /Q C:\\Windows\\Prefetch\\*",".{0,1000}del\s\/F\s\/Q\sC\:\\\\Windows\\\\Prefetch\\\\.{0,1000}","offensive_tool_keyword","del","del command used by Anti Forensics Tools","T1070.001 - T1070.002 - T1070.004 - T1070.006 - T1070.009 - T1564.004 - T1553.002 - T1027","TA0005 - TA0004","N/A","N/A","Defense Evasion","https://github.com/PaulNorman01/Forensia","1","0","N/A","N/A","10","8","755","75","2023-06-23T23:23:22Z","2022-12-07T14:45:52Z","40686"
"*del /F /Q C:\Windows\Prefetch\*",".{0,1000}del\s\/F\s\/Q\sC\:\\Windows\\Prefetch\\.{0,1000}","offensive_tool_keyword","del","del command used by Anti Forensics Tools","T1070.001 - T1070.002 - T1070.004 - T1070.006 - T1070.009 - T1564.004 - T1553.002 - T1027","TA0005 - TA0004","N/A","N/A","Defense Evasion","https://github.com/PaulNorman01/Forensia","1","0","N/A","N/A","10","8","755","75","2023-06-23T23:23:22Z","2022-12-07T14:45:52Z","40688"
"*del /f /s /q /a %AppData%*",".{0,1000}del\s\/f\s\/s\s\/q\s\/a\s\%AppData\%.{0,1000}","greyware_tool_keyword","del","CleanRDP.bat script erasing RDP traces used by Dispossessor ransomware group","T1562.001 - T1112 - T1059 - T1036","TA0005 - TA0040","N/A","Dispossessor","Defense Evasion","https://vx-underground.org/Archive/Dispossessor%20Leaks","1","0","N/A","N/A","10","10","N/A","N/A","N/A","N/A","40689"
"*del C:\Windows\AppCompat\Programs\RecentFileCache.bcf*",".{0,1000}del\sC\:\\Windows\\AppCompat\\Programs\\RecentFileCache\.bcf.{0,1000}","offensive_tool_keyword","del","del command used by Anti Forensics Tools","T1070.001 - T1070.002 - T1070.004 - T1070.006 - T1070.009 - T1564.004 - T1553.002 - T1027","TA0005 - TA0004","N/A","N/A","Defense Evasion","https://github.com/PaulNorman01/Forensia","1","0","N/A","N/A","10","8","755","75","2023-06-23T23:23:22Z","2022-12-07T14:45:52Z","40712"
"*del Default.rdp*",".{0,1000}del\sDefault\.rdp.{0,1000}","greyware_tool_keyword","del","removes the Default.rdp file likely to erase evidence of RDP connections","T1070.004","TA0005","N/A","N/A","Defense Evasion","https://github.com/xiaoy-sec/Pentest_Note/blob/52156f816f0c2497c25343c2e872130193acca80/wiki/%E6%9D%83%E9%99%90%E6%8F%90%E5%8D%87/Windows%E6%8F%90%E6%9D%83/RDP%26Firewall/%E5%88%A0%E9%99%A4%E7%97%95%E8%BF%B9.md?plain=1#L4","1","0","N/A","N/A","10","10","3875","951","2023-05-22T03:50:57Z","2020-06-15T02:58:36Z","40713"
