"keyword","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* -h *-p * -c cypher.bin -k key.bin*","offensive_tool_keyword","HadesLdr","Shellcode Loader Implementing Indirect Dynamic Syscall - API Hashing - Fileless Shellcode retrieving using Winsock2","T1055.012 - T1055.001 - T1547.002","TA0005 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/CognisysGroup/HadesLdr","1","0","N/A","10","3","246","38","2023-07-15T21:23:49Z","2023-07-12T11:44:07Z"
"*/HadesLdr.git*","offensive_tool_keyword","HadesLdr","Shellcode Loader Implementing Indirect Dynamic Syscall - API Hashing - Fileless Shellcode retrieving using Winsock2","T1055.012 - T1055.001 - T1547.002","TA0005 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/CognisysGroup/HadesLdr","1","1","N/A","10","3","246","38","2023-07-15T21:23:49Z","2023-07-12T11:44:07Z"
"*/scripts/xor.py*","offensive_tool_keyword","HadesLdr","Shellcode Loader Implementing Indirect Dynamic Syscall - API Hashing - Fileless Shellcode retrieving using Winsock2","T1055.012 - T1055.001 - T1547.002","TA0005 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/CognisysGroup/HadesLdr","1","1","N/A","10","3","246","38","2023-07-15T21:23:49Z","2023-07-12T11:44:07Z"
"*CognisysGroup/HadesLdr*","offensive_tool_keyword","HadesLdr","Shellcode Loader Implementing Indirect Dynamic Syscall - API Hashing - Fileless Shellcode retrieving using Winsock2","T1055.012 - T1055.001 - T1547.002","TA0005 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/CognisysGroup/HadesLdr","1","1","N/A","10","3","246","38","2023-07-15T21:23:49Z","2023-07-12T11:44:07Z"
"*HadesLdr-main*","offensive_tool_keyword","HadesLdr","Shellcode Loader Implementing Indirect Dynamic Syscall - API Hashing - Fileless Shellcode retrieving using Winsock2","T1055.012 - T1055.001 - T1547.002","TA0005 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/CognisysGroup/HadesLdr","1","1","N/A","10","3","246","38","2023-07-15T21:23:49Z","2023-07-12T11:44:07Z"
"*IDSyscall.exe*","offensive_tool_keyword","HadesLdr","Shellcode Loader Implementing Indirect Dynamic Syscall - API Hashing - Fileless Shellcode retrieving using Winsock2","T1055.012 - T1055.001 - T1547.002","TA0005 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/CognisysGroup/HadesLdr","1","1","N/A","10","3","246","38","2023-07-15T21:23:49Z","2023-07-12T11:44:07Z"
"*IDSyscall.sln*","offensive_tool_keyword","HadesLdr","Shellcode Loader Implementing Indirect Dynamic Syscall - API Hashing - Fileless Shellcode retrieving using Winsock2","T1055.012 - T1055.001 - T1547.002","TA0005 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/CognisysGroup/HadesLdr","1","1","N/A","10","3","246","38","2023-07-15T21:23:49Z","2023-07-12T11:44:07Z"
"*IDSyscall.vcxproj*","offensive_tool_keyword","HadesLdr","Shellcode Loader Implementing Indirect Dynamic Syscall - API Hashing - Fileless Shellcode retrieving using Winsock2","T1055.012 - T1055.001 - T1547.002","TA0005 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/CognisysGroup/HadesLdr","1","1","N/A","10","3","246","38","2023-07-15T21:23:49Z","2023-07-12T11:44:07Z"
"*IDSyscall/IDSyscall*","offensive_tool_keyword","HadesLdr","Shellcode Loader Implementing Indirect Dynamic Syscall - API Hashing - Fileless Shellcode retrieving using Winsock2","T1055.012 - T1055.001 - T1547.002","TA0005 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/CognisysGroup/HadesLdr","1","1","N/A","10","3","246","38","2023-07-15T21:23:49Z","2023-07-12T11:44:07Z"
"*IDSyscall\IDSyscall*","offensive_tool_keyword","HadesLdr","Shellcode Loader Implementing Indirect Dynamic Syscall - API Hashing - Fileless Shellcode retrieving using Winsock2","T1055.012 - T1055.001 - T1547.002","TA0005 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/CognisysGroup/HadesLdr","1","0","N/A","10","3","246","38","2023-07-15T21:23:49Z","2023-07-12T11:44:07Z"
"*python3 GetHash.py NtCreateFile*","offensive_tool_keyword","HadesLdr","Shellcode Loader Implementing Indirect Dynamic Syscall - API Hashing - Fileless Shellcode retrieving using Winsock2","T1055.012 - T1055.001 - T1547.002","TA0005 - TA0040","N/A","N/A","Exploitation Tools","https://github.com/CognisysGroup/HadesLdr","1","0","N/A","10","3","246","38","2023-07-15T21:23:49Z","2023-07-12T11:44:07Z"
