"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* Ghauri is going to use the current database to enumerate table(s) entries*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","#contentstrings","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*.py * --sql-shell*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*/dbms/fingerprint.py*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*/ghauri.git*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","1","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*/ghauri.py*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","1","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*/ghauri/ghauri/*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*\dbms\fingerprint.py*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*\ghauri\ghauri\*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*\ghauri-1*\ghauri\*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*A cross-platform python based advanced sql injections detection & exploitation tool*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*calling MySQL shell. To quit type 'x' or 'q' and press ENTER*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","#contentstrings","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*Do you want Ghauri set it for you ? [Y/n]*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","#contentstrings","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*Do you want to skip test payloads specific for other DBMSes?*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","#contentstrings","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*ghauri currently only supports DBMS fingerprint payloads for Microsoft Access*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","#contentstrings","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*Ghauri detected connection errors multiple times*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","#contentstrings","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*Ghauri is expecting database name to enumerate table(s) entries*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","#contentstrings","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*ghauri -u *","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*ghauri-*\ghauri-*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*ghauri.common.config*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*ghauri.common.lib*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*ghauri.common.payloads*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*ghauri.common.session*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*ghauri.common.utils*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*ghauri.core.extract*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*ghauri.core.tests*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
"*ghauri.extractor.advance*","N/A","offensive_tool_keyword","ghauri","A cross-platform python based advanced sql injections detection & exploitation tool","T1190 - T1210 - T1095","TA0001 - TA0002 - TA0009","N/A","N/A","Web Attacks","https://github.com/r0oth3x49/ghauri","1","0","N/A","8","10","1749","200","2024-01-04T11:56:32Z","2022-10-01T11:21:50Z"
