"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","metadata_entry_id"
"*""Don't use this for evil, please""*",".{0,1000}\""Don\'t\suse\sthis\sfor\sevil,\splease\"".{0,1000}","offensive_tool_keyword","Invoke-Obfuscation","Invoke-Obfuscation is a PowerShell v2.0+ compatible PowerShell command and script obfuscator.","T1027 - T1059.001 - T1564.003","TA0005 - TA0002","N/A","Oilrig","Defense Evasion","https://github.com/danielbohannon/Invoke-Obfuscation","1","0","#content","N/A","10","10","3935","782","2023-08-10T23:49:06Z","2016-09-25T03:38:02Z","3834"
"*/Invoke-Obfuscation.git*",".{0,1000}\/Invoke\-Obfuscation\.git.{0,1000}","offensive_tool_keyword","Invoke-Obfuscation","Invoke-Obfuscation is a PowerShell v2.0+ compatible PowerShell command and script obfuscator.","T1027 - T1059.001 - T1564.003","TA0005 - TA0002","N/A","Oilrig - Dispossessor","Defense Evasion","https://github.com/danielbohannon/Invoke-Obfuscation","1","1","N/A","N/A","10","10","3935","782","2023-08-10T23:49:06Z","2016-09-25T03:38:02Z","8158"
"*\Obfuscated_Command.txt*",".{0,1000}\\Obfuscated_Command\.txt.{0,1000}","offensive_tool_keyword","Invoke-Obfuscation","Invoke-Obfuscation is a PowerShell v2.0+ compatible PowerShell command and script obfuscator.","T1027 - T1059.001 - T1564.003","TA0005 - TA0002","N/A","Oilrig - Dispossessor","Defense Evasion","https://github.com/danielbohannon/Invoke-Obfuscation","1","0","N/A","N/A","10","10","3935","782","2023-08-10T23:49:06Z","2016-09-25T03:38:02Z","17022"
"*3615ddbae2c65e978aa8006c26b5c4a66c2e9433a1460b17ef700a39a708e5c1*",".{0,1000}3615ddbae2c65e978aa8006c26b5c4a66c2e9433a1460b17ef700a39a708e5c1.{0,1000}","offensive_tool_keyword","Invoke-Obfuscation","Invoke-Obfuscation is a PowerShell v2.0+ compatible PowerShell command and script obfuscator.","T1027 - T1059.001 - T1564.003","TA0005 - TA0002","N/A","Oilrig - Dispossessor","Defense Evasion","https://github.com/danielbohannon/Invoke-Obfuscation","1","0","#filehash","N/A","10","10","3935","782","2023-08-10T23:49:06Z","2016-09-25T03:38:02Z","24575"
"*40ce2ea4f4a90332a6e554ddbd9b801e22df018458127ae6ad1243c7d25a5523*",".{0,1000}40ce2ea4f4a90332a6e554ddbd9b801e22df018458127ae6ad1243c7d25a5523.{0,1000}","offensive_tool_keyword","Invoke-Obfuscation","Invoke-Obfuscation is a PowerShell v2.0+ compatible PowerShell command and script obfuscator.","T1027 - T1059.001 - T1564.003","TA0005 - TA0002","N/A","Oilrig - Dispossessor","Defense Evasion","https://github.com/danielbohannon/Invoke-Obfuscation","1","0","#filehash","N/A","10","10","3935","782","2023-08-10T23:49:06Z","2016-09-25T03:38:02Z","25358"
"*46793c55c24e616a0d4eaaa0090b70bdde05e50c1b58da753d09063e6e838cc6*",".{0,1000}46793c55c24e616a0d4eaaa0090b70bdde05e50c1b58da753d09063e6e838cc6.{0,1000}","offensive_tool_keyword","Invoke-Obfuscation","Invoke-Obfuscation is a PowerShell v2.0+ compatible PowerShell command and script obfuscator.","T1027 - T1059.001 - T1564.003","TA0005 - TA0002","N/A","Oilrig - Dispossessor","Defense Evasion","https://github.com/danielbohannon/Invoke-Obfuscation","1","0","#filehash","N/A","10","10","3935","782","2023-08-10T23:49:06Z","2016-09-25T03:38:02Z","25787"
"*525bb5e67378b9bdc298aceb9e0108603741ae334e8ce748222999fcb2f1d818*",".{0,1000}525bb5e67378b9bdc298aceb9e0108603741ae334e8ce748222999fcb2f1d818.{0,1000}","offensive_tool_keyword","Invoke-Obfuscation","Invoke-Obfuscation is a PowerShell v2.0+ compatible PowerShell command and script obfuscator.","T1027 - T1059.001 - T1564.003","TA0005 - TA0002","N/A","Oilrig - Dispossessor","Defense Evasion","https://github.com/danielbohannon/Invoke-Obfuscation","1","0","#filehash","N/A","10","10","3935","782","2023-08-10T23:49:06Z","2016-09-25T03:38:02Z","26659"
"*5ed84b98241dd1db44e9e3beae6ec07ce8c64cd9200b73954617113578f91317*",".{0,1000}5ed84b98241dd1db44e9e3beae6ec07ce8c64cd9200b73954617113578f91317.{0,1000}","offensive_tool_keyword","Invoke-Obfuscation","Invoke-Obfuscation is a PowerShell v2.0+ compatible PowerShell command and script obfuscator.","T1027 - T1059.001 - T1564.003","TA0005 - TA0002","N/A","Oilrig - Dispossessor","Defense Evasion","https://github.com/danielbohannon/Invoke-Obfuscation","1","0","#filehash","N/A","10","10","3935","782","2023-08-10T23:49:06Z","2016-09-25T03:38:02Z","27604"
"*5fa4acad2bf202e61149a7f47189c4d60ac2823ea26d0f449912ab9d28ad0806*",".{0,1000}5fa4acad2bf202e61149a7f47189c4d60ac2823ea26d0f449912ab9d28ad0806.{0,1000}","offensive_tool_keyword","Invoke-Obfuscation","Invoke-Obfuscation is a PowerShell v2.0+ compatible PowerShell command and script obfuscator.","T1027 - T1059.001 - T1564.003","TA0005 - TA0002","N/A","Oilrig - Dispossessor","Defense Evasion","https://github.com/danielbohannon/Invoke-Obfuscation","1","0","#filehash","N/A","10","10","3935","782","2023-08-10T23:49:06Z","2016-09-25T03:38:02Z","27650"
"*77c88d4c67b3600e78f82c938d2ef72525277647a27692b2114c9688bf1da121*",".{0,1000}77c88d4c67b3600e78f82c938d2ef72525277647a27692b2114c9688bf1da121.{0,1000}","offensive_tool_keyword","Invoke-Obfuscation","Invoke-Obfuscation is a PowerShell v2.0+ compatible PowerShell command and script obfuscator.","T1027 - T1059.001 - T1564.003","TA0005 - TA0002","N/A","Oilrig - Dispossessor","Defense Evasion","https://github.com/danielbohannon/Invoke-Obfuscation","1","0","#filehash","N/A","10","10","3935","782","2023-08-10T23:49:06Z","2016-09-25T03:38:02Z","29271"
"*9521883a37c093f31e9d3fde7d3293f637ea51ce573c3fa7967843b7e51d8dd0*",".{0,1000}9521883a37c093f31e9d3fde7d3293f637ea51ce573c3fa7967843b7e51d8dd0.{0,1000}","offensive_tool_keyword","Invoke-Obfuscation","Invoke-Obfuscation is a PowerShell v2.0+ compatible PowerShell command and script obfuscator.","T1027 - T1059.001 - T1564.003","TA0005 - TA0002","N/A","Oilrig - Dispossessor","Defense Evasion","https://github.com/danielbohannon/Invoke-Obfuscation","1","0","#filehash","N/A","10","10","3935","782","2023-08-10T23:49:06Z","2016-09-25T03:38:02Z","31376"
"*9c409702151446f1eb8d951b45a902f2dbad1ebeacab9dd9beeaa5530e65ad0c*",".{0,1000}9c409702151446f1eb8d951b45a902f2dbad1ebeacab9dd9beeaa5530e65ad0c.{0,1000}","offensive_tool_keyword","Invoke-Obfuscation","Invoke-Obfuscation is a PowerShell v2.0+ compatible PowerShell command and script obfuscator.","T1027 - T1059.001 - T1564.003","TA0005 - TA0002","N/A","Oilrig - Dispossessor","Defense Evasion","https://github.com/danielbohannon/Invoke-Obfuscation","1","0","#filehash","N/A","10","10","3935","782","2023-08-10T23:49:06Z","2016-09-25T03:38:02Z","31860"
"*a10190903dfb52127ae37214a8c0124c68fc2f7fc91d0bae55eb9f556fa3c8dd*",".{0,1000}a10190903dfb52127ae37214a8c0124c68fc2f7fc91d0bae55eb9f556fa3c8dd.{0,1000}","offensive_tool_keyword","Invoke-Obfuscation","Invoke-Obfuscation is a PowerShell v2.0+ compatible PowerShell command and script obfuscator.","T1027 - T1059.001 - T1564.003","TA0005 - TA0002","N/A","Oilrig - Dispossessor","Defense Evasion","https://github.com/danielbohannon/Invoke-Obfuscation","1","0","#filehash","N/A","10","10","3935","782","2023-08-10T23:49:06Z","2016-09-25T03:38:02Z","32215"
