"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","metadata_entry_id"
"* LatLoader.py*",".{0,1000}\sLatLoader\.py.{0,1000}","offensive_tool_keyword","LatLoader","PoC module to demonstrate automated lateral movement with the Havoc C2 framework","T1570 - T1071 - T1021 - T1563 - T1105","TA0008 - TA0011 - TA0002 - TA0010","N/A","N/A","Lateral Movement","https://github.com/icyguider/LatLoader","1","0","N/A","N/A","9","4","301","35","2023-12-09T00:28:32Z","2023-10-06T15:03:17Z","1928"
"*/LatLoader.git*",".{0,1000}\/LatLoader\.git.{0,1000}","offensive_tool_keyword","LatLoader","PoC module to demonstrate automated lateral movement with the Havoc C2 framework","T1570 - T1071 - T1021 - T1563 - T1105","TA0008 - TA0011 - TA0002 - TA0010","N/A","N/A","Lateral Movement","https://github.com/icyguider/LatLoader","1","1","N/A","N/A","9","4","301","35","2023-12-09T00:28:32Z","2023-10-06T15:03:17Z","8454"
"*/LatLoader.py*",".{0,1000}\/LatLoader\.py.{0,1000}","offensive_tool_keyword","LatLoader","PoC module to demonstrate automated lateral movement with the Havoc C2 framework","T1570 - T1071 - T1021 - T1563 - T1105","TA0008 - TA0011 - TA0002 - TA0010","N/A","N/A","Lateral Movement","https://github.com/icyguider/LatLoader","1","1","N/A","N/A","9","4","301","35","2023-12-09T00:28:32Z","2023-10-06T15:03:17Z","8455"
"*[+] Looking for the SSN via Halos Gate*",".{0,1000}\[\+\]\sLooking\sfor\sthe\sSSN\svia\sHalos\sGate.{0,1000}","offensive_tool_keyword","LatLoader","PoC module to demonstrate automated lateral movement with the Havoc C2 framework","T1570 - T1071 - T1021 - T1563 - T1105","TA0008 - TA0011 - TA0002 - TA0010","N/A","N/A","Lateral Movement","https://github.com/icyguider/LatLoader","1","0","#content","N/A","9","4","301","35","2023-12-09T00:28:32Z","2023-10-06T15:03:17Z","13218"
"*\LatLoader.py*",".{0,1000}\\LatLoader\.py.{0,1000}","offensive_tool_keyword","LatLoader","PoC module to demonstrate automated lateral movement with the Havoc C2 framework","T1570 - T1071 - T1021 - T1563 - T1105","TA0008 - TA0011 - TA0002 - TA0010","N/A","N/A","Lateral Movement","https://github.com/icyguider/LatLoader","1","0","N/A","N/A","9","4","301","35","2023-12-09T00:28:32Z","2023-10-06T15:03:17Z","16212"
"*\LatLoader-main*",".{0,1000}\\LatLoader\-main.{0,1000}","offensive_tool_keyword","LatLoader","PoC module to demonstrate automated lateral movement with the Havoc C2 framework","T1570 - T1071 - T1021 - T1563 - T1105","TA0008 - TA0011 - TA0002 - TA0010","N/A","N/A","Lateral Movement","https://github.com/icyguider/LatLoader","1","0","N/A","N/A","9","4","301","35","2023-12-09T00:28:32Z","2023-10-06T15:03:17Z","16213"
"*27f70a1d533f7a3b8703d89904ae4541d96c8c656661872a495f592f9ed80d9e*",".{0,1000}27f70a1d533f7a3b8703d89904ae4541d96c8c656661872a495f592f9ed80d9e.{0,1000}","offensive_tool_keyword","LatLoader","PoC module to demonstrate automated lateral movement with the Havoc C2 framework","T1570 - T1071 - T1021 - T1563 - T1105","TA0008 - TA0011 - TA0002 - TA0010","N/A","N/A","Lateral Movement","https://github.com/icyguider/LatLoader","1","0","#filehash","N/A","9","4","301","35","2023-12-09T00:28:32Z","2023-10-06T15:03:17Z","23597"
"*45787955618ba3211b89021ddf23ecc5d2b55397a006190455c4070dad964572*",".{0,1000}45787955618ba3211b89021ddf23ecc5d2b55397a006190455c4070dad964572.{0,1000}","offensive_tool_keyword","LatLoader","PoC module to demonstrate automated lateral movement with the Havoc C2 framework","T1570 - T1071 - T1021 - T1563 - T1105","TA0008 - TA0011 - TA0002 - TA0010","N/A","N/A","Lateral Movement","https://github.com/icyguider/LatLoader","1","0","#filehash","N/A","9","4","301","35","2023-12-09T00:28:32Z","2023-10-06T15:03:17Z","25723"
"*cmd.exe /c C:\\Windows\\DiskSnapShot.exe && echo --path C:\\Windows\\CCMCache\\cache*",".{0,1000}cmd\.exe\s\/c\sC\:\\\\Windows\\\\DiskSnapShot\.exe\s\&\&\secho\s\-\-path\sC\:\\\\Windows\\\\CCMCache\\\\cache.{0,1000}","offensive_tool_keyword","LatLoader","PoC module to demonstrate automated lateral movement with the Havoc C2 framework","T1570 - T1071 - T1021 - T1563 - T1105","TA0008 - TA0011 - TA0002 - TA0010","N/A","N/A","Lateral Movement","https://github.com/icyguider/LatLoader","1","0","N/A","N/A","9","4","301","35","2023-12-09T00:28:32Z","2023-10-06T15:03:17Z","38418"
"*f0f8f8de178f91de8fe054b6450fa0d2291ad7693035f2c52df800e9168fb22d*",".{0,1000}f0f8f8de178f91de8fe054b6450fa0d2291ad7693035f2c52df800e9168fb22d.{0,1000}","offensive_tool_keyword","LatLoader","PoC module to demonstrate automated lateral movement with the Havoc C2 framework","T1570 - T1071 - T1021 - T1563 - T1105","TA0008 - TA0011 - TA0002 - TA0010","N/A","N/A","Lateral Movement","https://github.com/icyguider/LatLoader","1","0","#filehash","N/A","9","4","301","35","2023-12-09T00:28:32Z","2023-10-06T15:03:17Z","43731"
"*icyguider/LatLoader*",".{0,1000}icyguider\/LatLoader.{0,1000}","offensive_tool_keyword","LatLoader","PoC module to demonstrate automated lateral movement with the Havoc C2 framework","T1570 - T1071 - T1021 - T1563 - T1105","TA0008 - TA0011 - TA0002 - TA0010","N/A","N/A","Lateral Movement","https://github.com/icyguider/LatLoader","1","1","N/A","N/A","9","4","301","35","2023-12-09T00:28:32Z","2023-10-06T15:03:17Z","48182"
"*OPERATORCHANGEMEPLZZZ*",".{0,1000}OPERATORCHANGEMEPLZZZ.{0,1000}","offensive_tool_keyword","LatLoader","PoC module to demonstrate automated lateral movement with the Havoc C2 framework","T1570 - T1071 - T1021 - T1563 - T1105","TA0008 - TA0011 - TA0002 - TA0010","N/A","N/A","Lateral Movement","https://github.com/icyguider/LatLoader","1","0","#content","N/A","9","4","301","35","2023-12-09T00:28:32Z","2023-10-06T15:03:17Z","53987"
