"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","metadata_entry_id"
"* -relayserver *:5555*",".{0,1000}\s\-relayserver\s.{0,1000}\:5555.{0,1000}","offensive_tool_keyword","ligolo","ligolo is a simple and lightweight tool for establishing SOCKS5 or TCP tunnels from a reverse connection in complete safety (TLS certificate with elliptical curve)","T1071 - T1021 - T1573","TA0011 - TA0002","N/A","AvosLocker - LockBit","C2","https://github.com/sysdream/ligolo","1","0","N/A","N/A","10","10","1764","224","2023-01-06T19:49:22Z","2020-05-22T07:58:13Z","2824"
"*/ligolo.git*",".{0,1000}\/ligolo\.git.{0,1000}","offensive_tool_keyword","ligolo","ligolo is a simple and lightweight tool for establishing SOCKS5 or TCP tunnels from a reverse connection in complete safety (TLS certificate with elliptical curve)","T1071 - T1021 - T1573","TA0011 - TA0002","N/A","AvosLocker - LockBit","C2","https://github.com/sysdream/ligolo","1","1","N/A","N/A","10","10","1764","224","2023-01-06T19:49:22Z","2020-05-22T07:58:13Z","8511"
"*/ligolo_agent*",".{0,1000}\/ligolo_agent.{0,1000}","offensive_tool_keyword","ligolo","ligolo is a simple and lightweight tool for establishing SOCKS5 or TCP tunnels from a reverse connection in complete safety (TLS certificate with elliptical curve)","T1071 - T1021 - T1573","TA0011 - TA0002","N/A","AvosLocker - LockBit","C2","https://github.com/sysdream/ligolo","1","0","#linux","N/A","10","10","1764","224","2023-01-06T19:49:22Z","2020-05-22T07:58:13Z","8512"
"*/ligolo_agent.exe*",".{0,1000}\/ligolo_agent\.exe.{0,1000}","offensive_tool_keyword","ligolo","ligolo is a simple and lightweight tool for establishing SOCKS5 or TCP tunnels from a reverse connection in complete safety (TLS certificate with elliptical curve)","T1071 - T1021 - T1573","TA0011 - TA0002","N/A","AvosLocker - LockBit","C2","https://github.com/sysdream/ligolo","1","1","N/A","N/A","10","10","1764","224","2023-01-06T19:49:22Z","2020-05-22T07:58:13Z","8513"
"*/ligolo-ng*",".{0,1000}\/ligolo\-ng.{0,1000}","offensive_tool_keyword","ligolo","ligolo is a simple and lightweight tool for establishing SOCKS5 or TCP tunnels from a reverse connection in complete safety (TLS certificate with elliptical curve)","T1071 - T1021 - T1573","TA0011 - TA0002","N/A","AvosLocker - LockBit","C2","https://github.com/sysdream/ligolo","1","1","N/A","N/A","10","10","1764","224","2023-01-06T19:49:22Z","2020-05-22T07:58:13Z","8514"
"*/ligolo-proxy*",".{0,1000}\/ligolo\-proxy.{0,1000}","offensive_tool_keyword","ligolo","ligolo is a simple and lightweight tool for establishing SOCKS5 or TCP tunnels from a reverse connection in complete safety (TLS certificate with elliptical curve)","T1071 - T1021 - T1573","TA0011 - TA0002","N/A","AvosLocker - LockBit","C2","https://github.com/sysdream/ligolo","1","0","N/A","N/A","10","10","1764","224","2023-01-06T19:49:22Z","2020-05-22T07:58:13Z","8517"
"*/ligolo-selfcert*",".{0,1000}\/ligolo\-selfcert.{0,1000}","offensive_tool_keyword","ligolo","ligolo is a simple and lightweight tool for establishing SOCKS5 or TCP tunnels from a reverse connection in complete safety (TLS certificate with elliptical curve)","T1071 - T1021 - T1573","TA0011 - TA0002","N/A","AvosLocker - LockBit","C2","https://github.com/sysdream/ligolo","1","0","N/A","N/A","10","10","1764","224","2023-01-06T19:49:22Z","2020-05-22T07:58:13Z","8518"
"*\ligolo_agent.exe*",".{0,1000}\\ligolo_agent\.exe.{0,1000}","offensive_tool_keyword","ligolo","ligolo is a simple and lightweight tool for establishing SOCKS5 or TCP tunnels from a reverse connection in complete safety (TLS certificate with elliptical curve)","T1071 - T1021 - T1573","TA0011 - TA0002","N/A","AvosLocker - LockBit","C2","https://github.com/sysdream/ligolo","1","0","N/A","N/A","10","10","1764","224","2023-01-06T19:49:22Z","2020-05-22T07:58:13Z","16241"
"*\ligolo-proxy*",".{0,1000}\\ligolo\-proxy.{0,1000}","offensive_tool_keyword","ligolo","ligolo is a simple and lightweight tool for establishing SOCKS5 or TCP tunnels from a reverse connection in complete safety (TLS certificate with elliptical curve)","T1071 - T1021 - T1573","TA0011 - TA0002","N/A","AvosLocker - LockBit","C2","https://github.com/sysdream/ligolo","1","0","N/A","N/A","10","10","1764","224","2023-01-06T19:49:22Z","2020-05-22T07:58:13Z","16242"
"*127.0.0.1:1080*",".{0,1000}127\.0\.0\.1\:1080.{0,1000}","offensive_tool_keyword","ligolo","ligolo is a simple and lightweight tool for establishing SOCKS5 or TCP tunnels from a reverse connection in complete safety (TLS certificate with elliptical curve)","T1071 - T1021 - T1573","TA0011 - TA0002","N/A","AvosLocker - LockBit","C2","https://github.com/sysdream/ligolo","1","0","N/A","N/A","10","10","1764","224","2023-01-06T19:49:22Z","2020-05-22T07:58:13Z","22044"
