"keyword","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/linikatz.git*","offensive_tool_keyword","linikatz","linikatz is a tool to attack AD on UNIX","T1003.002 - T1558.003 - T1078 - T1550.001","TA0006 - TA0001 - TA0004 - TA0003","N/A","N/A","Exploitation tools","https://github.com/CiscoCXSecurity/linikatz","1","1","N/A","10","5","448","74","2023-10-19T17:01:47Z","2018-11-15T22:19:47Z"
"*/vas/fuzzers/fuzz/*","offensive_tool_keyword","linikatz","linikatz is a tool to attack AD on UNIX","T1003.002 - T1558.003 - T1078 - T1550.001","TA0006 - TA0001 - TA0004 - TA0003","N/A","N/A","Exploitation tools","https://github.com/CiscoCXSecurity/linikatz","1","1","N/A","10","5","448","74","2023-10-19T17:01:47Z","2018-11-15T22:19:47Z"
"*12e9256bbb969343cc20fa9e259c0af1bf12d6c7bd0263bd7b2a60575b73cf62*","offensive_tool_keyword","linikatz","linikatz is a tool to attack AD on UNIX","T1003.002 - T1558.003 - T1078 - T1550.001","TA0006 - TA0001 - TA0004 - TA0003","N/A","N/A","Exploitation tools","https://github.com/CiscoCXSecurity/linikatz","1","0","N/A","10","5","448","74","2023-10-19T17:01:47Z","2018-11-15T22:19:47Z"
"*4681186a8bcaff98f0d2513d30add67345491b95f7f743883e6ca2506ba7aaaf*","offensive_tool_keyword","linikatz","linikatz is a tool to attack AD on UNIX","T1003.002 - T1558.003 - T1078 - T1550.001","TA0006 - TA0001 - TA0004 - TA0003","N/A","N/A","Exploitation tools","https://github.com/CiscoCXSecurity/linikatz","1","0","N/A","10","5","448","74","2023-10-19T17:01:47Z","2018-11-15T22:19:47Z"
"*612789c90ec1040d821a985265ea3b2f57e2c8df90b3880752dcb869e45256bc*","offensive_tool_keyword","linikatz","linikatz is a tool to attack AD on UNIX","T1003.002 - T1558.003 - T1078 - T1550.001","TA0006 - TA0001 - TA0004 - TA0003","N/A","N/A","Exploitation tools","https://github.com/CiscoCXSecurity/linikatz","1","0","N/A","10","5","448","74","2023-10-19T17:01:47Z","2018-11-15T22:19:47Z"
"*66c368f799227a9b571f841057e2d5f12c862360d5f7f564da9936acd67c66a0*","offensive_tool_keyword","linikatz","linikatz is a tool to attack AD on UNIX","T1003.002 - T1558.003 - T1078 - T1550.001","TA0006 - TA0001 - TA0004 - TA0003","N/A","N/A","Exploitation tools","https://github.com/CiscoCXSecurity/linikatz","1","0","N/A","10","5","448","74","2023-10-19T17:01:47Z","2018-11-15T22:19:47Z"
"*691f577714a4ae22bc22ec49edec5a15bf546a9827e8e1cf4e9e688b2ba9f72e*","offensive_tool_keyword","linikatz","linikatz is a tool to attack AD on UNIX","T1003.002 - T1558.003 - T1078 - T1550.001","TA0006 - TA0001 - TA0004 - TA0003","N/A","N/A","Exploitation tools","https://github.com/CiscoCXSecurity/linikatz","1","0","N/A","10","5","448","74","2023-10-19T17:01:47Z","2018-11-15T22:19:47Z"
"*8672d46e879f704b4b41a401c1a0aae5e6365f18a798a1fbaa4b1a8e711db34b*","offensive_tool_keyword","linikatz","linikatz is a tool to attack AD on UNIX","T1003.002 - T1558.003 - T1078 - T1550.001","TA0006 - TA0001 - TA0004 - TA0003","N/A","N/A","Exploitation tools","https://github.com/CiscoCXSecurity/linikatz","1","0","N/A","10","5","448","74","2023-10-19T17:01:47Z","2018-11-15T22:19:47Z"
"*9a3a44c544cd596ebf94583614035575e746f57315e20ec56a819c7152ba3fe9*","offensive_tool_keyword","linikatz","linikatz is a tool to attack AD on UNIX","T1003.002 - T1558.003 - T1078 - T1550.001","TA0006 - TA0001 - TA0004 - TA0003","N/A","N/A","Exploitation tools","https://github.com/CiscoCXSecurity/linikatz","1","0","N/A","10","5","448","74","2023-10-19T17:01:47Z","2018-11-15T22:19:47Z"
"*a0101bdeeb3f99c0640c203716381ef9f6bad8e89973eaa608c801ed3f6ccace*","offensive_tool_keyword","linikatz","linikatz is a tool to attack AD on UNIX","T1003.002 - T1558.003 - T1078 - T1550.001","TA0006 - TA0001 - TA0004 - TA0003","N/A","N/A","Exploitation tools","https://github.com/CiscoCXSecurity/linikatz","1","0","N/A","10","5","448","74","2023-10-19T17:01:47Z","2018-11-15T22:19:47Z"
