"keyword","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* install nikto*","offensive_tool_keyword","nikto","Nikto web server scanner","T1592 - T1592.003","TA0007 - TA0040","N/A","N/A","Web Attacks","https://github.com/sullo/nikto","1","1","N/A","N/A","10","7506","1151","2024-01-17T14:59:52Z","2012-11-24T04:24:29Z"
"* nikto.pl *","offensive_tool_keyword","nikto","Nikto web server scanner","T1592 - T1592.003","TA0007 - TA0040","N/A","N/A","Web Attacks","https://github.com/sullo/nikto","1","1","N/A","N/A","10","7506","1151","2024-01-17T14:59:52Z","2012-11-24T04:24:29Z"
"*/nikto.git*","offensive_tool_keyword","nikto","Nikto web server scanner","T1592 - T1592.003","TA0007 - TA0040","N/A","N/A","Web Attacks","https://github.com/sullo/nikto","1","1","N/A","N/A","10","7506","1151","2024-01-17T14:59:52Z","2012-11-24T04:24:29Z"
"*/nikto.pl*","offensive_tool_keyword","nikto","Nikto web scanner tool","T1210.001 - T1190 - T1046 - T1222","TA0007 - TA0002 - TA0001","N/A","N/A","Web Attacks","https://github.com/sullo/nikto","1","1","N/A","N/A","10","7506","1151","2024-01-17T14:59:52Z","2012-11-24T04:24:29Z"
"*/nikto.pl*","offensive_tool_keyword","nikto","Nikto web server scanner","T1592 - T1592.003","TA0007 - TA0040","N/A","N/A","Web Attacks","https://github.com/sullo/nikto","1","1","N/A","N/A","10","7506","1151","2024-01-17T14:59:52Z","2012-11-24T04:24:29Z"
"*/sullo/nikto*","offensive_tool_keyword","nikto","Nikto web scanner tool","T1210.001 - T1190 - T1046 - T1222","TA0007 - TA0002 - TA0001","N/A","N/A","Web Attacks","https://github.com/sullo/nikto","1","1","N/A","N/A","10","7506","1151","2024-01-17T14:59:52Z","2012-11-24T04:24:29Z"
"*nikto -C all *","offensive_tool_keyword","nikto","Nikto web server scanner","T1592 - T1592.003","TA0007 - TA0040","N/A","N/A","Web Attacks","https://github.com/sullo/nikto","1","1","N/A","N/A","10","7506","1151","2024-01-17T14:59:52Z","2012-11-24T04:24:29Z"
"*nikto/program*","offensive_tool_keyword","nikto","Nikto web server scanner","T1592 - T1592.003","TA0007 - TA0040","N/A","N/A","Web Attacks","https://github.com/sullo/nikto","1","1","N/A","N/A","10","7506","1151","2024-01-17T14:59:52Z","2012-11-24T04:24:29Z"
"*perl nikto.pl -h*","offensive_tool_keyword","nikto","Nikto web scanner tool","T1210.001 - T1190 - T1046 - T1222","TA0007 - TA0002 - TA0001","N/A","N/A","Web Attacks","https://github.com/sullo/nikto","1","0","N/A","N/A","10","7506","1151","2024-01-17T14:59:52Z","2012-11-24T04:24:29Z"
"*program/replay.pl*","offensive_tool_keyword","nikto","Nikto web server scanner","T1592 - T1592.003","TA0007 - TA0040","N/A","N/A","Web Attacks","https://github.com/sullo/nikto","1","1","N/A","N/A","10","7506","1151","2024-01-17T14:59:52Z","2012-11-24T04:24:29Z"
"*sullo/nikto*","offensive_tool_keyword","nikto","Nikto web server scanner","T1592 - T1592.003","TA0007 - TA0040","N/A","N/A","Web Attacks","https://github.com/sullo/nikto","1","1","N/A","N/A","10","7506","1151","2024-01-17T14:59:52Z","2012-11-24T04:24:29Z"
"nikto -*","offensive_tool_keyword","nikto","Nikto web server scanner","T1592 - T1592.003","TA0007 - TA0040","N/A","N/A","Web Attacks","https://github.com/sullo/nikto","1","1","N/A","N/A","10","7506","1151","2024-01-17T14:59:52Z","2012-11-24T04:24:29Z"
