"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","metadata_entry_id"
"* memexec.pl*",".{0,1000}\smemexec\.pl.{0,1000}","offensive_tool_keyword","Orc","Orc is a post-exploitation framework for Linux written in Bash","T1059.004 - T1036.005 - T1070.002 - T1012 - T1082 - T1003 - T1555.003 - T1049 - T1134.001 - T1202","TA0005 - TA0003 - TA0002 - TA0006 - TA0011","N/A","N/A","Exploitation tool","https://github.com/zMarch/Orc","1","0","#linux","N/A","9","4","395","53","2019-11-12T18:21:27Z","2018-08-16T11:31:39Z","2133"
"* memexec.py*",".{0,1000}\smemexec\.py.{0,1000}","offensive_tool_keyword","Orc","Orc is a post-exploitation framework for Linux written in Bash","T1059.004 - T1036.005 - T1070.002 - T1012 - T1082 - T1003 - T1555.003 - T1049 - T1134.001 - T1202","TA0005 - TA0003 - TA0002 - TA0006 - TA0011","N/A","N/A","Exploitation tool","https://github.com/zMarch/Orc","1","0","#linux","N/A","9","4","395","53","2019-11-12T18:21:27Z","2018-08-16T11:31:39Z","2134"
"*#god bless you, NSA's autorootkit*",".{0,1000}\#god\sbless\syou,\sNSA\'s\sautorootkit.{0,1000}","offensive_tool_keyword","Orc","Orc is a post-exploitation framework for Linux written in Bash","T1059.004 - T1036.005 - T1070.002 - T1012 - T1082 - T1003 - T1555.003 - T1049 - T1134.001 - T1202","TA0005 - TA0003 - TA0002 - TA0006 - TA0011","N/A","N/A","Exploitation tool","https://github.com/zMarch/Orc","1","0","#linux #content","N/A","9","4","395","53","2019-11-12T18:21:27Z","2018-08-16T11:31:39Z","3929"
"*/memexec.pl*",".{0,1000}\/memexec\.pl.{0,1000}","offensive_tool_keyword","Orc","Orc is a post-exploitation framework for Linux written in Bash","T1059.004 - T1036.005 - T1070.002 - T1012 - T1082 - T1003 - T1555.003 - T1049 - T1134.001 - T1202","TA0005 - TA0003 - TA0002 - TA0006 - TA0011","N/A","N/A","Exploitation tool","https://github.com/zMarch/Orc","1","1","#linux","N/A","9","4","395","53","2019-11-12T18:21:27Z","2018-08-16T11:31:39Z","8751"
"*/memexec.py*",".{0,1000}\/memexec\.py.{0,1000}","offensive_tool_keyword","Orc","Orc is a post-exploitation framework for Linux written in Bash","T1059.004 - T1036.005 - T1070.002 - T1012 - T1082 - T1003 - T1555.003 - T1049 - T1134.001 - T1202","TA0005 - TA0003 - TA0002 - TA0006 - TA0011","N/A","N/A","Exploitation tool","https://github.com/zMarch/Orc","1","1","#linux","N/A","9","4","395","53","2019-11-12T18:21:27Z","2018-08-16T11:31:39Z","8752"
"*/suspect/master/suspect.sh*",".{0,1000}\/suspect\/master\/suspect\.sh.{0,1000}","offensive_tool_keyword","Orc","Orc is a post-exploitation framework for Linux written in Bash","T1059.004 - T1036.005 - T1070.002 - T1012 - T1082 - T1003 - T1555.003 - T1049 - T1134.001 - T1202","TA0005 - TA0003 - TA0002 - TA0006 - TA0011","N/A","N/A","Exploitation tool","https://github.com/zMarch/Orc","1","1","#linux","N/A","9","4","395","53","2019-11-12T18:21:27Z","2018-08-16T11:31:39Z","11740"
"*= Welcome to Orc Shell =*",".{0,1000}\=\sWelcome\sto\sOrc\sShell\s\=.{0,1000}","offensive_tool_keyword","Orc","Orc is a post-exploitation framework for Linux written in Bash","T1059.004 - T1036.005 - T1070.002 - T1012 - T1082 - T1003 - T1555.003 - T1049 - T1134.001 - T1202","TA0005 - TA0003 - TA0002 - TA0006 - TA0011","N/A","N/A","Exploitation tool","https://github.com/zMarch/Orc","1","0","#linux #content","N/A","9","4","395","53","2019-11-12T18:21:27Z","2018-08-16T11:31:39Z","20267"
"*50084b701b0463d1698211f2d0427c3eb6322be963c46cf9a4eb39e01a94cddc*",".{0,1000}50084b701b0463d1698211f2d0427c3eb6322be963c46cf9a4eb39e01a94cddc.{0,1000}","offensive_tool_keyword","Orc","Orc is a post-exploitation framework for Linux written in Bash","T1059.004 - T1036.005 - T1070.002 - T1012 - T1082 - T1003 - T1555.003 - T1049 - T1134.001 - T1202","TA0005 - TA0003 - TA0002 - TA0006 - TA0011","N/A","N/A","Exploitation tool","https://github.com/zMarch/Orc","1","0","#linux #filehash","N/A","9","4","395","53","2019-11-12T18:21:27Z","2018-08-16T11:31:39Z","26473"
"*810b9f7c517f7f00516340661ecaf5610b89ea25ff5261964abe067a40c474c2*",".{0,1000}810b9f7c517f7f00516340661ecaf5610b89ea25ff5261964abe067a40c474c2.{0,1000}","offensive_tool_keyword","Orc","Orc is a post-exploitation framework for Linux written in Bash","T1059.004 - T1036.005 - T1070.002 - T1012 - T1082 - T1003 - T1555.003 - T1049 - T1134.001 - T1202","TA0005 - TA0003 - TA0002 - TA0006 - TA0011","N/A","N/A","Exploitation tool","https://github.com/zMarch/Orc","1","0","#linux #filehash","N/A","9","4","395","53","2019-11-12T18:21:27Z","2018-08-16T11:31:39Z","29956"
"*find /tmp/ -executable -type f 2>/dev/null*",".{0,1000}find\s\/tmp\/\s\-executable\s\-type\sf\s2\>\/dev\/null.{0,1000}","offensive_tool_keyword","Orc","Orc is a post-exploitation framework for Linux written in Bash","T1059.004 - T1036.005 - T1070.002 - T1012 - T1082 - T1003 - T1555.003 - T1049 - T1134.001 - T1202","TA0005 - TA0003 - TA0002 - TA0006 - TA0011","N/A","N/A","Exploitation tool","https://github.com/zMarch/Orc","1","0","#linux","N/A","9","4","395","53","2019-11-12T18:21:27Z","2018-08-16T11:31:39Z","45013"
