"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","metadata_entry_id"
"*/cloudbrute.yaml*",".{0,1000}\/cloudbrute\.yaml.{0,1000}","offensive_tool_keyword","Osmedeus","Osmedeus - A Workflow Engine for Offensive Security","T1595","TA0043","N/A","N/A","Exploitation tool","https://github.com/j3ssie/osmedeus","1","1","N/A","N/A","N/A","10","5566","907","2025-04-22T14:57:07Z","2018-11-10T04:17:18Z","6090"
"*/osmedeus*",".{0,1000}\/osmedeus.{0,1000}","offensive_tool_keyword","Osmedeus","Osmedeus - A Workflow Engine for Offensive Security","T1595","TA0043","N/A","N/A","Exploitation tool","https://github.com/j3ssie/osmedeus","1","1","N/A","N/A","N/A","10","5566","907","2025-04-22T14:57:07Z","2018-11-10T04:17:18Z","9451"
"*/portscan.yaml*",".{0,1000}\/portscan\.yaml.{0,1000}","offensive_tool_keyword","Osmedeus","Osmedeus - A Workflow Engine for Offensive Security","T1595","TA0043","N/A","N/A","Exploitation tool","https://github.com/j3ssie/osmedeus","1","1","N/A","N/A","N/A","10","5566","907","2025-04-22T14:57:07Z","2018-11-10T04:17:18Z","9765"
"*/spider.yaml*",".{0,1000}\/spider\.yaml.{0,1000}","offensive_tool_keyword","Osmedeus","Osmedeus - A Workflow Engine for Offensive Security","T1595","TA0043","N/A","N/A","Exploitation tool","https://github.com/j3ssie/osmedeus","1","1","N/A","N/A","N/A","10","5566","907","2025-04-22T14:57:07Z","2018-11-10T04:17:18Z","11521"
"*/subdomain.yaml*",".{0,1000}\/subdomain\.yaml.{0,1000}","offensive_tool_keyword","Osmedeus","Osmedeus - A Workflow Engine for Offensive Security","T1595","TA0043","N/A","N/A","Exploitation tool","https://github.com/j3ssie/osmedeus","1","1","N/A","N/A","N/A","10","5566","907","2025-04-22T14:57:07Z","2018-11-10T04:17:18Z","11700"
"*/vulnscan.yaml*",".{0,1000}\/vulnscan\.yaml.{0,1000}","offensive_tool_keyword","Osmedeus","Osmedeus - A Workflow Engine for Offensive Security","T1595","TA0043","N/A","N/A","Exploitation tool","https://github.com/j3ssie/osmedeus","1","1","N/A","N/A","N/A","10","5566","907","2025-04-22T14:57:07Z","2018-11-10T04:17:18Z","12489"
"*/workflow/test/dirbscan.yaml*",".{0,1000}\/workflow\/test\/dirbscan\.yaml.{0,1000}","offensive_tool_keyword","Osmedeus","Osmedeus - A Workflow Engine for Offensive Security","T1595","TA0043","N/A","N/A","Exploitation tool","https://github.com/j3ssie/osmedeus","1","1","N/A","N/A","N/A","10","5566","907","2025-04-22T14:57:07Z","2018-11-10T04:17:18Z","12725"
"*osmedeus cloud*",".{0,1000}osmedeus\scloud.{0,1000}","offensive_tool_keyword","Osmedeus","Osmedeus - A Workflow Engine for Offensive Security","T1595","TA0043","N/A","N/A","Exploitation tool","https://github.com/j3ssie/osmedeus","1","0","N/A","N/A","N/A","10","5566","907","2025-04-22T14:57:07Z","2018-11-10T04:17:18Z","54021"
"*osmedeus health*",".{0,1000}osmedeus\shealth.{0,1000}","offensive_tool_keyword","Osmedeus","Osmedeus - A Workflow Engine for Offensive Security","T1595","TA0043","N/A","N/A","Exploitation tool","https://github.com/j3ssie/osmedeus","1","0","N/A","N/A","N/A","10","5566","907","2025-04-22T14:57:07Z","2018-11-10T04:17:18Z","54022"
"*osmedeus provider*",".{0,1000}osmedeus\sprovider.{0,1000}","offensive_tool_keyword","Osmedeus","Osmedeus - A Workflow Engine for Offensive Security","T1595","TA0043","N/A","N/A","Exploitation tool","https://github.com/j3ssie/osmedeus","1","0","N/A","N/A","N/A","10","5566","907","2025-04-22T14:57:07Z","2018-11-10T04:17:18Z","54023"
"*osmedeus scan*",".{0,1000}osmedeus\sscan.{0,1000}","offensive_tool_keyword","Osmedeus","Osmedeus - A Workflow Engine for Offensive Security","T1595","TA0043","N/A","N/A","Exploitation tool","https://github.com/j3ssie/osmedeus","1","0","N/A","N/A","N/A","10","5566","907","2025-04-22T14:57:07Z","2018-11-10T04:17:18Z","54024"
"*osmedeus utils*",".{0,1000}osmedeus\sutils.{0,1000}","offensive_tool_keyword","Osmedeus","Osmedeus - A Workflow Engine for Offensive Security","T1595","TA0043","N/A","N/A","Exploitation tool","https://github.com/j3ssie/osmedeus","1","0","N/A","N/A","N/A","10","5566","907","2025-04-22T14:57:07Z","2018-11-10T04:17:18Z","54025"
"*scan -T list_of_targets.txt*",".{0,1000}scan\s\-T\slist_of_targets\.txt.{0,1000}","offensive_tool_keyword","Osmedeus","Osmedeus - A Workflow Engine for Offensive Security","T1595","TA0043","N/A","N/A","Exploitation tool","https://github.com/j3ssie/osmedeus","1","0","N/A","N/A","N/A","10","5566","907","2025-04-22T14:57:07Z","2018-11-10T04:17:18Z","58096"
