"keyword","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*.exe --signature --driver*","offensive_tool_keyword","POSTDump","Another tool to perform minidump of LSASS process using few technics to avoid detection.","T1003 - T1055 - T1562.001 - T1218","TA0005 - TA0003 - TA0006","N/A","N/A","Credential Access","https://github.com/YOLOP0wn/POSTDump","1","0","N/A","10","3","253","31","2023-11-19T10:17:40Z","2023-09-13T11:28:51Z"
"*/PostDump.exe*","offensive_tool_keyword","POSTDump","perform minidump of LSASS process using few technics to avoid detection.","T1003.001 - T1055 - T1564.001","TA0005 - TA0006","N/A","N/A","Credential Access","https://github.com/YOLOP0wn/POSTDump","1","1","N/A","10","3","253","31","2023-11-19T10:17:40Z","2023-09-13T11:28:51Z"
"*/PostDump.exe*","offensive_tool_keyword","POSTDump","Another tool to perform minidump of LSASS process using few technics to avoid detection.","T1003 - T1055 - T1562.001 - T1218","TA0005 - TA0003 - TA0006","N/A","N/A","Credential Access","https://github.com/YOLOP0wn/POSTDump","1","1","N/A","10","3","253","31","2023-11-19T10:17:40Z","2023-09-13T11:28:51Z"
"*/POSTDump.git*","offensive_tool_keyword","POSTDump","perform minidump of LSASS process using few technics to avoid detection.","T1003.001 - T1055 - T1564.001","TA0005 - TA0006","N/A","N/A","Credential Access","https://github.com/YOLOP0wn/POSTDump","1","1","N/A","10","3","253","31","2023-11-19T10:17:40Z","2023-09-13T11:28:51Z"
"*/POSTDump.git*","offensive_tool_keyword","POSTDump","Another tool to perform minidump of LSASS process using few technics to avoid detection.","T1003 - T1055 - T1562.001 - T1218","TA0005 - TA0003 - TA0006","N/A","N/A","Credential Access","https://github.com/YOLOP0wn/POSTDump","1","1","N/A","10","3","253","31","2023-11-19T10:17:40Z","2023-09-13T11:28:51Z"
"*\lsass.dmp*","offensive_tool_keyword","POSTDump","perform minidump of LSASS process using few technics to avoid detection.","T1003.001 - T1055 - T1564.001","TA0005 - TA0006","N/A","N/A","Credential Access","https://github.com/YOLOP0wn/POSTDump","1","0","N/A","10","3","253","31","2023-11-19T10:17:40Z","2023-09-13T11:28:51Z"
"*\POSTDump.csproj*","offensive_tool_keyword","POSTDump","Another tool to perform minidump of LSASS process using few technics to avoid detection.","T1003 - T1055 - T1562.001 - T1218","TA0005 - TA0003 - TA0006","N/A","N/A","Credential Access","https://github.com/YOLOP0wn/POSTDump","1","0","N/A","10","3","253","31","2023-11-19T10:17:40Z","2023-09-13T11:28:51Z"
"*\PostDump.exe*","offensive_tool_keyword","POSTDump","perform minidump of LSASS process using few technics to avoid detection.","T1003.001 - T1055 - T1564.001","TA0005 - TA0006","N/A","N/A","Credential Access","https://github.com/YOLOP0wn/POSTDump","1","0","N/A","10","3","253","31","2023-11-19T10:17:40Z","2023-09-13T11:28:51Z"
"*\PostDump.exe*","offensive_tool_keyword","POSTDump","Another tool to perform minidump of LSASS process using few technics to avoid detection.","T1003 - T1055 - T1562.001 - T1218","TA0005 - TA0003 - TA0006","N/A","N/A","Credential Access","https://github.com/YOLOP0wn/POSTDump","1","0","N/A","10","3","253","31","2023-11-19T10:17:40Z","2023-09-13T11:28:51Z"
"*\POSTDump.sln*","offensive_tool_keyword","POSTDump","Another tool to perform minidump of LSASS process using few technics to avoid detection.","T1003 - T1055 - T1562.001 - T1218","TA0005 - TA0003 - TA0006","N/A","N/A","Credential Access","https://github.com/YOLOP0wn/POSTDump","1","0","N/A","10","3","253","31","2023-11-19T10:17:40Z","2023-09-13T11:28:51Z"
