"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","metadata_entry_id"
"* PowerBreach.ps1*",".{0,1000}\sPowerBreach\.ps1.{0,1000}","offensive_tool_keyword","PowerBreach","PowerBreach is a backdoor toolkit that aims to provide the user a wide variety of methods to backdoor a system","T1055 - T1203 - T1105 - T1202 - T1027 - T1059 - T1070","TA0005 - TA0003 - TA0011","N/A","N/A","C2","https://github.com/PowerShellEmpire/PowerTools","1","0","N/A","N/A","10","10","2106","815","2021-12-28T21:00:42Z","2014-03-06T14:49:51Z","2647"
"*!!! THIS BACKDOOR REQUIRES FIREWALL EXCEPTION !!!*",".{0,1000}!!!\sTHIS\sBACKDOOR\sREQUIRES\sFIREWALL\sEXCEPTION\s!!!.{0,1000}","offensive_tool_keyword","PowerBreach","PowerBreach is a backdoor toolkit that aims to provide the user a wide variety of methods to backdoor a system","T1055 - T1203 - T1105 - T1202 - T1027 - T1059 - T1070","TA0005 - TA0003 - TA0011","N/A","N/A","C2","https://github.com/PowerShellEmpire/PowerTools","1","0","N/A","N/A","10","10","2106","815","2021-12-28T21:00:42Z","2014-03-06T14:49:51Z","3797"
"*/PowerBreach.ps1*",".{0,1000}\/PowerBreach\.ps1.{0,1000}","offensive_tool_keyword","PowerBreach","PowerBreach is a backdoor toolkit that aims to provide the user a wide variety of methods to backdoor a system","T1055 - T1203 - T1105 - T1202 - T1027 - T1059 - T1070","TA0005 - TA0003 - TA0011","N/A","N/A","C2","https://github.com/PowerShellEmpire/PowerTools","1","1","N/A","N/A","10","10","2106","815","2021-12-28T21:00:42Z","2014-03-06T14:49:51Z","9796"
"*\PowerBreach.ps1*",".{0,1000}\\PowerBreach\.ps1.{0,1000}","offensive_tool_keyword","PowerBreach","PowerBreach is a backdoor toolkit that aims to provide the user a wide variety of methods to backdoor a system","T1055 - T1203 - T1105 - T1202 - T1027 - T1059 - T1070","TA0005 - TA0003 - TA0011","N/A","N/A","C2","https://github.com/PowerShellEmpire/PowerTools","1","0","N/A","N/A","10","10","2106","815","2021-12-28T21:00:42Z","2014-03-06T14:49:51Z","17353"
"*4808ad1202bb14375f19929cb389433ffca4b27eaba4490da262a48f57b5af64*",".{0,1000}4808ad1202bb14375f19929cb389433ffca4b27eaba4490da262a48f57b5af64.{0,1000}","offensive_tool_keyword","PowerBreach","PowerBreach is a backdoor toolkit that aims to provide the user a wide variety of methods to backdoor a system","T1055 - T1203 - T1105 - T1202 - T1027 - T1059 - T1070","TA0005 - TA0003 - TA0011","N/A","N/A","C2","https://github.com/PowerShellEmpire/PowerTools","1","0","#filehash","N/A","10","10","2106","815","2021-12-28T21:00:42Z","2014-03-06T14:49:51Z","25896"
"*6ce500821488255bc70acd310d8162308fd14a4fa214c79c2d9a354c705de6d7*",".{0,1000}6ce500821488255bc70acd310d8162308fd14a4fa214c79c2d9a354c705de6d7.{0,1000}","offensive_tool_keyword","PowerBreach","PowerBreach is a backdoor toolkit that aims to provide the user a wide variety of methods to backdoor a system","T1055 - T1203 - T1105 - T1202 - T1027 - T1059 - T1070","TA0005 - TA0003 - TA0011","N/A","N/A","C2","https://github.com/PowerShellEmpire/PowerTools","1","0","#filehash","N/A","10","10","2106","815","2021-12-28T21:00:42Z","2014-03-06T14:49:51Z","28516"
"*Add-PSFirewallRules*",".{0,1000}Add\-PSFirewallRules.{0,1000}","offensive_tool_keyword","PowerBreach","PowerBreach is a backdoor toolkit that aims to provide the user a wide variety of methods to backdoor a system","T1055 - T1203 - T1105 - T1202 - T1027 - T1059 - T1070","TA0005 - TA0003 - TA0011","N/A","N/A","C2","https://github.com/PowerShellEmpire/PowerTools","1","0","N/A","N/A","10","10","2106","815","2021-12-28T21:00:42Z","2014-03-06T14:49:51Z","33360"
"*Invoke-CallbackIEX*",".{0,1000}Invoke\-CallbackIEX.{0,1000}","offensive_tool_keyword","PowerBreach","PowerBreach is a backdoor toolkit that aims to provide the user a wide variety of methods to backdoor a system","T1055 - T1203 - T1105 - T1202 - T1027 - T1059 - T1070","TA0005 - TA0003 - TA0011","N/A","N/A","C2","https://github.com/PowerShellEmpire/PowerTools","1","1","N/A","N/A","10","10","2106","815","2021-12-28T21:00:42Z","2014-03-06T14:49:51Z","48888"
"*Invoke-DeadUserBackdoor*",".{0,1000}Invoke\-DeadUserBackdoor.{0,1000}","offensive_tool_keyword","PowerBreach","PowerBreach is a backdoor toolkit that aims to provide the user a wide variety of methods to backdoor a system","T1055 - T1203 - T1105 - T1202 - T1027 - T1059 - T1070","TA0005 - TA0003 - TA0011","N/A","N/A","C2","https://github.com/PowerShellEmpire/PowerTools","1","1","N/A","N/A","10","10","2106","815","2021-12-28T21:00:42Z","2014-03-06T14:49:51Z","48946"
"*Invoke-EventLogBackdoor*",".{0,1000}Invoke\-EventLogBackdoor.{0,1000}","offensive_tool_keyword","PowerBreach","PowerBreach is a backdoor toolkit that aims to provide the user a wide variety of methods to backdoor a system","T1055 - T1203 - T1105 - T1202 - T1027 - T1059 - T1070","TA0005 - TA0003 - TA0011","N/A","N/A","C2","https://github.com/PowerShellEmpire/PowerTools","1","1","N/A","N/A","10","10","2106","815","2021-12-28T21:00:42Z","2014-03-06T14:49:51Z","49018"
