"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/PySQLRecon.git*",".{0,1000}\/PySQLRecon\.git.{0,1000}","offensive_tool_keyword","PySQLRecon","Offensive MSSQL toolkit written in Python, based off SQLRecon","T1040 - T1078 - T1072 - T1223 - T1059 - T1213","TA0001 - TA0002 - TA0007 - TA0009","N/A","N/A","Exploitation tools","https://github.com/Tw1sm/PySQLRecon","1","1","N/A","10","2","170","12","2024-06-26T11:27:07Z","2023-09-03T01:14:35Z"
"*/PySQLRecon/tarball*",".{0,1000}\/PySQLRecon\/tarball.{0,1000}","offensive_tool_keyword","PySQLRecon","Offensive MSSQL toolkit written in Python, based off SQLRecon","T1040 - T1078 - T1072 - T1223 - T1059 - T1213","TA0001 - TA0002 - TA0007 - TA0009","N/A","N/A","Exploitation tools","https://github.com/Tw1sm/PySQLRecon","1","1","N/A","10","2","170","12","2024-06-26T11:27:07Z","2023-09-03T01:14:35Z"
"*/PySQLRecon/zipball*",".{0,1000}\/PySQLRecon\/zipball.{0,1000}","offensive_tool_keyword","PySQLRecon","Offensive MSSQL toolkit written in Python, based off SQLRecon","T1040 - T1078 - T1072 - T1223 - T1059 - T1213","TA0001 - TA0002 - TA0007 - TA0009","N/A","N/A","Exploitation tools","https://github.com/Tw1sm/PySQLRecon","1","1","N/A","10","2","170","12","2024-06-26T11:27:07Z","2023-09-03T01:14:35Z"
"*2bcf6152e45cf60959f276a1e7482752895a5b17dc4d4a307a470c1a40284705*",".{0,1000}2bcf6152e45cf60959f276a1e7482752895a5b17dc4d4a307a470c1a40284705.{0,1000}","offensive_tool_keyword","PySQLRecon","Offensive MSSQL toolkit written in Python, based off SQLRecon","T1040 - T1078 - T1072 - T1223 - T1059 - T1213","TA0001 - TA0002 - TA0007 - TA0009","N/A","N/A","Exploitation tools","https://github.com/Tw1sm/PySQLRecon","1","0","#filehash","10","2","170","12","2024-06-26T11:27:07Z","2023-09-03T01:14:35Z"
"*55d72ecccc3e6bbf42653009b63e1c1e90b134714aca78dfd36ec35003bc3d76*",".{0,1000}55d72ecccc3e6bbf42653009b63e1c1e90b134714aca78dfd36ec35003bc3d76.{0,1000}","offensive_tool_keyword","PySQLRecon","Offensive MSSQL toolkit written in Python, based off SQLRecon","T1040 - T1078 - T1072 - T1223 - T1059 - T1213","TA0001 - TA0002 - TA0007 - TA0009","N/A","N/A","Exploitation tools","https://github.com/Tw1sm/PySQLRecon","1","0","#filehash","10","2","170","12","2024-06-26T11:27:07Z","2023-09-03T01:14:35Z"
"*8213d434f255fbfba9d5432770a6b4ff85463271047384feba7176a301436634*",".{0,1000}8213d434f255fbfba9d5432770a6b4ff85463271047384feba7176a301436634.{0,1000}","offensive_tool_keyword","PySQLRecon","Offensive MSSQL toolkit written in Python, based off SQLRecon","T1040 - T1078 - T1072 - T1223 - T1059 - T1213","TA0001 - TA0002 - TA0007 - TA0009","N/A","N/A","Exploitation tools","https://github.com/Tw1sm/PySQLRecon","1","0","#filehash","10","2","170","12","2024-06-26T11:27:07Z","2023-09-03T01:14:35Z"
"*fde8744f64a41afea0aca93478a8e310a86dd3ac1e716bfdd6687e954ad2231e*",".{0,1000}fde8744f64a41afea0aca93478a8e310a86dd3ac1e716bfdd6687e954ad2231e.{0,1000}","offensive_tool_keyword","PySQLRecon","Offensive MSSQL toolkit written in Python, based off SQLRecon","T1040 - T1078 - T1072 - T1223 - T1059 - T1213","TA0001 - TA0002 - TA0007 - TA0009","N/A","N/A","Exploitation tools","https://github.com/Tw1sm/PySQLRecon","1","0","#filehash","10","2","170","12","2024-06-26T11:27:07Z","2023-09-03T01:14:35Z"
"*poetry run pysqlrecon*",".{0,1000}poetry\srun\spysqlrecon.{0,1000}","offensive_tool_keyword","PySQLRecon","Offensive MSSQL toolkit written in Python, based off SQLRecon","T1040 - T1078 - T1072 - T1223 - T1059 - T1213","TA0001 - TA0002 - TA0007 - TA0009","N/A","N/A","Exploitation tools","https://github.com/Tw1sm/PySQLRecon","1","0","N/A","10","2","170","12","2024-06-26T11:27:07Z","2023-09-03T01:14:35Z"
"*pysqlrecon.db*",".{0,1000}pysqlrecon\.db.{0,1000}","offensive_tool_keyword","PySQLRecon","Offensive MSSQL toolkit written in Python, based off SQLRecon","T1040 - T1078 - T1072 - T1223 - T1059 - T1213","TA0001 - TA0002 - TA0007 - TA0009","N/A","N/A","Exploitation tools","https://github.com/Tw1sm/PySQLRecon","1","0","N/A","10","2","170","12","2024-06-26T11:27:07Z","2023-09-03T01:14:35Z"
"*pysqlrecon.lib*",".{0,1000}pysqlrecon\.lib.{0,1000}","offensive_tool_keyword","PySQLRecon","Offensive MSSQL toolkit written in Python, based off SQLRecon","T1040 - T1078 - T1072 - T1223 - T1059 - T1213","TA0001 - TA0002 - TA0007 - TA0009","N/A","N/A","Exploitation tools","https://github.com/Tw1sm/PySQLRecon","1","0","N/A","10","2","170","12","2024-06-26T11:27:07Z","2023-09-03T01:14:35Z"
