"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* crde_arm_musl https -*",".{0,1000}\scrde_arm_musl\shttps\s\-.{0,1000}","offensive_tool_keyword","RDE1","RDE1 (Rusty Data Exfiltrator) is client and server tool allowing auditor to extract files from DNS and HTTPS protocols written in Rust","T1048.003 - T1567.001 - T1020","TA0011 - TA0010 - TA0040","N/A","N/A","C2","https://github.com/g0h4n/RDE1","1","0","N/A","10","10","34","5","2023-10-02T17:47:11Z","2023-09-25T20:29:08Z"
"* crde_armv7 https -*",".{0,1000}\scrde_armv7\shttps\s\-.{0,1000}","offensive_tool_keyword","RDE1","RDE1 (Rusty Data Exfiltrator) is client and server tool allowing auditor to extract files from DNS and HTTPS protocols written in Rust","T1048.003 - T1567.001 - T1020","TA0011 - TA0010 - TA0040","N/A","N/A","C2","https://github.com/g0h4n/RDE1","1","0","N/A","10","10","34","5","2023-10-02T17:47:11Z","2023-09-25T20:29:08Z"
"* crde_debug https -*",".{0,1000}\scrde_debug\shttps\s\-.{0,1000}","offensive_tool_keyword","RDE1","RDE1 (Rusty Data Exfiltrator) is client and server tool allowing auditor to extract files from DNS and HTTPS protocols written in Rust","T1048.003 - T1567.001 - T1020","TA0011 - TA0010 - TA0040","N/A","N/A","C2","https://github.com/g0h4n/RDE1","1","0","N/A","10","10","34","5","2023-10-02T17:47:11Z","2023-09-25T20:29:08Z"
"* crde_linux https -*",".{0,1000}\scrde_linux\shttps\s\-.{0,1000}","offensive_tool_keyword","RDE1","RDE1 (Rusty Data Exfiltrator) is client and server tool allowing auditor to extract files from DNS and HTTPS protocols written in Rust","T1048.003 - T1567.001 - T1020","TA0011 - TA0010 - TA0040","N/A","N/A","C2","https://github.com/g0h4n/RDE1","1","0","N/A","10","10","34","5","2023-10-02T17:47:11Z","2023-09-25T20:29:08Z"
"* crde_linux_aarch64 https -*",".{0,1000}\scrde_linux_aarch64\shttps\s\-.{0,1000}","offensive_tool_keyword","RDE1","RDE1 (Rusty Data Exfiltrator) is client and server tool allowing auditor to extract files from DNS and HTTPS protocols written in Rust","T1048.003 - T1567.001 - T1020","TA0011 - TA0010 - TA0040","N/A","N/A","C2","https://github.com/g0h4n/RDE1","1","0","N/A","10","10","34","5","2023-10-02T17:47:11Z","2023-09-25T20:29:08Z"
"* crde_linux_x86_64 https -*",".{0,1000}\scrde_linux_x86_64\shttps\s\-.{0,1000}","offensive_tool_keyword","RDE1","RDE1 (Rusty Data Exfiltrator) is client and server tool allowing auditor to extract files from DNS and HTTPS protocols written in Rust","T1048.003 - T1567.001 - T1020","TA0011 - TA0010 - TA0040","N/A","N/A","C2","https://github.com/g0h4n/RDE1","1","0","N/A","10","10","34","5","2023-10-02T17:47:11Z","2023-09-25T20:29:08Z"
"* crde_macos https -*",".{0,1000}\scrde_macos\shttps\s\-.{0,1000}","offensive_tool_keyword","RDE1","RDE1 (Rusty Data Exfiltrator) is client and server tool allowing auditor to extract files from DNS and HTTPS protocols written in Rust","T1048.003 - T1567.001 - T1020","TA0011 - TA0010 - TA0040","N/A","N/A","C2","https://github.com/g0h4n/RDE1","1","0","N/A","10","10","34","5","2023-10-02T17:47:11Z","2023-09-25T20:29:08Z"
"* crde_release https -*",".{0,1000}\scrde_release\shttps\s\-.{0,1000}","offensive_tool_keyword","RDE1","RDE1 (Rusty Data Exfiltrator) is client and server tool allowing auditor to extract files from DNS and HTTPS protocols written in Rust","T1048.003 - T1567.001 - T1020","TA0011 - TA0010 - TA0040","N/A","N/A","C2","https://github.com/g0h4n/RDE1","1","0","N/A","10","10","34","5","2023-10-02T17:47:11Z","2023-09-25T20:29:08Z"
"* crde_windows https -*",".{0,1000}\scrde_windows\shttps\s\-.{0,1000}","offensive_tool_keyword","RDE1","RDE1 (Rusty Data Exfiltrator) is client and server tool allowing auditor to extract files from DNS and HTTPS protocols written in Rust","T1048.003 - T1567.001 - T1020","TA0011 - TA0010 - TA0040","N/A","N/A","C2","https://github.com/g0h4n/RDE1","1","0","N/A","10","10","34","5","2023-10-02T17:47:11Z","2023-09-25T20:29:08Z"
"* crde_windows_x64 https -*",".{0,1000}\scrde_windows_x64\shttps\s\-.{0,1000}","offensive_tool_keyword","RDE1","RDE1 (Rusty Data Exfiltrator) is client and server tool allowing auditor to extract files from DNS and HTTPS protocols written in Rust","T1048.003 - T1567.001 - T1020","TA0011 - TA0010 - TA0040","N/A","N/A","C2","https://github.com/g0h4n/RDE1","1","0","N/A","10","10","34","5","2023-10-02T17:47:11Z","2023-09-25T20:29:08Z"
