"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/Radmin.exe*","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","1","N/A","10","10","N/A","N/A","N/A","N/A"
"*/rserver3.exe*","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","1","N/A","10","10","N/A","N/A","N/A","N/A"
"*\AppData\Local\Temp\*_Radmin_3.*.zip*","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\AppData\Roaming\Radmin*","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\Radmin.exe*","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\RADMIN.EXE-*.pf*","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\Radmin\radmin.rpb*","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\Radmin_Server_*.msi*","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\Radmin_Viewer_*.msi*","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\rserver3.exe*","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\rsetup64.exe*/stop*","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\rsl.exe /setup*","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\rsl.exe*/stop*","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\Start Menu\Programs\Radmin Server *","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\Start Menu\Programs\Radmin Viewer *","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\SysWOW64\rserver30\FamItrf2*","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\SysWOW64\rserver30\FamItrfc*","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\Windows\SysWOW64\rserver30\*","N/A","greyware_tool_keyword","Radmin","Radmin is a remote control program that lets you work on another computer through your own","T1021 - T1076 - T1563","TA0008 - TA0009 - TA0002","N/A","N/A","RMM","https://www.radmin.com/download/","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
