"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*.exe --eventviewer *.exe*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*.exe --pwsh *.ps1 *.exe*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*.exe --schedule * *.exe*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*.exe --screensaver *:\*.exe*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*.exe --startup *:\*.exe*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*.exe --winlogon * *:\*.exe*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*.exe --wmi *:\*.exe*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*/RedPersist.exe*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","1","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*/RedPersist.git*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","1","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*\RedPersist.exe*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*\RedPersist.pdb*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*\RedPersist.sln*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*\RedPersist-main\*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*] Eventviewer Persistence created*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*] Extension Hijacking Persistence created*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*] Powershell Persistence created*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*] Screensaver Persistence created*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*] Startup Persistence created*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*] UserInitMprLogonScript Persistence created*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*BD745A5E-A1E9-4FDD-A15B-E9F303A625AE*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*bd745a5e-a1e9-4fdd-a15b-e9f303a625ae*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*Hello From sadsad Team*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*mertdas/RedPersist*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","1","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*namespace RedPersist.Persist*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*Persist\autorun.cs*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*Persist\eventviewer.cs*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*Persist\powershell.cs*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*Persist\screensaver.cs*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*Persist\startup.cs*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
"*Persist\winlogon.cs*","N/A","offensive_tool_keyword","RedPersist","RedPersist is a Windows Persistence tool written in C#","T1053 - T1547 - T1112","TA0004 - TA0005 - TA0040","N/A","N/A","Persistence","https://github.com/mertdas/RedPersist","1","0","N/A","10","2","178","27","2023-09-25T19:58:47Z","2023-08-13T22:10:46Z"
