"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","metadata_entry_id"
"* CMSFRottenPotato::*",".{0,1000}\sCMSFRottenPotato\:\:.{0,1000}","offensive_tool_keyword","RottenPotatoNG","perform the RottenPotato attack and get a handle to a privileged token","T1134.001 - T1055.012 - T1547.001","TA0004","N/A","Sandworm","Privilege Escalation","https://github.com/breenmachine/RottenPotatoNG","1","0","#content","N/A","8","10","935","183","2017-12-29T14:38:47Z","2017-12-29T13:19:03Z","619"
"*/RottenPotatoNG.git*",".{0,1000}\/RottenPotatoNG\.git.{0,1000}","offensive_tool_keyword","RottenPotatoNG","perform the RottenPotato attack and get a handle to a privileged token","T1134.001 - T1055.012 - T1547.001","TA0004","N/A","Sandworm","Privilege Escalation","https://github.com/breenmachine/RottenPotatoNG","1","1","N/A","N/A","8","10","935","183","2017-12-29T14:38:47Z","2017-12-29T13:19:03Z","10527"
"*\MSFRottenPotato.cpp*",".{0,1000}\\MSFRottenPotato\.cpp.{0,1000}","offensive_tool_keyword","RottenPotatoNG","perform the RottenPotato attack and get a handle to a privileged token","T1134.001 - T1055.012 - T1547.001","TA0004","N/A","Sandworm","Privilege Escalation","https://github.com/breenmachine/RottenPotatoNG","1","0","N/A","N/A","8","10","935","183","2017-12-29T14:38:47Z","2017-12-29T13:19:03Z","16673"
"*\MSFRottenPotato.log*",".{0,1000}\\MSFRottenPotato\.log.{0,1000}","offensive_tool_keyword","RottenPotatoNG","perform the RottenPotato attack and get a handle to a privileged token","T1134.001 - T1055.012 - T1547.001","TA0004","N/A","Sandworm","Privilege Escalation","https://github.com/breenmachine/RottenPotatoNG","1","0","N/A","N/A","8","10","935","183","2017-12-29T14:38:47Z","2017-12-29T13:19:03Z","16675"
"*\MSFRottenPotato.sln*",".{0,1000}\\MSFRottenPotato\.sln.{0,1000}","offensive_tool_keyword","RottenPotatoNG","perform the RottenPotato attack and get a handle to a privileged token","T1134.001 - T1055.012 - T1547.001","TA0004","N/A","Sandworm","Privilege Escalation","https://github.com/breenmachine/RottenPotatoNG","1","0","N/A","N/A","8","10","935","183","2017-12-29T14:38:47Z","2017-12-29T13:19:03Z","16676"
"*\MSFRottenPotatoTestHarness.*",".{0,1000}\\MSFRottenPotatoTestHarness\..{0,1000}","offensive_tool_keyword","RottenPotatoNG","perform the RottenPotato attack and get a handle to a privileged token","T1134.001 - T1055.012 - T1547.001","TA0004","N/A","Sandworm","Privilege Escalation","https://github.com/breenmachine/RottenPotatoNG","1","0","N/A","N/A","8","10","935","183","2017-12-29T14:38:47Z","2017-12-29T13:19:03Z","16677"
"*\RottenPotatoNG-main*",".{0,1000}\\RottenPotatoNG\-main.{0,1000}","offensive_tool_keyword","RottenPotatoNG","perform the RottenPotato attack and get a handle to a privileged token","T1134.001 - T1055.012 - T1547.001","TA0004","N/A","Sandworm","Privilege Escalation","https://github.com/breenmachine/RottenPotatoNG","1","0","N/A","N/A","8","10","935","183","2017-12-29T14:38:47Z","2017-12-29T13:19:03Z","18107"
"*\RottenPotatoNG-master*",".{0,1000}\\RottenPotatoNG\-master.{0,1000}","offensive_tool_keyword","RottenPotatoNG","perform the RottenPotato attack and get a handle to a privileged token","T1134.001 - T1055.012 - T1547.001","TA0004","N/A","Sandworm","Privilege Escalation","https://github.com/breenmachine/RottenPotatoNG","1","0","N/A","N/A","8","10","935","183","2017-12-29T14:38:47Z","2017-12-29T13:19:03Z","18108"
"*0fb342f94f359c9f54205a979854b7a3a3910bb7e118f0fc44cead28ebd81f0d*",".{0,1000}0fb342f94f359c9f54205a979854b7a3a3910bb7e118f0fc44cead28ebd81f0d.{0,1000}","offensive_tool_keyword","RottenPotatoNG","perform the RottenPotato attack and get a handle to a privileged token","T1134.001 - T1055.012 - T1547.001","TA0004","N/A","Sandworm","Privilege Escalation","https://github.com/breenmachine/RottenPotatoNG","1","0","#filehash","N/A","8","10","935","183","2017-12-29T14:38:47Z","2017-12-29T13:19:03Z","21800"
"*1d6d4c0b001fc20d404d6e2ec3625d9fc245c31484023e2ac7a3b123eec8cce1*",".{0,1000}1d6d4c0b001fc20d404d6e2ec3625d9fc245c31484023e2ac7a3b123eec8cce1.{0,1000}","offensive_tool_keyword","RottenPotatoNG","perform the RottenPotato attack and get a handle to a privileged token","T1134.001 - T1055.012 - T1547.001","TA0004","N/A","Sandworm","Privilege Escalation","https://github.com/breenmachine/RottenPotatoNG","1","0","#filehash","N/A","8","10","935","183","2017-12-29T14:38:47Z","2017-12-29T13:19:03Z","22823"
"*2e67c9adb1962e9b5c9a025b2901fc01e2a214b53f5552656a07f2057307f6e5*",".{0,1000}2e67c9adb1962e9b5c9a025b2901fc01e2a214b53f5552656a07f2057307f6e5.{0,1000}","offensive_tool_keyword","RottenPotatoNG","perform the RottenPotato attack and get a handle to a privileged token","T1134.001 - T1055.012 - T1547.001","TA0004","N/A","Sandworm","Privilege Escalation","https://github.com/breenmachine/RottenPotatoNG","1","0","#filehash","N/A","8","10","935","183","2017-12-29T14:38:47Z","2017-12-29T13:19:03Z","24001"
