"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* can now impersonate users on * via S4U2Proxy*",".{0,1000}\scan\snow\simpersonate\susers\son\s.{0,1000}\svia\sS4U2Proxy.{0,1000}","offensive_tool_keyword","SharpADWS","SharpADWS Active Directory reconnaissance and exploitation for Red Teams via the Active Directory Web Services (ADWS)","T1087 - T1069 - T1018 - T1083 - T1595","TA0001 - TA0002 - TA0007","N/A","N/A","Discovery","https://github.com/wh0amitz/SharpADWS","1","0","N/A","7","4","326","30","2024-03-19T08:57:52Z","2024-02-13T17:28:00Z"
"* Kerberoastable -action list*",".{0,1000}\sKerberoastable\s\-action\slist.{0,1000}","offensive_tool_keyword","SharpADWS","SharpADWS Active Directory reconnaissance and exploitation for Red Teams via the Active Directory Web Services (ADWS)","T1087 - T1069 - T1018 - T1083 - T1595","TA0001 - TA0002 - TA0007","N/A","N/A","Discovery","https://github.com/wh0amitz/SharpADWS","1","0","N/A","7","4","326","30","2024-03-19T08:57:52Z","2024-02-13T17:28:00Z"
"* Kerberoastable -action write -target *",".{0,1000}\sKerberoastable\s\-action\swrite\s\-target\s.{0,1000}","offensive_tool_keyword","SharpADWS","SharpADWS Active Directory reconnaissance and exploitation for Red Teams via the Active Directory Web Services (ADWS)","T1087 - T1069 - T1018 - T1083 - T1595","TA0001 - TA0002 - TA0007","N/A","N/A","Discovery","https://github.com/wh0amitz/SharpADWS","1","0","N/A","7","4","326","30","2024-03-19T08:57:52Z","2024-02-13T17:28:00Z"
"* RBCD -action write -delegate-to * -delegate-from *",".{0,1000}\sRBCD\s\-action\swrite\s\-delegate\-to\s.{0,1000}\s\-delegate\-from\s.{0,1000}","offensive_tool_keyword","SharpADWS","SharpADWS Active Directory reconnaissance and exploitation for Red Teams via the Active Directory Web Services (ADWS)","T1087 - T1069 - T1018 - T1083 - T1595","TA0001 - TA0002 - TA0007","N/A","N/A","Discovery","https://github.com/wh0amitz/SharpADWS","1","0","N/A","7","4","326","30","2024-03-19T08:57:52Z","2024-02-13T17:28:00Z"
"*.exe acl -dn * -scope * -trustee *",".{0,1000}\.exe\sacl\s\-dn\s.{0,1000}\s\-scope\s.{0,1000}\s\-trustee\s.{0,1000}","offensive_tool_keyword","SharpADWS","SharpADWS Active Directory reconnaissance and exploitation for Red Teams via the Active Directory Web Services (ADWS)","T1087 - T1069 - T1018 - T1083 - T1595","TA0001 - TA0002 - TA0007","N/A","N/A","Discovery","https://github.com/wh0amitz/SharpADWS","1","0","N/A","7","4","326","30","2024-03-19T08:57:52Z","2024-02-13T17:28:00Z"
"*.exe Certify -action find -enrolleeSuppliesSubject -clientAuth*",".{0,1000}\.exe\sCertify\s\-action\sfind\s\-enrolleeSuppliesSubject\s\-clientAuth.{0,1000}","offensive_tool_keyword","SharpADWS","SharpADWS Active Directory reconnaissance and exploitation for Red Teams via the Active Directory Web Services (ADWS)","T1087 - T1069 - T1018 - T1083 - T1595","TA0001 - TA0002 - TA0007","N/A","N/A","Discovery","https://github.com/wh0amitz/SharpADWS","1","0","N/A","7","4","326","30","2024-03-19T08:57:52Z","2024-02-13T17:28:00Z"
"*.exe Certify -action find*",".{0,1000}\.exe\sCertify\s\-action\sfind.{0,1000}","offensive_tool_keyword","SharpADWS","SharpADWS Active Directory reconnaissance and exploitation for Red Teams via the Active Directory Web Services (ADWS)","T1087 - T1069 - T1018 - T1083 - T1595","TA0001 - TA0002 - TA0007","N/A","N/A","Discovery","https://github.com/wh0amitz/SharpADWS","1","0","N/A","7","4","326","30","2024-03-19T08:57:52Z","2024-02-13T17:28:00Z"
"*.exe DCSync -action list*",".{0,1000}\.exe\sDCSync\s\-action\slist.{0,1000}","offensive_tool_keyword","SharpADWS","SharpADWS Active Directory reconnaissance and exploitation for Red Teams via the Active Directory Web Services (ADWS)","T1087 - T1069 - T1018 - T1083 - T1595","TA0001 - TA0002 - TA0007","N/A","N/A","Discovery","https://github.com/wh0amitz/SharpADWS","1","0","N/A","7","4","326","30","2024-03-19T08:57:52Z","2024-02-13T17:28:00Z"
"*.exe DCSync -action write -target *",".{0,1000}\.exe\sDCSync\s\-action\swrite\s\-target\s.{0,1000}","offensive_tool_keyword","SharpADWS","SharpADWS Active Directory reconnaissance and exploitation for Red Teams via the Active Directory Web Services (ADWS)","T1087 - T1069 - T1018 - T1083 - T1595","TA0001 - TA0002 - TA0007","N/A","N/A","Discovery","https://github.com/wh0amitz/SharpADWS","1","0","N/A","7","4","326","30","2024-03-19T08:57:52Z","2024-02-13T17:28:00Z"
"*.exe DontReqPreAuth -action list*",".{0,1000}\.exe\sDontReqPreAuth\s\-action\slist.{0,1000}","offensive_tool_keyword","SharpADWS","SharpADWS Active Directory reconnaissance and exploitation for Red Teams via the Active Directory Web Services (ADWS)","T1087 - T1069 - T1018 - T1083 - T1595","TA0001 - TA0002 - TA0007","N/A","N/A","Discovery","https://github.com/wh0amitz/SharpADWS","1","0","N/A","7","4","326","30","2024-03-19T08:57:52Z","2024-02-13T17:28:00Z"
"*.exe DontReqPreAuth -action write -target *",".{0,1000}\.exe\sDontReqPreAuth\s\-action\swrite\s\-target\s.{0,1000}","offensive_tool_keyword","SharpADWS","SharpADWS Active Directory reconnaissance and exploitation for Red Teams via the Active Directory Web Services (ADWS)","T1087 - T1069 - T1018 - T1083 - T1595","TA0001 - TA0002 - TA0007","N/A","N/A","Discovery","https://github.com/wh0amitz/SharpADWS","1","0","N/A","7","4","326","30","2024-03-19T08:57:52Z","2024-02-13T17:28:00Z"
"*.exe RBCD -action read -delegate-to *",".{0,1000}\.exe\sRBCD\s\-action\sread\s\-delegate\-to\s.{0,1000}","offensive_tool_keyword","SharpADWS","SharpADWS Active Directory reconnaissance and exploitation for Red Teams via the Active Directory Web Services (ADWS)","T1087 - T1069 - T1018 - T1083 - T1595","TA0001 - TA0002 - TA0007","N/A","N/A","Discovery","https://github.com/wh0amitz/SharpADWS","1","0","N/A","7","4","326","30","2024-03-19T08:57:52Z","2024-02-13T17:28:00Z"
"*.exe Whisker -action add -target * -cert-pass *",".{0,1000}\.exe\sWhisker\s\-action\sadd\s\-target\s.{0,1000}\s\-cert\-pass\s.{0,1000}","offensive_tool_keyword","SharpADWS","SharpADWS Active Directory reconnaissance and exploitation for Red Teams via the Active Directory Web Services (ADWS)","T1087 - T1069 - T1018 - T1083 - T1595","TA0001 - TA0002 - TA0007","N/A","N/A","Discovery","https://github.com/wh0amitz/SharpADWS","1","0","N/A","7","4","326","30","2024-03-19T08:57:52Z","2024-02-13T17:28:00Z"
