"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*2f3c1b3378d19418aa4c99685f3ab9d6730c132a920946b64c0e4edc9efd5ed6*","N/A","offensive_tool_keyword","SharpBruteForceSSH","simple SSH brute force tool ","T1110.003 - T1078","TA0006 ","N/A","N/A","Credential Access","https://github.com/HernanRodriguez1/SharpBruteForceSSH","1","0","#file_hash","9","1","51","8","2024-04-28T17:56:33Z","2024-04-25T20:06:05Z"
"*4775208998622726a1b1a5f156e6e88b2ba4e568416795c19358d7380c35b0b8*","N/A","offensive_tool_keyword","SharpBruteForceSSH","simple SSH brute force tool ","T1110.003 - T1078","TA0006 ","N/A","N/A","Credential Access","https://github.com/HernanRodriguez1/SharpBruteForceSSH","1","0","#file_hash","9","1","51","8","2024-04-28T17:56:33Z","2024-04-25T20:06:05Z"
"*9ec223a7538868ec25a3823217038beedef36d8dd1f8e388c056bf79fd864b93*","N/A","offensive_tool_keyword","SharpBruteForceSSH","simple SSH brute force tool ","T1110.003 - T1078","TA0006 ","N/A","N/A","Credential Access","https://github.com/HernanRodriguez1/SharpBruteForceSSH","1","0","#file_hash","9","1","51","8","2024-04-28T17:56:33Z","2024-04-25T20:06:05Z"
"*Brute forcing passwords for *","N/A","offensive_tool_keyword","SharpBruteForceSSH","simple SSH brute force tool ","T1110.003 - T1078","TA0006 ","N/A","N/A","Credential Access","https://github.com/HernanRodriguez1/SharpBruteForceSSH","1","0","N/A","9","1","51","8","2024-04-28T17:56:33Z","2024-04-25T20:06:05Z"
"*Dictionary brute force attack on SSH services*","N/A","offensive_tool_keyword","SharpBruteForceSSH","simple SSH brute force tool ","T1110.003 - T1078","TA0006 ","N/A","N/A","Credential Access","https://github.com/HernanRodriguez1/SharpBruteForceSSH","1","0","N/A","9","1","51","8","2024-04-28T17:56:33Z","2024-04-25T20:06:05Z"
"*f0b1a06aa6d5ea27814565755c6bfe2520dd71c4df02768fe7d621c3c3d0db75*","N/A","offensive_tool_keyword","SharpBruteForceSSH","simple SSH brute force tool ","T1110.003 - T1078","TA0006 ","N/A","N/A","Credential Access","https://github.com/HernanRodriguez1/SharpBruteForceSSH","1","0","#file_hash","9","1","51","8","2024-04-28T17:56:33Z","2024-04-25T20:06:05Z"
"*SharpBruteForceSSH.cs*","N/A","offensive_tool_keyword","SharpBruteForceSSH","simple SSH brute force tool ","T1110.003 - T1078","TA0006 ","N/A","N/A","Credential Access","https://github.com/HernanRodriguez1/SharpBruteForceSSH","1","1","N/A","9","1","51","8","2024-04-28T17:56:33Z","2024-04-25T20:06:05Z"
"*SharpBruteForceSSH.exe*","N/A","offensive_tool_keyword","SharpBruteForceSSH","simple SSH brute force tool ","T1110.003 - T1078","TA0006 ","N/A","N/A","Credential Access","https://github.com/HernanRodriguez1/SharpBruteForceSSH","1","1","N/A","9","1","51","8","2024-04-28T17:56:33Z","2024-04-25T20:06:05Z"
"*sshBruteForce.exe*","N/A","offensive_tool_keyword","SharpBruteForceSSH","simple SSH brute force tool ","T1110.003 - T1078","TA0006 ","N/A","N/A","Credential Access","https://github.com/HernanRodriguez1/SharpBruteForceSSH","1","1","N/A","9","1","51","8","2024-04-28T17:56:33Z","2024-04-25T20:06:05Z"
"/SharpBruteForceSSH.git","N/A","offensive_tool_keyword","SharpBruteForceSSH","simple SSH brute force tool ","T1110.003 - T1078","TA0006 ","N/A","N/A","Credential Access","https://github.com/HernanRodriguez1/SharpBruteForceSSH","1","1","N/A","9","1","51","8","2024-04-28T17:56:33Z","2024-04-25T20:06:05Z"
"\SharpBruteForceSSH-main","N/A","offensive_tool_keyword","SharpBruteForceSSH","simple SSH brute force tool ","T1110.003 - T1078","TA0006 ","N/A","N/A","Credential Access","https://github.com/HernanRodriguez1/SharpBruteForceSSH","1","0","N/A","9","1","51","8","2024-04-28T17:56:33Z","2024-04-25T20:06:05Z"
"HernanRodriguez1/SharpBruteForceSSH","N/A","offensive_tool_keyword","SharpBruteForceSSH","simple SSH brute force tool ","T1110.003 - T1078","TA0006 ","N/A","N/A","Credential Access","https://github.com/HernanRodriguez1/SharpBruteForceSSH","1","1","N/A","9","1","51","8","2024-04-28T17:56:33Z","2024-04-25T20:06:05Z"
