"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* backupkey* /server:* /file*.pvk*","N/A","offensive_tool_keyword","SharpDPAPI","SharpDPAPI is a C# port of some Mimikatz DPAPI functionality.","T1552.002 - T1059.001 - T1112","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/GhostPack/SharpDPAPI","1","0","N/A","10","10","1012","199","2023-12-14T23:40:21Z","2018-08-22T17:39:31Z"
"* blob /target:*.bin* /pvk:*","N/A","offensive_tool_keyword","SharpDPAPI","SharpDPAPI is a C# port of some Mimikatz DPAPI functionality.","T1552.002 - T1059.001 - T1112","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/GhostPack/SharpDPAPI","1","0","N/A","10","10","1012","199","2023-12-14T23:40:21Z","2018-08-22T17:39:31Z"
"* blob /target:*.bin* /unprotect*","N/A","offensive_tool_keyword","SharpDPAPI","SharpDPAPI is a C# port of some Mimikatz DPAPI functionality.","T1552.002 - T1059.001 - T1112","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/GhostPack/SharpDPAPI","1","0","N/A","10","10","1012","199","2023-12-14T23:40:21Z","2018-08-22T17:39:31Z"
"* credentials /pvk:*","N/A","offensive_tool_keyword","SharpDPAPI","SharpDPAPI is a C# port of some Mimikatz DPAPI functionality.","T1552.002 - T1059.001 - T1112","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/GhostPack/SharpDPAPI","1","0","N/A","10","10","1012","199","2023-12-14T23:40:21Z","2018-08-22T17:39:31Z"
"* keepass /unprotect*","N/A","offensive_tool_keyword","SharpDPAPI","SharpDPAPI is a C# port of some Mimikatz DPAPI functionality.","T1552.002 - T1059.001 - T1112","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/GhostPack/SharpDPAPI","1","0","N/A","10","10","1012","199","2023-12-14T23:40:21Z","2018-08-22T17:39:31Z"
"* ps /target:*.xml /unprotect*","N/A","offensive_tool_keyword","SharpDPAPI","SharpDPAPI is a C# port of some Mimikatz DPAPI functionality.","T1552.002 - T1059.001 - T1112","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/GhostPack/SharpDPAPI","1","0","N/A","10","10","1012","199","2023-12-14T23:40:21Z","2018-08-22T17:39:31Z"
"* vaults /target:* /pvk:*","N/A","offensive_tool_keyword","SharpDPAPI","SharpDPAPI is a C# port of some Mimikatz DPAPI functionality.","T1552.002 - T1059.001 - T1112","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/GhostPack/SharpDPAPI","1","0","N/A","10","10","1012","199","2023-12-14T23:40:21Z","2018-08-22T17:39:31Z"
"*.exe  certificates /pvk:*.pvk*","N/A","offensive_tool_keyword","SharpDPAPI","SharpDPAPI is a C# port of some Mimikatz DPAPI functionality.","T1552.002 - T1059.001 - T1112","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/GhostPack/SharpDPAPI","1","0","N/A","10","10","1012","199","2023-12-14T23:40:21Z","2018-08-22T17:39:31Z"
"*.exe backupkey /nowrap *.pvk*","N/A","offensive_tool_keyword","SharpDPAPI","SharpDPAPI is a C# port of some Mimikatz DPAPI functionality.","T1552.002 - T1059.001 - T1112","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/GhostPack/SharpDPAPI","1","0","N/A","10","10","1012","199","2023-12-14T23:40:21Z","2018-08-22T17:39:31Z"
"*.exe certificates /mkfile:*.txt*","N/A","offensive_tool_keyword","SharpDPAPI","SharpDPAPI is a C# port of some Mimikatz DPAPI functionality.","T1552.002 - T1059.001 - T1112","TA0006 - TA0002","N/A","N/A","Credential Access","https://github.com/GhostPack/SharpDPAPI","1","0","N/A","10","10","1012","199","2023-12-14T23:40:21Z","2018-08-22T17:39:31Z"
