"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* get class-instances SMS_R_System *",".{0,1000}\sget\sclass\-instances\sSMS_R_System\s.{0,1000}","offensive_tool_keyword","SharpSCCM","SharpSCCM is a post-exploitation tool designed to leverage Microsoft Endpoint Configuration Manager (a.k.a. ConfigMgr. formerly SCCM) for Lateral Movement and credential gathering without requiring access to the SCCM administration console GUI","T1003 - T1021 - T1056 - T1059 - T1075 - T1078 - T1087 - T1098 - T1105 - T1110 - T1212 - T1547 - T1552 - T1574 - T1608","TA0001 - TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0007 - TA0011","N/A","N/A","POST Exploitation tools","https://github.com/Mayyhem/SharpSCCM/","1","0","N/A","N/A","5","497","69","2024-04-15T16:18:32Z","2021-08-19T05:09:19Z"
"* get class-properties SMS_Admin*",".{0,1000}\sget\sclass\-properties\sSMS_Admin.{0,1000}","offensive_tool_keyword","SharpSCCM","SharpSCCM is a post-exploitation tool designed to leverage Microsoft Endpoint Configuration Manager (a.k.a. ConfigMgr. formerly SCCM) for Lateral Movement and credential gathering without requiring access to the SCCM administration console GUI","T1003 - T1021 - T1056 - T1059 - T1075 - T1078 - T1087 - T1098 - T1105 - T1110 - T1212 - T1547 - T1552 - T1574 - T1608","TA0001 - TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0007 - TA0011","N/A","N/A","POST Exploitation tools","https://github.com/Mayyhem/SharpSCCM/","1","0","N/A","N/A","5","497","69","2024-04-15T16:18:32Z","2021-08-19T05:09:19Z"
"* get collection-members -n USERS*",".{0,1000}\sget\scollection\-members\s\-n\sUSERS.{0,1000}","offensive_tool_keyword","SharpSCCM","SharpSCCM is a post-exploitation tool designed to leverage Microsoft Endpoint Configuration Manager (a.k.a. ConfigMgr. formerly SCCM) for Lateral Movement and credential gathering without requiring access to the SCCM administration console GUI","T1003 - T1021 - T1056 - T1059 - T1075 - T1078 - T1087 - T1098 - T1105 - T1110 - T1212 - T1547 - T1552 - T1574 - T1608","TA0001 - TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0007 - TA0011","N/A","N/A","POST Exploitation tools","https://github.com/Mayyhem/SharpSCCM/","1","0","N/A","N/A","5","497","69","2024-04-15T16:18:32Z","2021-08-19T05:09:19Z"
"* get primary-users -u *",".{0,1000}\sget\sprimary\-users\s\-u\s.{0,1000}","offensive_tool_keyword","SharpSCCM","SharpSCCM is a post-exploitation tool designed to leverage Microsoft Endpoint Configuration Manager (a.k.a. ConfigMgr. formerly SCCM) for Lateral Movement and credential gathering without requiring access to the SCCM administration console GUI","T1003 - T1021 - T1056 - T1059 - T1075 - T1078 - T1087 - T1098 - T1105 - T1110 - T1212 - T1547 - T1552 - T1574 - T1608","TA0001 - TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0007 - TA0011","N/A","N/A","POST Exploitation tools","https://github.com/Mayyhem/SharpSCCM/","1","0","N/A","N/A","5","497","69","2024-04-15T16:18:32Z","2021-08-19T05:09:19Z"
"* get site-push-settings*",".{0,1000}\sget\ssite\-push\-settings.{0,1000}","offensive_tool_keyword","SharpSCCM","SharpSCCM is a post-exploitation tool designed to leverage Microsoft Endpoint Configuration Manager (a.k.a. ConfigMgr. formerly SCCM) for Lateral Movement and credential gathering without requiring access to the SCCM administration console GUI","T1003 - T1021 - T1056 - T1059 - T1075 - T1078 - T1087 - T1098 - T1105 - T1110 - T1212 - T1547 - T1552 - T1574 - T1608","TA0001 - TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0007 - TA0011","N/A","N/A","POST Exploitation tools","https://github.com/Mayyhem/SharpSCCM/","1","0","N/A","N/A","5","497","69","2024-04-15T16:18:32Z","2021-08-19T05:09:19Z"
"* invoke admin-service -q *",".{0,1000}\sinvoke\sadmin\-service\s\-q\s.{0,1000}","offensive_tool_keyword","SharpSCCM","SharpSCCM is a post-exploitation tool designed to leverage Microsoft Endpoint Configuration Manager (a.k.a. ConfigMgr. formerly SCCM) for Lateral Movement and credential gathering without requiring access to the SCCM administration console GUI","T1003 - T1021 - T1056 - T1059 - T1075 - T1078 - T1087 - T1098 - T1105 - T1110 - T1212 - T1547 - T1552 - T1574 - T1608","TA0001 - TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0007 - TA0011","N/A","N/A","POST Exploitation tools","https://github.com/Mayyhem/SharpSCCM/","1","0","N/A","N/A","5","497","69","2024-04-15T16:18:32Z","2021-08-19T05:09:19Z"
"* invoke admin-service -q *",".{0,1000}\sinvoke\sadmin\-service\s\-q\s.{0,1000}","offensive_tool_keyword","SharpSCCM","SharpSCCM is a post-exploitation tool designed to leverage Microsoft Endpoint Configuration Manager (a.k.a. ConfigMgr. formerly SCCM) for Lateral Movement and credential gathering without requiring access to the SCCM administration console GUI","T1003 - T1021 - T1056 - T1059 - T1075 - T1078 - T1087 - T1098 - T1105 - T1110 - T1212 - T1547 - T1552 - T1574 - T1608","TA0001 - TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0007 - TA0011","N/A","N/A","POST Exploitation tools","https://github.com/Mayyhem/SharpSCCM/","1","0","N/A","N/A","5","497","69","2024-04-15T16:18:32Z","2021-08-19T05:09:19Z"
"* invoke query *FROM SMS_Admin*",".{0,1000}\sinvoke\squery\s.{0,1000}FROM\sSMS_Admin.{0,1000}","offensive_tool_keyword","SharpSCCM","SharpSCCM is a post-exploitation tool designed to leverage Microsoft Endpoint Configuration Manager (a.k.a. ConfigMgr. formerly SCCM) for Lateral Movement and credential gathering without requiring access to the SCCM administration console GUI","T1003 - T1021 - T1056 - T1059 - T1075 - T1078 - T1087 - T1098 - T1105 - T1110 - T1212 - T1547 - T1552 - T1574 - T1608","TA0001 - TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0007 - TA0011","N/A","N/A","POST Exploitation tools","https://github.com/Mayyhem/SharpSCCM/","1","0","N/A","N/A","5","497","69","2024-04-15T16:18:32Z","2021-08-19T05:09:19Z"
"* local class-instances SMS_Authority*",".{0,1000}\slocal\sclass\-instances\sSMS_Authority.{0,1000}","offensive_tool_keyword","SharpSCCM","SharpSCCM is a post-exploitation tool designed to leverage Microsoft Endpoint Configuration Manager (a.k.a. ConfigMgr. formerly SCCM) for Lateral Movement and credential gathering without requiring access to the SCCM administration console GUI","T1003 - T1021 - T1056 - T1059 - T1075 - T1078 - T1087 - T1098 - T1105 - T1110 - T1212 - T1547 - T1552 - T1574 - T1608","TA0001 - TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0007 - TA0011","N/A","N/A","POST Exploitation tools","https://github.com/Mayyhem/SharpSCCM/","1","0","N/A","N/A","5","497","69","2024-04-15T16:18:32Z","2021-08-19T05:09:19Z"
"* local class-properties SMS_Authority*",".{0,1000}\slocal\sclass\-properties\sSMS_Authority.{0,1000}","offensive_tool_keyword","SharpSCCM","SharpSCCM is a post-exploitation tool designed to leverage Microsoft Endpoint Configuration Manager (a.k.a. ConfigMgr. formerly SCCM) for Lateral Movement and credential gathering without requiring access to the SCCM administration console GUI","T1003 - T1021 - T1056 - T1059 - T1075 - T1078 - T1087 - T1098 - T1105 - T1110 - T1212 - T1547 - T1552 - T1574 - T1608","TA0001 - TA0002 - TA0003 - TA0004 - TA0005 - TA0006 - TA0007 - TA0011","N/A","N/A","POST Exploitation tools","https://github.com/Mayyhem/SharpSCCM/","1","0","N/A","N/A","5","497","69","2024-04-15T16:18:32Z","2021-08-19T05:09:19Z"
