"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*.exe*\Terminator.sys*",".{0,1000}\.exe.{0,1000}\\Terminator\.sys.{0,1000}","offensive_tool_keyword","SharpTerminator","Terminate AV/EDR Processes using kernel driver","T1055.003 - T1547.001 - T1053.005 - T1091 - T1014 - T1053.006 - T1053.004 - T1112 - T1112.001","TA0007 - TA0008 - TA0006 - TA0002","N/A","N/A","Exploitation tools","https://github.com/mertdas/SharpTerminator","1","0","N/A","N/A","4","302","60","2023-06-12T00:38:54Z","2023-06-11T06:35:51Z"
"*/SharpTerminator/*",".{0,1000}\/SharpTerminator\/.{0,1000}","offensive_tool_keyword","SharpTerminator","Terminate AV/EDR Processes using kernel driver","T1055.003 - T1547.001 - T1053.005 - T1091 - T1014 - T1053.006 - T1053.004 - T1112 - T1112.001","TA0007 - TA0008 - TA0006 - TA0002","N/A","N/A","Exploitation tools","https://github.com/mertdas/SharpTerminator","1","1","N/A","N/A","4","302","60","2023-06-12T00:38:54Z","2023-06-11T06:35:51Z"
"*/terminate/Terminator.sys*",".{0,1000}\/terminate\/Terminator\.sys.{0,1000}","offensive_tool_keyword","SharpTerminator","Terminate AV/EDR Processes using kernel driver","T1055.003 - T1547.001 - T1053.005 - T1091 - T1014 - T1053.006 - T1053.004 - T1112 - T1112.001","TA0007 - TA0008 - TA0006 - TA0002","N/A","N/A","Exploitation tools","https://github.com/mertdas/SharpTerminator","1","1","N/A","N/A","4","302","60","2023-06-12T00:38:54Z","2023-06-11T06:35:51Z"
"*\SharpTerminator.csproj*",".{0,1000}\\SharpTerminator\.csproj.{0,1000}","offensive_tool_keyword","SharpTerminator","Terminate AV/EDR Processes using kernel driver","T1055.003 - T1547.001 - T1053.005 - T1091 - T1014 - T1053.006 - T1053.004 - T1112 - T1112.001","TA0007 - TA0008 - TA0006 - TA0002","N/A","N/A","Exploitation tools","https://github.com/mertdas/SharpTerminator","1","0","N/A","N/A","4","302","60","2023-06-12T00:38:54Z","2023-06-11T06:35:51Z"
"*http*://*/Terminator.sys",".{0,1000}http.{0,1000}\:\/\/.{0,1000}\/Terminator\.sys","offensive_tool_keyword","SharpTerminator","Terminate AV/EDR Processes using kernel driver","T1055.003 - T1547.001 - T1053.005 - T1091 - T1014 - T1053.006 - T1053.004 - T1112 - T1112.001","TA0007 - TA0008 - TA0006 - TA0002","N/A","N/A","Exploitation tools","https://github.com/mertdas/SharpTerminator","1","1","N/A","N/A","4","302","60","2023-06-12T00:38:54Z","2023-06-11T06:35:51Z"
"*mertdas/SharpTerminator*",".{0,1000}mertdas\/SharpTerminator.{0,1000}","offensive_tool_keyword","SharpTerminator","Terminate AV/EDR Processes using kernel driver","T1055.003 - T1547.001 - T1053.005 - T1091 - T1014 - T1053.006 - T1053.004 - T1112 - T1112.001","TA0007 - TA0008 - TA0006 - TA0002","N/A","N/A","Exploitation tools","https://github.com/mertdas/SharpTerminator","1","1","N/A","N/A","4","302","60","2023-06-12T00:38:54Z","2023-06-11T06:35:51Z"
"*sc create Terminator *.sys*",".{0,1000}sc\screate\sTerminator\s.{0,1000}\.sys.{0,1000}","offensive_tool_keyword","SharpTerminator","Terminate AV/EDR Processes using kernel driver","T1055.003 - T1547.001 - T1053.005 - T1091 - T1014 - T1053.006 - T1053.004 - T1112 - T1112.001","TA0007 - TA0008 - TA0006 - TA0002","N/A","N/A","Exploitation tools","https://github.com/mertdas/SharpTerminator","1","0","N/A","N/A","4","302","60","2023-06-12T00:38:54Z","2023-06-11T06:35:51Z"
"*SharpTerminator.exe*",".{0,1000}SharpTerminator\.exe.{0,1000}","offensive_tool_keyword","SharpTerminator","Terminate AV/EDR Processes using kernel driver","T1055.003 - T1547.001 - T1053.005 - T1091 - T1014 - T1053.006 - T1053.004 - T1112 - T1112.001","TA0007 - TA0008 - TA0006 - TA0002","N/A","N/A","Exploitation tools","https://github.com/mertdas/SharpTerminator","1","1","N/A","N/A","4","302","60","2023-06-12T00:38:54Z","2023-06-11T06:35:51Z"
"*SharpTerminator.git*",".{0,1000}SharpTerminator\.git.{0,1000}","offensive_tool_keyword","SharpTerminator","Terminate AV/EDR Processes using kernel driver","T1055.003 - T1547.001 - T1053.005 - T1091 - T1014 - T1053.006 - T1053.004 - T1112 - T1112.001","TA0007 - TA0008 - TA0006 - TA0002","N/A","N/A","Exploitation tools","https://github.com/mertdas/SharpTerminator","1","1","N/A","N/A","4","302","60","2023-06-12T00:38:54Z","2023-06-11T06:35:51Z"
"*SharpTerminator.sln*",".{0,1000}SharpTerminator\.sln.{0,1000}","offensive_tool_keyword","SharpTerminator","Terminate AV/EDR Processes using kernel driver","T1055.003 - T1547.001 - T1053.005 - T1091 - T1014 - T1053.006 - T1053.004 - T1112 - T1112.001","TA0007 - TA0008 - TA0006 - TA0002","N/A","N/A","Exploitation tools","https://github.com/mertdas/SharpTerminator","1","1","N/A","N/A","4","302","60","2023-06-12T00:38:54Z","2023-06-11T06:35:51Z"
"*SharpTerminator-main.zip*",".{0,1000}SharpTerminator\-main\.zip.{0,1000}","offensive_tool_keyword","SharpTerminator","Terminate AV/EDR Processes using kernel driver","T1055.003 - T1547.001 - T1053.005 - T1091 - T1014 - T1053.006 - T1053.004 - T1112 - T1112.001","TA0007 - TA0008 - TA0006 - TA0002","N/A","N/A","Exploitation tools","https://github.com/mertdas/SharpTerminator","1","1","N/A","N/A","4","302","60","2023-06-12T00:38:54Z","2023-06-11T06:35:51Z"
