"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at","metadata_entry_id"
"*.exe Get-DomainController -Domain * -Server * -Credential *",".{0,1000}\.exe\sGet\-DomainController\s\-Domain\s.{0,1000}\s\-Server\s.{0,1000}\s\-Credential\s.{0,1000}","offensive_tool_keyword","SharpView","C# implementation of harmj0y's PowerView","T1018 - T1482 - T1087.002 - T1069.002","TA0007 - TA0003 - TA0001","N/A","Conti - APT29","Discovery","https://github.com/tevora-threat/SharpView/","1","0","N/A","N/A","10","10","1032","196","2024-03-22T16:34:09Z","2018-07-24T21:15:04Z","4444"
"*/PowerView.ps1*",".{0,1000}\/PowerView\.ps1.{0,1000}","offensive_tool_keyword","SharpView","C# implementation of harmj0y's PowerView","T1018 - T1482 - T1087.002 - T1069.002","TA0007 - TA0003 - TA0001","N/A","Conti - APT29","Discovery","https://github.com/tevora-threat/SharpView/","1","1","N/A","N/A","10","10","1032","196","2024-03-22T16:34:09Z","2018-07-24T21:15:04Z","9837"
"*/SharpView.exe*",".{0,1000}\/SharpView\.exe.{0,1000}","offensive_tool_keyword","SharpView","executables for penetration testing Windows Active Directory environments","T1016 - T1046 - T1087 - T1082 - T1055 - T1068 - T1083 - T1012 - T1558 - T1097 - T1077 - T1134 - T1550 - T1078 - T1021 - T1072 - T1484 - T1553 - T1557 - T1003 - T1555 - T1134 - T1055 - T1088","TA0007 - TA0008 - TA0004 - TA0006 - TA0002 - TA0005","N/A","N/A","Exploitation tool","https://github.com/jakobfriedl/precompiled-binaries","1","1","N/A","SharpView","10","2","138","38","2025-03-06T13:02:11Z","2023-08-08T12:21:46Z","11153"
"*/SharpView.git*",".{0,1000}\/SharpView\.git.{0,1000}","offensive_tool_keyword","SharpView","C# implementation of harmj0y's PowerView","T1018 - T1482 - T1087.002 - T1069.002","TA0007 - TA0003 - TA0001","N/A","Conti - APT29","Discovery","https://github.com/tevora-threat/SharpView/","1","1","N/A","N/A","10","10","1032","196","2024-03-22T16:34:09Z","2018-07-24T21:15:04Z","11154"
"*\SharpView.exe*",".{0,1000}\\SharpView\.exe.{0,1000}","offensive_tool_keyword","SharpView","executables for penetration testing Windows Active Directory environments","T1016 - T1046 - T1087 - T1082 - T1055 - T1068 - T1083 - T1012 - T1558 - T1097 - T1077 - T1134 - T1550 - T1078 - T1021 - T1072 - T1484 - T1553 - T1557 - T1003 - T1555 - T1134 - T1055 - T1088","TA0007 - TA0008 - TA0004 - TA0006 - TA0002 - TA0005","N/A","N/A","Exploitation tool","https://github.com/jakobfriedl/precompiled-binaries","1","0","N/A","SharpView","10","2","138","38","2025-03-06T13:02:11Z","2023-08-08T12:21:46Z","18747"
"*\SharpView.pdb*",".{0,1000}\\SharpView\.pdb.{0,1000}","offensive_tool_keyword","SharpView","executables for penetration testing Windows Active Directory environments","T1016 - T1046 - T1087 - T1082 - T1055 - T1068 - T1083 - T1012 - T1558 - T1097 - T1077 - T1134 - T1550 - T1078 - T1021 - T1072 - T1484 - T1553 - T1557 - T1003 - T1555 - T1134 - T1055 - T1088","TA0007 - TA0008 - TA0004 - TA0006 - TA0002 - TA0005","N/A","N/A","Exploitation tool","https://github.com/jakobfriedl/precompiled-binaries","1","0","N/A","SharpView","10","2","138","38","2025-03-06T13:02:11Z","2023-08-08T12:21:46Z","18749"
"*>SharpView<*",".{0,1000}\>SharpView\<.{0,1000}","offensive_tool_keyword","SharpView","C# implementation of harmj0y's PowerView","T1018 - T1482 - T1087.002 - T1069.002","TA0007 - TA0003 - TA0001","N/A","Conti - APT29","Discovery","https://github.com/tevora-threat/SharpView/","1","0","#productname","N/A","10","10","1032","196","2024-03-22T16:34:09Z","2018-07-24T21:15:04Z","20581"
"*>SharpView<*",".{0,1000}\>SharpView\<.{0,1000}","offensive_tool_keyword","SharpView","executables for penetration testing Windows Active Directory environments","T1016 - T1046 - T1087 - T1082 - T1055 - T1068 - T1083 - T1012 - T1558 - T1097 - T1077 - T1134 - T1550 - T1078 - T1021 - T1072 - T1484 - T1553 - T1557 - T1003 - T1555 - T1134 - T1055 - T1088","TA0007 - TA0008 - TA0004 - TA0006 - TA0002 - TA0005","N/A","N/A","Exploitation tool","https://github.com/jakobfriedl/precompiled-binaries","1","0","#productname","SharpView","10","2","138","38","2025-03-06T13:02:11Z","2023-08-08T12:21:46Z","20582"
"*22A156EA-2623-45C7-8E50-E864D9FC44D3*",".{0,1000}22A156EA\-2623\-45C7\-8E50\-E864D9FC44D3.{0,1000}","offensive_tool_keyword","SharpView","C# implementation of harmj0y's PowerView","T1018 - T1482 - T1087.002 - T1069.002","TA0007 - TA0003 - TA0001","N/A","Conti - APT29","Discovery","https://github.com/tevora-threat/SharpView/","1","0","#GUIDproject","N/A","10","10","1032","196","2024-03-22T16:34:09Z","2018-07-24T21:15:04Z","23229"
"*Args_Invoke_Kerberoast*",".{0,1000}Args_Invoke_Kerberoast.{0,1000}","offensive_tool_keyword","SharpView","C# implementation of harmj0y's PowerView","T1018 - T1482 - T1087.002 - T1069.002","TA0007 - TA0003 - TA0001","N/A","Conti - APT29","Discovery","https://github.com/tevora-threat/SharpView/","1","0","N/A","N/A","10","10","1032","196","2024-03-22T16:34:09Z","2018-07-24T21:15:04Z","34051"
"*c0621954bd329b5cabe45e92b31053627c27fa40853beb2cce2734fa677ffd93*",".{0,1000}c0621954bd329b5cabe45e92b31053627c27fa40853beb2cce2734fa677ffd93.{0,1000}","offensive_tool_keyword","SharpView","C# implementation of harmj0y's PowerView","T1018 - T1482 - T1087.002 - T1069.002","TA0007 - TA0003 - TA0001","N/A","Conti - APT29","Discovery","https://github.com/tevora-threat/SharpView/","1","0","#filehash","N/A","10","10","1032","196","2024-03-22T16:34:09Z","2018-07-24T21:15:04Z","36661"
"*e42e5cf9-be25-4011-9623-8565b193a506*",".{0,1000}e42e5cf9\-be25\-4011\-9623\-8565b193a506.{0,1000}","offensive_tool_keyword","SharpView","C# implementation of harmj0y's PowerView","T1018 - T1482 - T1087.002 - T1069.002","TA0007 - TA0003 - TA0001","N/A","Conti - APT29","Discovery","https://github.com/tevora-threat/SharpView/","1","0","#GUIDproject","N/A","10","10","1032","196","2024-03-22T16:34:09Z","2018-07-24T21:15:04Z","42028"
"*hackbuildrepeat/SharpView*",".{0,1000}hackbuildrepeat\/SharpView.{0,1000}","offensive_tool_keyword","SharpView","C# implementation of harmj0y's PowerView","T1018 - T1482 - T1087.002 - T1069.002","TA0007 - TA0003 - TA0001","N/A","Conti - APT29","Discovery","https://github.com/tevora-threat/SharpView/","1","1","N/A","N/A","10","10","1032","196","2024-03-22T16:34:09Z","2018-07-24T21:15:04Z","46835"
"*SharpView.exe*",".{0,1000}SharpView\.exe.{0,1000}","offensive_tool_keyword","SharpView","C# implementation of harmj0y's PowerView","T1018 - T1482 - T1087.002 - T1069.002","TA0007 - TA0003 - TA0001","N/A","Conti - APT29","Discovery","https://github.com/tevora-threat/SharpView/","1","1","N/A","N/A","10","10","1032","196","2024-03-22T16:34:09Z","2018-07-24T21:15:04Z","59246"
