"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* beacon_win_default*","N/A","offensive_tool_keyword","sliver","Sliver is an open source cross-platform adversary emulation/red team framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1059-004 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001 - T1569-002","TA0002 - TA0003 - TA0006 - TA0009","N/A","N/A","C2","https://github.com/BishopFox/sliver","1","0","N/A","10","10","7164","1001","2024-01-24T21:51:42Z","2019-01-17T22:07:38Z"
"* --format exe  * --jitter *","N/A","offensive_tool_keyword","sliver","Sliver is an open source cross-platform adversary emulation/red team framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1059-004 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001 - T1569-002","TA0002 - TA0003 - TA0006 - TA0009","N/A","N/A","C2","https://github.com/BishopFox/sliver","1","0","N/A","10","10","7164","1001","2024-01-24T21:51:42Z","2019-01-17T22:07:38Z"
"* sliver sliver*","N/A","offensive_tool_keyword","sliver","Sliver is an open source cross-platform adversary emulation/red team framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1059-004 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001 - T1569-002","TA0002 - TA0003 - TA0006 - TA0009","N/A","N/A","C2","https://github.com/BishopFox/sliver","1","0","N/A","10","10","7164","1001","2024-01-24T21:51:42Z","2019-01-17T22:07:38Z"
"*.SliverRPC/*","N/A","offensive_tool_keyword","sliver","Sliver is an open source cross-platform adversary emulation/red team framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1059-004 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001 - T1569-002","TA0002 - TA0003 - TA0006 - TA0009","N/A","N/A","C2","https://github.com/BishopFox/sliver","1","1","N/A","10","10","7164","1001","2024-01-24T21:51:42Z","2019-01-17T22:07:38Z"
"*/.sliver/logs*","N/A","offensive_tool_keyword","sliver","Sliver is an open source cross-platform adversary emulation/red team framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1059-004 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001 - T1569-002","TA0002 - TA0003 - TA0006 - TA0009","N/A","N/A","C2","https://github.com/BishopFox/sliver","1","1","N/A","10","10","7164","1001","2024-01-24T21:51:42Z","2019-01-17T22:07:38Z"
"*/c2/tcp-stager.*","N/A","offensive_tool_keyword","sliver","Sliver is an open source cross-platform adversary emulation/red team framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1059-004 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001 - T1569-002","TA0002 - TA0003 - TA0006 - TA0009","N/A","N/A","C2","https://github.com/BishopFox/sliver","1","1","N/A","10","10","7164","1001","2024-01-24T21:51:42Z","2019-01-17T22:07:38Z"
"*/c2_test.go*","N/A","offensive_tool_keyword","sliver","Sliver is an open source cross-platform adversary emulation/red team framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1059-004 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001 - T1569-002","TA0002 - TA0003 - TA0006 - TA0009","N/A","N/A","C2","https://github.com/BishopFox/sliver","1","1","N/A","10","10","7164","1001","2024-01-24T21:51:42Z","2019-01-17T22:07:38Z"
"*/canary.go","N/A","offensive_tool_keyword","sliver","Sliver is an open source cross-platform adversary emulation/red team framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1059-004 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001 - T1569-002","TA0002 - TA0003 - TA0006 - TA0009","N/A","N/A","C2","https://github.com/BishopFox/sliver","1","1","N/A","10","10","7164","1001","2024-01-24T21:51:42Z","2019-01-17T22:07:38Z"
"*/evasion/evasion.go","N/A","offensive_tool_keyword","sliver","Sliver is an open source cross-platform adversary emulation/red team framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1059-004 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001 - T1569-002","TA0002 - TA0003 - TA0006 - TA0009","N/A","N/A","C2","https://github.com/BishopFox/sliver","1","1","N/A","10","10","7164","1001","2024-01-24T21:51:42Z","2019-01-17T22:07:38Z"
"*/evasion_linux.go*","N/A","offensive_tool_keyword","sliver","Sliver is an open source cross-platform adversary emulation/red team framework","T1573-001 - T1573-002 - T1573-003 - T1573-004 - T1573-005 - T1059-001 - T1059-003 - T1059-004 - T1003 - T1055 - T1036 - T1105 - T1218 - T1057 - T1574-001 - T1569-002","TA0002 - TA0003 - TA0006 - TA0009","N/A","N/A","C2","https://github.com/BishopFox/sliver","1","1","N/A","10","10","7164","1001","2024-01-24T21:51:42Z","2019-01-17T22:07:38Z"
