"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* --bin sshx-server*","N/A","greyware_tool_keyword","sshx","Fast collaborative live terminal sharing over the web","T1021.004 - T1041 - T1059 - T1071.001","TA0002 - TA0009 - TA0011 - TA0010","N/A","N/A","C2","https://github.com/ekzhang/sshx","1","0","N/A","10","10","4865","120","2024-01-18T17:21:19Z","2022-02-12T23:29:33Z"
"* s3://sshx/*","N/A","greyware_tool_keyword","sshx","Fast collaborative live terminal sharing over the web","T1021.004 - T1041 - T1059 - T1071.001","TA0002 - TA0009 - TA0011 - TA0010","N/A","N/A","C2","https://github.com/ekzhang/sshx","1","0","N/A","10","10","4865","120","2024-01-18T17:21:19Z","2022-02-12T23:29:33Z"
"*.vm.sshx.internal:8051*","N/A","greyware_tool_keyword","sshx","Fast collaborative live terminal sharing over the web","T1021.004 - T1041 - T1059 - T1071.001","TA0002 - TA0009 - TA0011 - TA0010","N/A","N/A","C2","https://github.com/ekzhang/sshx","1","0","N/A","10","10","4865","120","2024-01-18T17:21:19Z","2022-02-12T23:29:33Z"
"*/release/sshx-server*","N/A","greyware_tool_keyword","sshx","Fast collaborative live terminal sharing over the web","T1021.004 - T1041 - T1059 - T1071.001","TA0002 - TA0009 - TA0011 - TA0010","N/A","N/A","C2","https://github.com/ekzhang/sshx","1","1","N/A","10","10","4865","120","2024-01-18T17:21:19Z","2022-02-12T23:29:33Z"
"*/sshx-server/*","N/A","greyware_tool_keyword","sshx","Fast collaborative live terminal sharing over the web","T1021.004 - T1041 - T1059 - T1071.001","TA0002 - TA0009 - TA0011 - TA0010","N/A","N/A","C2","https://github.com/ekzhang/sshx","1","1","N/A","10","10","4865","120","2024-01-18T17:21:19Z","2022-02-12T23:29:33Z"
"*\sshx-*.tar.gz*","N/A","greyware_tool_keyword","sshx","Fast collaborative live terminal sharing over the web","T1021.004 - T1041 - T1059 - T1071.001","TA0002 - TA0009 - TA0011 - TA0010","N/A","N/A","C2","https://github.com/ekzhang/sshx","1","0","N/A","10","10","4865","120","2024-01-18T17:21:19Z","2022-02-12T23:29:33Z"
"*cargo install sshx*","N/A","greyware_tool_keyword","sshx","Fast collaborative live terminal sharing over the web","T1021.004 - T1041 - T1059 - T1071.001","TA0002 - TA0009 - TA0011 - TA0010","N/A","N/A","C2","https://github.com/ekzhang/sshx","1","0","N/A","10","10","4865","120","2024-01-18T17:21:19Z","2022-02-12T23:29:33Z"
"*ekzhang/sshx*","N/A","greyware_tool_keyword","sshx","Fast collaborative live terminal sharing over the web","T1021.004 - T1041 - T1059 - T1071.001","TA0002 - TA0009 - TA0011 - TA0010","N/A","N/A","C2","https://github.com/ekzhang/sshx","1","1","N/A","10","10","4865","120","2024-01-18T17:21:19Z","2022-02-12T23:29:33Z"
"*https://s3.amazonaws.com/sshx/sshx-*","N/A","greyware_tool_keyword","sshx","Fast collaborative live terminal sharing over the web","T1021.004 - T1041 - T1059 - T1071.001","TA0002 - TA0009 - TA0011 - TA0010","N/A","N/A","C2","https://github.com/ekzhang/sshx","1","1","N/A","10","10","4865","120","2024-01-18T17:21:19Z","2022-02-12T23:29:33Z"
"*https://sshx.io/get*","N/A","greyware_tool_keyword","sshx","Fast collaborative live terminal sharing over the web","T1021.004 - T1041 - T1059 - T1071.001","TA0002 - TA0009 - TA0011 - TA0010","N/A","N/A","C2","https://github.com/ekzhang/sshx","1","1","N/A","10","10","4865","120","2024-01-18T17:21:19Z","2022-02-12T23:29:33Z"
"*https://sshx.io/s/*","N/A","greyware_tool_keyword","sshx","Fast collaborative live terminal sharing over the web","T1021.004 - T1041 - T1059 - T1071.001","TA0002 - TA0009 - TA0011 - TA0010","N/A","N/A","C2","https://github.com/ekzhang/sshx","1","1","N/A","10","10","4865","120","2024-01-18T17:21:19Z","2022-02-12T23:29:33Z"
"*sshx-server --listen*","N/A","greyware_tool_keyword","sshx","Fast collaborative live terminal sharing over the web","T1021.004 - T1041 - T1059 - T1071.001","TA0002 - TA0009 - TA0011 - TA0010","N/A","N/A","C2","https://github.com/ekzhang/sshx","1","0","N/A","10","10","4865","120","2024-01-18T17:21:19Z","2022-02-12T23:29:33Z"
"*sshx-server-*.tar.gz*","N/A","greyware_tool_keyword","sshx","Fast collaborative live terminal sharing over the web","T1021.004 - T1041 - T1059 - T1071.001","TA0002 - TA0009 - TA0011 - TA0010","N/A","N/A","C2","https://github.com/ekzhang/sshx","1","1","N/A","10","10","4865","120","2024-01-18T17:21:19Z","2022-02-12T23:29:33Z"
