"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* start uvnc_service*","N/A","greyware_tool_keyword","UltraVNC","UltraVNC remote access software usage","T1021.001 - T1219 - T1076 - T1563.002","TA0008 - TA0009 - TA0010 - TA0011","N/A","N/A","RMM","https://uvnc.com/downloads/ultravnc.html","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"* stop uvnc_service*","N/A","greyware_tool_keyword","UltraVNC","UltraVNC remote access software usage","T1021.001 - T1219 - T1076 - T1563.002","TA0008 - TA0009 - TA0010 - TA0011","N/A","N/A","RMM","https://uvnc.com/downloads/ultravnc.html","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"* ultravnc.ini *","N/A","greyware_tool_keyword","UltraVNC","UltraVNC remote access software usage","T1021.001 - T1219 - T1076 - T1563.002","TA0008 - TA0009 - TA0010 - TA0011","N/A","N/A","RMM","https://uvnc.com/downloads/ultravnc.html","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"* vnc.ini *","N/A","greyware_tool_keyword","UltraVNC","UltraVNC remote access software usage","T1021.001 - T1219 - T1076 - T1563.002","TA0008 - TA0009 - TA0010 - TA0011","N/A","N/A","RMM","https://uvnc.com/downloads/ultravnc.html","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*""publisher"":""uvnc bvba*","N/A","greyware_tool_keyword","UltraVNC","UltraVNC remote access software usage","T1021.001 - T1219 - T1076 - T1563.002","TA0008 - TA0009 - TA0010 - TA0011","N/A","N/A","RMM","https://uvnc.com/downloads/ultravnc.html","1","0","registry value","10","10","N/A","N/A","N/A","N/A"
"*/downloads/ultravnc.html*","N/A","greyware_tool_keyword","UltraVNC","UltraVNC remote access software usage","T1021.001 - T1219 - T1076 - T1563.002","TA0008 - TA0009 - TA0010 - TA0011","N/A","N/A","RMM","https://uvnc.com/downloads/ultravnc.html","1","1","N/A","10","10","N/A","N/A","N/A","N/A"
"*\127.0.0.1-5900.vnc*","N/A","greyware_tool_keyword","UltraVNC","UltraVNC remote access software usage","T1021.001 - T1219 - T1076 - T1563.002","TA0008 - TA0009 - TA0010 - TA0011","N/A","N/A","RMM","https://uvnc.com/downloads/ultravnc.html","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\AppData\Roaming\*-5900.vnc*","N/A","greyware_tool_keyword","UltraVNC","UltraVNC remote access software usage","T1021.001 - T1219 - T1076 - T1563.002","TA0008 - TA0009 - TA0010 - TA0011","N/A","N/A","RMM","https://uvnc.com/downloads/ultravnc.html","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\AppData\Roaming\UltraVNC\*","N/A","greyware_tool_keyword","UltraVNC","UltraVNC remote access software usage","T1021.001 - T1219 - T1076 - T1563.002","TA0008 - TA0009 - TA0010 - TA0011","N/A","N/A","RMM","https://uvnc.com/downloads/ultravnc.html","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\createpassword.exe*","N/A","greyware_tool_keyword","UltraVNC","UltraVNC remote access software usage","T1021.001 - T1219 - T1076 - T1563.002","TA0008 - TA0009 - TA0010 - TA0011","N/A","N/A","RMM","https://uvnc.com/downloads/ultravnc.html","1","0","N/A","10","10","N/A","N/A","N/A","N/A"
"*\CurrentVersion\Uninstall\Ultravnc2_is1\*","N/A","greyware_tool_keyword","UltraVNC","UltraVNC remote access software usage","T1021.001 - T1219 - T1076 - T1563.002","TA0008 - TA0009 - TA0010 - TA0011","N/A","N/A","RMM","https://uvnc.com/downloads/ultravnc.html","1","0","registry path","10","10","N/A","N/A","N/A","N/A"
"*\InventoryApplicationFile\ultravnc_*","N/A","greyware_tool_keyword","UltraVNC","UltraVNC remote access software usage","T1021.001 - T1219 - T1076 - T1563.002","TA0008 - TA0009 - TA0010 - TA0011","N/A","N/A","RMM","https://uvnc.com/downloads/ultravnc.html","1","0","registry path","10","10","N/A","N/A","N/A","N/A"
"*\options.vnc*","N/A","greyware_tool_keyword","UltraVNC","UltraVNC remote access software usage","T1021.001 - T1219 - T1076 - T1563.002","TA0008 - TA0009 - TA0010 - TA0011","N/A","N/A","RMM","https://uvnc.com/downloads/ultravnc.html","1","0","registry path","10","10","N/A","N/A","N/A","N/A"
