"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* admin-panels.txt*",".{0,1000}\sadmin\-panels\.txt.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","0","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"* All_attack.txt*",".{0,1000}\sAll_attack\.txt.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","0","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"* -c -w methods.txt -p 127.0.0.1*",".{0,1000}\s\-c\s\-w\smethods\.txt\s\-p\s127\.0\.0\.1.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","0","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"* -c -z range*1-10 --hc=BBB http*",".{0,1000}\s\-c\s\-z\srange.{0,1000}1\-10\s\-\-hc\=BBB\shttp.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","0","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"* common_pass.txt*",".{0,1000}\scommon_pass\.txt.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","0","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"* FUZZ:FUZZ *",".{0,1000}\sFUZZ\:FUZZ\s.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","0","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"* install wfuzz*",".{0,1000}\sinstall\swfuzz.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","0","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"* -u FUZZ *",".{0,1000}\s\-u\sFUZZ\s.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","0","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"* -w wordlist/*.txt*http*",".{0,1000}\s\-w\swordlist\/.{0,1000}\.txt.{0,1000}http.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","0","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"* ws-dirs.txt*",".{0,1000}\sws\-dirs\.txt.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","0","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"* ws-files.txt*",".{0,1000}\sws\-files\.txt.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","0","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"* -X FUZZ http*",".{0,1000}\s\-X\sFUZZ\shttp.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","0","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"* -z burplog*",".{0,1000}\s\-z\sburplog.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","0","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"*../../../../../../etc/passwd*",".{0,1000}\.\.\/\.\.\/\.\.\/\.\.\/\.\.\/\.\.\/etc\/passwd.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","1","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"*../../../../../../etc/shadow*",".{0,1000}\.\.\/\.\.\/\.\.\/\.\.\/\.\.\/\.\.\/etc\/shadow.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","1","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"*/../../../../../boot.ini*",".{0,1000}\/\.\.\/\.\.\/\.\.\/\.\.\/\.\.\/boot\.ini.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","1","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"*/admin-panels.txt*",".{0,1000}\/admin\-panels\.txt.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","1","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"*/All_attack.txt*",".{0,1000}\/All_attack\.txt.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","1","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"*/Injections/SQL.txt*",".{0,1000}\/Injections\/SQL\.txt.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","1","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"*/sql_inj.txt*",".{0,1000}\/sql_inj\.txt.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","1","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"*/ws-dirs.txt*",".{0,1000}\/ws\-dirs\.txt.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","1","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
"*/ws-files.txt*",".{0,1000}\/ws\-files\.txt.{0,1000}","offensive_tool_keyword","wfuzz","Web application fuzzer.","T1210.001 - T1190 - T1595","TA0007 - TA0002 - TA0010","N/A","N/A","Information Gathering","https://github.com/xmendez/wfuzz","1","1","N/A","9","10","5690","1332","2024-05-03T15:33:40Z","2014-10-22T21:23:49Z"
