"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* -p 4444 -c powershell*",".{0,1000}\s\-p\s4444\s\-c\spowershell.{0,1000}","offensive_tool_keyword","RustPotato","A Rust implementation of GodPotato - abusing SeImpersonate to gain SYSTEM privileges","T1134.001 - T1055.011","TA0004","N/A","N/A","Privilege Escalation","https://github.com/emdnaia/RustPotato","1","0","N/A","N/A","10","1","0","0","2025-01-06T18:10:17Z","2025-01-06T19:44:57Z"
"*/pipe/RustPotato*",".{0,1000}\/pipe\/RustPotato.{0,1000}","offensive_tool_keyword","RustPotato","A Rust implementation of GodPotato - abusing SeImpersonate to gain SYSTEM privileges","T1134.001 - T1055.011","TA0004","N/A","N/A","Privilege Escalation","https://github.com/emdnaia/RustPotato","1","0","#content #namedpipe","N/A","10","1","0","0","2025-01-06T18:10:17Z","2025-01-06T19:44:57Z"
"*/RustPotato.git*",".{0,1000}\/RustPotato\.git.{0,1000}","offensive_tool_keyword","RustPotato","A Rust implementation of GodPotato - abusing SeImpersonate to gain SYSTEM privileges","T1134.001 - T1055.011","TA0004","N/A","N/A","Privilege Escalation","https://github.com/emdnaia/RustPotato","1","1","N/A","N/A","10","1","0","0","2025-01-06T18:10:17Z","2025-01-06T19:44:57Z"
"*[-] Failed to start reverse shell*",".{0,1000}\[\-\]\sFailed\sto\sstart\sreverse\sshell.{0,1000}","offensive_tool_keyword","RustPotato","A Rust implementation of GodPotato - abusing SeImpersonate to gain SYSTEM privileges","T1134.001 - T1055.011","TA0004","N/A","N/A","Privilege Escalation","https://github.com/emdnaia/RustPotato","1","0","#content","N/A","10","1","0","0","2025-01-06T18:10:17Z","2025-01-06T19:44:57Z"
"*\\pipe\\RustPotato*",".{0,1000}\\\\pipe\\\\RustPotato.{0,1000}","offensive_tool_keyword","RustPotato","A Rust implementation of GodPotato - abusing SeImpersonate to gain SYSTEM privileges","T1134.001 - T1055.011","TA0004","N/A","N/A","Privilege Escalation","https://github.com/emdnaia/RustPotato","1","0","#content #namedpipe","N/A","10","1","0","0","2025-01-06T18:10:17Z","2025-01-06T19:44:57Z"
"*\pipe\RustPotato*",".{0,1000}\\pipe\\RustPotato.{0,1000}","offensive_tool_keyword","RustPotato","A Rust implementation of GodPotato - abusing SeImpersonate to gain SYSTEM privileges","T1134.001 - T1055.011","TA0004","N/A","N/A","Privilege Escalation","https://github.com/emdnaia/RustPotato","1","0","#content #namedpipe","N/A","10","1","0","0","2025-01-06T18:10:17Z","2025-01-06T19:44:57Z"
"*\RustPotato-main*",".{0,1000}\\RustPotato\-main.{0,1000}","offensive_tool_keyword","RustPotato","A Rust implementation of GodPotato - abusing SeImpersonate to gain SYSTEM privileges","T1134.001 - T1055.011","TA0004","N/A","N/A","Privilege Escalation","https://github.com/emdnaia/RustPotato","1","0","N/A","N/A","10","1","0","0","2025-01-06T18:10:17Z","2025-01-06T19:44:57Z"
"*emdnaia/RustPotato*",".{0,1000}emdnaia\/RustPotato.{0,1000}","offensive_tool_keyword","RustPotato","A Rust implementation of GodPotato - abusing SeImpersonate to gain SYSTEM privileges","T1134.001 - T1055.011","TA0004","N/A","N/A","Privilege Escalation","https://github.com/emdnaia/RustPotato","1","1","N/A","N/A","10","1","0","0","2025-01-06T18:10:17Z","2025-01-06T19:44:57Z"
"*f458f32e49cf7c57bd3bd32e9c82217f2faab412155c9e2a7c28d1b1b4848c42*",".{0,1000}f458f32e49cf7c57bd3bd32e9c82217f2faab412155c9e2a7c28d1b1b4848c42.{0,1000}","offensive_tool_keyword","RustPotato","A Rust implementation of GodPotato - abusing SeImpersonate to gain SYSTEM privileges","T1134.001 - T1055.011","TA0004","N/A","N/A","Privilege Escalation","https://github.com/emdnaia/RustPotato","1","0","#filehash","N/A","10","1","0","0","2025-01-06T18:10:17Z","2025-01-06T19:44:57Z"
"*localhost/pipe/RustPotato*",".{0,1000}localhost\/pipe\/RustPotato.{0,1000}","offensive_tool_keyword","RustPotato","A Rust implementation of GodPotato - abusing SeImpersonate to gain SYSTEM privileges","T1134.001 - T1055.011","TA0004","N/A","N/A","Privilege Escalation","https://github.com/emdnaia/RustPotato","1","0","#content #namedpipe","N/A","10","1","0","0","2025-01-06T18:10:17Z","2025-01-06T19:44:57Z"
"*RustPotato.exe*",".{0,1000}RustPotato\.exe.{0,1000}","offensive_tool_keyword","RustPotato","A Rust implementation of GodPotato - abusing SeImpersonate to gain SYSTEM privileges","T1134.001 - T1055.011","TA0004","N/A","N/A","Privilege Escalation","https://github.com/emdnaia/RustPotato","1","1","N/A","N/A","10","1","0","0","2025-01-06T18:10:17Z","2025-01-06T19:44:57Z"
