"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*$VeaamRegPath*SqlDatabaseName*",".{0,1000}\$VeaamRegPath.{0,1000}SqlDatabaseName.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","0","N/A","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
"*$VeaamRegPath*SqlInstanceName*",".{0,1000}\$VeaamRegPath.{0,1000}SqlInstanceName.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","0","N/A","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
"*$VeaamRegPath*SqlServerName*",".{0,1000}\$VeaamRegPath.{0,1000}SqlServerName.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","0","N/A","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
"*/veeam-creds.git*",".{0,1000}\/veeam\-creds\.git.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","1","N/A","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
"*\veeam-creds\*",".{0,1000}\\veeam\-creds\\.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","0","N/A","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
"*4d9b2297358dbe1d72168480ab67ef7b992c2b84d4f09d71d906c941523f7b74*",".{0,1000}4d9b2297358dbe1d72168480ab67ef7b992c2b84d4f09d71d906c941523f7b74.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","0","#filehash","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
"*5c7e09b63bd99851d8b93241f3907917c07af3903aa024da0bd549ae1fc373f7*",".{0,1000}5c7e09b63bd99851d8b93241f3907917c07af3903aa024da0bd549ae1fc373f7.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","0","#filehash","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
"*b683f658cc3320b969164f1dd01ce028c2a2e8f69ed56695415805cb601b96cc*",".{0,1000}b683f658cc3320b969164f1dd01ce028c2a2e8f69ed56695415805cb601b96cc.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","0","#filehash","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
"*b683f658cc3320b969164f1dd01ce028c2a2e8f69ed56695415805cb601b96cc*",".{0,1000}b683f658cc3320b969164f1dd01ce028c2a2e8f69ed56695415805cb601b96cc.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","0","#filehash","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
"*dd05c2d2a5d00de8f4ef3dd6d8e2304d2ecb3787e97edd0e38867d047b0936a0*",".{0,1000}dd05c2d2a5d00de8f4ef3dd6d8e2304d2ecb3787e97edd0e38867d047b0936a0.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","0","#filehash","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
"*Here are some passwords for you, have fun:*",".{0,1000}Here\sare\ssome\spasswords\sfor\syou,\shave\sfun\:.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","0","N/A","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
"*Invoke-VeeamGetCreds*",".{0,1000}Invoke\-VeeamGetCreds.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","1","N/A","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
"*sadshade/veeam-creds*",".{0,1000}sadshade\/veeam\-creds.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","1","N/A","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
"*veeam-creds-main*",".{0,1000}veeam\-creds\-main.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","1","N/A","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
"*Veeam-Get-Creds.ps1*",".{0,1000}Veeam\-Get\-Creds\.ps1.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","1","N/A","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
"*VeeamGetCreds.yaml*",".{0,1000}VeeamGetCreds\.yaml.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","1","N/A","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
"*veeampot.py*",".{0,1000}veeampot\.py.{0,1000}","offensive_tool_keyword","veeam-creds","Collection of scripts to retrieve stored passwords from Veeam Backup","T1003 - T1555.005 - T1552","TA0006 - TA0007","N/A","N/A","Credential Access","https://github.com/sadshade/veeam-creds","1","1","N/A","N/A","10","1","91","27","2023-01-17T13:57:27Z","2021-02-05T03:13:08Z"
