"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/AutoBlue-MS17-010.git*",".{0,1000}\/AutoBlue\-MS17\-010\.git.{0,1000}","offensive_tool_keyword","AutoBlue-MS17-010","automated exploit code for MS17-010","T1210 - T1040 - T1059.001","TA0001 - TA0002 - TA0005","N/A","Dispossessor","Exploitation tool","https://github.com/3ndG4me/AutoBlue-MS17-010","1","1","N/A","N/A","6","10","1215","314","2023-12-24T19:22:26Z","2017-11-25T09:03:38Z"
"*/eternal_checker.py*",".{0,1000}\/eternal_checker\.py.{0,1000}","offensive_tool_keyword","AutoBlue-MS17-010","automated exploit code for MS17-010","T1210 - T1040 - T1059.001","TA0001 - TA0002 - TA0005","N/A","Dispossessor","Exploitation tool","https://github.com/3ndG4me/AutoBlue-MS17-010","1","0","N/A","N/A","6","10","1215","314","2023-12-24T19:22:26Z","2017-11-25T09:03:38Z"
"*/zzz_exploit.py*",".{0,1000}\/zzz_exploit\.py.{0,1000}","offensive_tool_keyword","AutoBlue-MS17-010","automated exploit code for MS17-010","T1210 - T1040 - T1059.001","TA0001 - TA0002 - TA0005","N/A","Dispossessor","Exploitation tool","https://github.com/3ndG4me/AutoBlue-MS17-010","1","1","N/A","N/A","6","10","1215","314","2023-12-24T19:22:26Z","2017-11-25T09:03:38Z"
"*\AutoBlue-MS17-010-main*",".{0,1000}\\AutoBlue\-MS17\-010\-main.{0,1000}","offensive_tool_keyword","AutoBlue-MS17-010","automated exploit code for MS17-010","T1210 - T1040 - T1059.001","TA0001 - TA0002 - TA0005","N/A","Dispossessor","Exploitation tool","https://github.com/3ndG4me/AutoBlue-MS17-010","1","0","N/A","N/A","6","10","1215","314","2023-12-24T19:22:26Z","2017-11-25T09:03:38Z"
"*0ad2c8d20a383ac7007bb531672f8cbb9fe945b8d32eefa061b4ead09ff92ce3*",".{0,1000}0ad2c8d20a383ac7007bb531672f8cbb9fe945b8d32eefa061b4ead09ff92ce3.{0,1000}","offensive_tool_keyword","AutoBlue-MS17-010","automated exploit code for MS17-010","T1210 - T1040 - T1059.001","TA0001 - TA0002 - TA0005","N/A","Dispossessor","Exploitation tool","https://github.com/3ndG4me/AutoBlue-MS17-010","1","0","#filehash","N/A","6","10","1215","314","2023-12-24T19:22:26Z","2017-11-25T09:03:38Z"
"*1008626761b65900ab77833ff6a2a3e2a4d8a7a4eab1e956d477d951f1edd28e*",".{0,1000}1008626761b65900ab77833ff6a2a3e2a4d8a7a4eab1e956d477d951f1edd28e.{0,1000}","offensive_tool_keyword","AutoBlue-MS17-010","automated exploit code for MS17-010","T1210 - T1040 - T1059.001","TA0001 - TA0002 - TA0005","N/A","Dispossessor","Exploitation tool","https://github.com/3ndG4me/AutoBlue-MS17-010","1","0","#filehash","N/A","6","10","1215","314","2023-12-24T19:22:26Z","2017-11-25T09:03:38Z"
"*2d93db2abb0ea20a402c5d62e610e36d1957069b8612f7fd05d6be0a1d362c3b*",".{0,1000}2d93db2abb0ea20a402c5d62e610e36d1957069b8612f7fd05d6be0a1d362c3b.{0,1000}","offensive_tool_keyword","AutoBlue-MS17-010","automated exploit code for MS17-010","T1210 - T1040 - T1059.001","TA0001 - TA0002 - TA0005","N/A","Dispossessor","Exploitation tool","https://github.com/3ndG4me/AutoBlue-MS17-010","1","0","#filehash","N/A","6","10","1215","314","2023-12-24T19:22:26Z","2017-11-25T09:03:38Z"
"*3ndG4me/AutoBlue-MS17-010*",".{0,1000}3ndG4me\/AutoBlue\-MS17\-010.{0,1000}","offensive_tool_keyword","AutoBlue-MS17-010","automated exploit code for MS17-010","T1210 - T1040 - T1059.001","TA0001 - TA0002 - TA0005","N/A","Dispossessor","Exploitation tool","https://github.com/3ndG4me/AutoBlue-MS17-010","1","1","N/A","N/A","6","10","1215","314","2023-12-24T19:22:26Z","2017-11-25T09:03:38Z"
"*4be7282a5c184870c130913381641c2c531d773eec25fc810394fca9ec9c386c*",".{0,1000}4be7282a5c184870c130913381641c2c531d773eec25fc810394fca9ec9c386c.{0,1000}","offensive_tool_keyword","AutoBlue-MS17-010","automated exploit code for MS17-010","T1210 - T1040 - T1059.001","TA0001 - TA0002 - TA0005","N/A","Dispossessor","Exploitation tool","https://github.com/3ndG4me/AutoBlue-MS17-010","1","0","#filehash","N/A","6","10","1215","314","2023-12-24T19:22:26Z","2017-11-25T09:03:38Z"
"*5649329377ee03a1aace70be74650290f8d6bb597351daf62d1a6a4a37db53cb*",".{0,1000}5649329377ee03a1aace70be74650290f8d6bb597351daf62d1a6a4a37db53cb.{0,1000}","offensive_tool_keyword","AutoBlue-MS17-010","automated exploit code for MS17-010","T1210 - T1040 - T1059.001","TA0001 - TA0002 - TA0005","N/A","Dispossessor","Exploitation tool","https://github.com/3ndG4me/AutoBlue-MS17-010","1","0","#filehash","N/A","6","10","1215","314","2023-12-24T19:22:26Z","2017-11-25T09:03:38Z"
