"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/DriverDump.exe*",".{0,1000}\/DriverDump\.exe.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","1","N/A","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*/POC/driverdump/*",".{0,1000}\/POC\/driverdump\/.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","1","N/A","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*\DriverDump.c*",".{0,1000}\\DriverDump\.c.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","0","N/A","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*\DriverDump.exe*",".{0,1000}\\DriverDump\.exe.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","0","N/A","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*\DriverDump.sln*",".{0,1000}\\DriverDump\.sln.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","0","N/A","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*\DriverDump.vcxproj*",".{0,1000}\\DriverDump\.vcxproj.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","0","N/A","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*\nanodump.c*",".{0,1000}\\nanodump\.c.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","0","N/A","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*4f3632bb0c4eb05c443535dd3a773f83b3ac47f20ba75fbc3a2c8e6b80a46c60*",".{0,1000}4f3632bb0c4eb05c443535dd3a773f83b3ac47f20ba75fbc3a2c8e6b80a46c60.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","0","#filehash","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*5b3811e463d5b424593910cbf7fd06218e993f8399a9add27b053f98bc984587*",".{0,1000}5b3811e463d5b424593910cbf7fd06218e993f8399a9add27b053f98bc984587.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","0","#filehash","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*7f005c1ea9c2021b5db5807fdf9e8e9f502b28f089ff17dc85b7d480a3e3d143*",".{0,1000}7f005c1ea9c2021b5db5807fdf9e8e9f502b28f089ff17dc85b7d480a3e3d143.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","0","#filehash","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*83DF0D0B-8FC6-4BCA-9982-4D26523515A2*",".{0,1000}83DF0D0B\-8FC6\-4BCA\-9982\-4D26523515A2.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","0","#GUIDproject","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*c7600f446daa53037a63ad765e0873a9c45adfd8944e5fee1c1586936ecf2928*",".{0,1000}c7600f446daa53037a63ad765e0873a9c45adfd8944e5fee1c1586936ecf2928.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","0","#filehash","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*Data Name=""ServiceName"">procexp</Data>*",".{0,1000}Data\sName\=\""ServiceName\""\>procexp\<\/Data\>.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Persistence","https://github.com/trustedsec/The_Shelf","1","0","N/A","ServiceName","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*L""NanoDumpPwd""*",".{0,1000}L\""NanoDumpPwd\"".{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","0","N/A","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*NanoDumpPPLmedicPipe*",".{0,1000}NanoDumpPPLmedicPipe.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","0","N/A","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*NanoDumpSSPPipe*",".{0,1000}NanoDumpSSPPipe.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","0","N/A","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*pypykatz lsa minidump*",".{0,1000}pypykatz\slsa\sminidump.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","0","N/A","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*SYSTEM\CurrentControlSet\Services\procexp*",".{0,1000}SYSTEM\\CurrentControlSet\\Services\\procexp.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Persistence","https://github.com/trustedsec/The_Shelf","1","0","N/A","ServiceName","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
"*The nanodump was created succesfully*",".{0,1000}The\snanodump\swas\screated\ssuccesfully.{0,1000}","offensive_tool_keyword","DriverDump","abusing the old process explorer driver to grab a privledged handle to lsass and then dump it","T1543 - T1548 - T1562 - T1003 - T1569","TA0005 - TA0003 - TA0004 - TA0006 - TA0009","N/A","N/A","Credential Access","https://github.com/trustedsec/The_Shelf","1","0","N/A","N/A","10","3","223","13","2024-10-03T12:58:46Z","2024-05-22T14:31:52Z"
