"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* -Recommended -SprayEmptyPasswords*",".{0,1000}\s\-Recommended\s\-SprayEmptyPasswords.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","0","N/A","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
"*$EmptyPasswordUsers*",".{0,1000}\$EmptyPasswordUsers.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","0","N/A","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
"*$PotentialComputersWithEmptyPassword*",".{0,1000}\$PotentialComputersWithEmptyPassword.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","0","N/A","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
"*$PotentialUsersWithEmptyPassword*",".{0,1000}\$PotentialUsersWithEmptyPassword.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","0","N/A","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
"*$SprayEmptyPasswords*",".{0,1000}\$SprayEmptyPasswords.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","0","N/A","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
"*/Invoke-ADEnum.git*",".{0,1000}\/Invoke\-ADEnum\.git.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","1","N/A","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
"*\*_AD-Audit_*.txt*",".{0,1000}\\.{0,1000}_AD\-Audit_.{0,1000}\.txt.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","0","N/A","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
"*\Invoke-ADEnum\*",".{0,1000}\\Invoke\-ADEnum\\.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","0","N/A","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
"*\Invoke-ADEnum-main*",".{0,1000}\\Invoke\-ADEnum\-main.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","0","N/A","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
"*\krbtgtAccounts.json*",".{0,1000}\\krbtgtAccounts\.json.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","0","N/A","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
"*] Collecting Krbtgt*",".{0,1000}\]\sCollecting\sKrbtgt.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","0","N/A","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
"*27049d9f4a7125e9be92e84edcad5dc118bc8503920fb3250b3e2f7577370b49*",".{0,1000}27049d9f4a7125e9be92e84edcad5dc118bc8503920fb3250b3e2f7577370b49.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","0","#filehash","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
"*Find-LocalAdminAccess *",".{0,1000}Find\-LocalAdminAccess\s.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","0","N/A","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
"*Invoke-ADEnum -*",".{0,1000}Invoke\-ADEnum\s\-.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","0","N/A","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
"*Invoke-ADEnum.ps1*",".{0,1000}Invoke\-ADEnum\.ps1.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","1","N/A","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
"*Invoke-ShareHunter *",".{0,1000}Invoke\-ShareHunter\s.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","0","N/A","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
"*Leo4j/Invoke-ADEnum*",".{0,1000}Leo4j\/Invoke\-ADEnum.{0,1000}","offensive_tool_keyword","Invoke-ADEnum","Automate Active Directory Enumeration","T1016 - T1482","TA0007","N/A","N/A","Discovery","https://github.com/Leo4j/Invoke-ADEnum","1","1","N/A","N/A","7","5","420","48","2024-11-23T16:28:21Z","2023-04-18T11:19:42Z"
