"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* gost.tar.gz*",".{0,1000}\sgost\.tar\.gz.{0,1000}","greyware_tool_keyword","gost","GO Simple Tunnel - a simple tunnel written in golang","T1572","TA0011 - TA0003","N/A","EMBER BEAR","C2","https://github.com/go-gost/gost","1","0","N/A","N/A","10","10","4236","517","2024-11-01T15:35:24Z","2020-02-12T14:58:08Z"
"* gost/cmd/gost*",".{0,1000}\sgost\/cmd\/gost.{0,1000}","greyware_tool_keyword","gost","GO Simple Tunnel - a simple tunnel written in golang","T1572","TA0011 - TA0003","N/A","EMBER BEAR","C2","https://github.com/go-gost/gost","1","1","N/A","N/A","10","10","4236","517","2024-11-01T15:35:24Z","2020-02-12T14:58:08Z"
"*""gost installation completed!""*",".{0,1000}\""gost\sinstallation\scompleted!\"".{0,1000}","greyware_tool_keyword","gost","GO Simple Tunnel - a simple tunnel written in golang","T1572","TA0011 - TA0003","N/A","EMBER BEAR","C2","https://github.com/go-gost/gost","1","0","N/A","N/A","10","10","4236","517","2024-11-01T15:35:24Z","2020-02-12T14:58:08Z"
"*/go-gost/core/*",".{0,1000}\/go\-gost\/core\/.{0,1000}","greyware_tool_keyword","gost","GO Simple Tunnel - a simple tunnel written in golang","T1572","TA0011 - TA0003","N/A","EMBER BEAR","C2","https://github.com/go-gost/gost","1","1","N/A","N/A","10","10","4236","517","2024-11-01T15:35:24Z","2020-02-12T14:58:08Z"
"*/gost.tar.gz*",".{0,1000}\/gost\.tar\.gz.{0,1000}","greyware_tool_keyword","gost","GO Simple Tunnel - a simple tunnel written in golang","T1572","TA0011 - TA0003","N/A","EMBER BEAR","C2","https://github.com/go-gost/gost","1","1","N/A","N/A","10","10","4236","517","2024-11-01T15:35:24Z","2020-02-12T14:58:08Z"
"*/gost/raw/master/install.sh*",".{0,1000}\/gost\/raw\/master\/install\.sh.{0,1000}","greyware_tool_keyword","gost","GO Simple Tunnel - a simple tunnel written in golang","T1572","TA0011 - TA0003","N/A","EMBER BEAR","C2","https://github.com/go-gost/gost","1","1","N/A","N/A","10","10","4236","517","2024-11-01T15:35:24Z","2020-02-12T14:58:08Z"
"*/gost/releases/download/*.tar.gz*",".{0,1000}\/gost\/releases\/download\/.{0,1000}\.tar\.gz.{0,1000}","greyware_tool_keyword","gost","GO Simple Tunnel - a simple tunnel written in golang","T1572","TA0011 - TA0003","N/A","EMBER BEAR","C2","https://github.com/go-gost/gost","1","1","N/A","N/A","10","10","4236","517","2024-11-01T15:35:24Z","2020-02-12T14:58:08Z"
"*\gost.tar.gz*",".{0,1000}\\gost\.tar\.gz.{0,1000}","greyware_tool_keyword","gost","GO Simple Tunnel - a simple tunnel written in golang","T1572","TA0011 - TA0003","N/A","EMBER BEAR","C2","https://github.com/go-gost/gost","1","0","N/A","N/A","10","10","4236","517","2024-11-01T15:35:24Z","2020-02-12T14:58:08Z"
"*0276ec0ea830a61275437a98b81224b95712ecac5a7b9850bcbf2444ff46e47a*",".{0,1000}0276ec0ea830a61275437a98b81224b95712ecac5a7b9850bcbf2444ff46e47a.{0,1000}","greyware_tool_keyword","gost","GO Simple Tunnel - a simple tunnel written in golang","T1572","TA0011 - TA0003","N/A","EMBER BEAR","C2","https://github.com/go-gost/gost","1","0","#filehash","N/A","10","10","4236","517","2024-11-01T15:35:24Z","2020-02-12T14:58:08Z"
"*02838437eb0acf23204585e8c21252b8bb9413dffbfcbfcd0ff9b05735a98ac1*",".{0,1000}02838437eb0acf23204585e8c21252b8bb9413dffbfcbfcd0ff9b05735a98ac1.{0,1000}","greyware_tool_keyword","gost","GO Simple Tunnel - a simple tunnel written in golang","T1572","TA0011 - TA0003","N/A","EMBER BEAR","C2","https://github.com/go-gost/gost","1","0","#filehash","N/A","10","10","4236","517","2024-11-01T15:35:24Z","2020-02-12T14:58:08Z"
"*02bacaa4ba2b64eb019f7b9da5861192bf0e85e4615a299035086decf9da7d06*",".{0,1000}02bacaa4ba2b64eb019f7b9da5861192bf0e85e4615a299035086decf9da7d06.{0,1000}","greyware_tool_keyword","gost","GO Simple Tunnel - a simple tunnel written in golang","T1572","TA0011 - TA0003","N/A","EMBER BEAR","C2","https://github.com/go-gost/gost","1","0","#filehash","N/A","10","10","4236","517","2024-11-01T15:35:24Z","2020-02-12T14:58:08Z"
"*047ab1af44f368297bf21b302a2548a556ca4e6c6b721940954e88f43d1cfba5*",".{0,1000}047ab1af44f368297bf21b302a2548a556ca4e6c6b721940954e88f43d1cfba5.{0,1000}","greyware_tool_keyword","gost","GO Simple Tunnel - a simple tunnel written in golang","T1572","TA0011 - TA0003","N/A","EMBER BEAR","C2","https://github.com/go-gost/gost","1","0","#filehash","N/A","10","10","4236","517","2024-11-01T15:35:24Z","2020-02-12T14:58:08Z"
"*06dfa5d139637adf641c5ce926f88aef127165d305af64e655ebaf069c7e3691*",".{0,1000}06dfa5d139637adf641c5ce926f88aef127165d305af64e655ebaf069c7e3691.{0,1000}","greyware_tool_keyword","gost","GO Simple Tunnel - a simple tunnel written in golang","T1572","TA0011 - TA0003","N/A","EMBER BEAR","C2","https://github.com/go-gost/gost","1","0","#filehash","N/A","10","10","4236","517","2024-11-01T15:35:24Z","2020-02-12T14:58:08Z"
"*078df1ee57a842cc2395869797ece90a7a6d7158090a84f8b78f41a3072505f6*",".{0,1000}078df1ee57a842cc2395869797ece90a7a6d7158090a84f8b78f41a3072505f6.{0,1000}","greyware_tool_keyword","gost","GO Simple Tunnel - a simple tunnel written in golang","T1572","TA0011 - TA0003","N/A","EMBER BEAR","C2","https://github.com/go-gost/gost","1","0","#filehash","N/A","10","10","4236","517","2024-11-01T15:35:24Z","2020-02-12T14:58:08Z"
"*0cfc3c9a964253eea12a9d5705ee0ca0967605483f1dca3c6ef28aed5fdc5b30*",".{0,1000}0cfc3c9a964253eea12a9d5705ee0ca0967605483f1dca3c6ef28aed5fdc5b30.{0,1000}","greyware_tool_keyword","gost","GO Simple Tunnel - a simple tunnel written in golang","T1572","TA0011 - TA0003","N/A","EMBER BEAR","C2","https://github.com/go-gost/gost","1","0","#filehash","N/A","10","10","4236","517","2024-11-01T15:35:24Z","2020-02-12T14:58:08Z"
"*0d7f56e583575888e68ce8c945fbd4c05842dceb352ddc7e8beeb86fe0d36861*",".{0,1000}0d7f56e583575888e68ce8c945fbd4c05842dceb352ddc7e8beeb86fe0d36861.{0,1000}","greyware_tool_keyword","gost","GO Simple Tunnel - a simple tunnel written in golang","T1572","TA0011 - TA0003","N/A","EMBER BEAR","C2","https://github.com/go-gost/gost","1","0","#filehash","N/A","10","10","4236","517","2024-11-01T15:35:24Z","2020-02-12T14:58:08Z"
