"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* --bloodhound --import-data *",".{0,1000}\s\-\-bloodhound\s\-\-import\-data\s.{0,1000}","offensive_tool_keyword","knowsmore","KnowsMore is a swiss army knife tool for pentesting Microsoft Active Directory (NTLM Hashes - BloodHound - NTDS and DCSync).","T1003 - T1098 - T1134 - T1484 - T1178 - T1078","TA0006 - TA0008 - TA0003 - TA0011 - TA0005","N/A","N/A","Credential Access","https://github.com/helviojunior/knowsmore","1","0","N/A","N/A","10","3","204","29","2024-08-01T16:01:13Z","2023-01-09T14:02:37Z"
"* --bloodhound --mark-owned *",".{0,1000}\s\-\-bloodhound\s\-\-mark\-owned\s.{0,1000}","offensive_tool_keyword","knowsmore","KnowsMore is a swiss army knife tool for pentesting Microsoft Active Directory (NTLM Hashes - BloodHound - NTDS and DCSync).","T1003 - T1098 - T1134 - T1484 - T1178 - T1078","TA0006 - TA0008 - TA0003 - TA0011 - TA0005","N/A","N/A","Credential Access","https://github.com/helviojunior/knowsmore","1","0","N/A","N/A","10","3","204","29","2024-08-01T16:01:13Z","2023-01-09T14:02:37Z"
"* --bloodhound --sync *",".{0,1000}\s\-\-bloodhound\s\-\-sync\s.{0,1000}","offensive_tool_keyword","knowsmore","KnowsMore is a swiss army knife tool for pentesting Microsoft Active Directory (NTLM Hashes - BloodHound - NTDS and DCSync).","T1003 - T1098 - T1134 - T1484 - T1178 - T1078","TA0006 - TA0008 - TA0003 - TA0011 - TA0005","N/A","N/A","Credential Access","https://github.com/helviojunior/knowsmore","1","0","N/A","N/A","10","3","204","29","2024-08-01T16:01:13Z","2023-01-09T14:02:37Z"
"* bloodhoundsync.py*",".{0,1000}\sbloodhoundsync\.py.{0,1000}","offensive_tool_keyword","knowsmore","KnowsMore is a swiss army knife tool for pentesting Microsoft Active Directory (NTLM Hashes - BloodHound - NTDS and DCSync).","T1003 - T1098 - T1134 - T1484 - T1178 - T1078","TA0006 - TA0008 - TA0003 - TA0011 - TA0005","N/A","N/A","Credential Access","https://github.com/helviojunior/knowsmore","1","0","N/A","N/A","10","3","204","29","2024-08-01T16:01:13Z","2023-01-09T14:02:37Z"
"* knowsmore.cmd.wordlist*",".{0,1000}\sknowsmore\.cmd\.wordlist.{0,1000}","offensive_tool_keyword","knowsmore","KnowsMore is a swiss army knife tool for pentesting Microsoft Active Directory (NTLM Hashes - BloodHound - NTDS and DCSync).","T1003 - T1098 - T1134 - T1484 - T1178 - T1078","TA0006 - TA0008 - TA0003 - TA0011 - TA0005","N/A","N/A","Credential Access","https://github.com/helviojunior/knowsmore","1","0","N/A","N/A","10","3","204","29","2024-08-01T16:01:13Z","2023-01-09T14:02:37Z"
"* knowsmore.cmdbase*",".{0,1000}\sknowsmore\.cmdbase.{0,1000}","offensive_tool_keyword","knowsmore","KnowsMore is a swiss army knife tool for pentesting Microsoft Active Directory (NTLM Hashes - BloodHound - NTDS and DCSync).","T1003 - T1098 - T1134 - T1484 - T1178 - T1078","TA0006 - TA0008 - TA0003 - TA0011 - TA0005","N/A","N/A","Credential Access","https://github.com/helviojunior/knowsmore","1","0","N/A","N/A","10","3","204","29","2024-08-01T16:01:13Z","2023-01-09T14:02:37Z"
"* knowsmore.config*",".{0,1000}\sknowsmore\.config.{0,1000}","offensive_tool_keyword","knowsmore","KnowsMore is a swiss army knife tool for pentesting Microsoft Active Directory (NTLM Hashes - BloodHound - NTDS and DCSync).","T1003 - T1098 - T1134 - T1484 - T1178 - T1078","TA0006 - TA0008 - TA0003 - TA0011 - TA0005","N/A","N/A","Credential Access","https://github.com/helviojunior/knowsmore","1","0","N/A","N/A","10","3","204","29","2024-08-01T16:01:13Z","2023-01-09T14:02:37Z"
"* knowsmore.knowsmore*",".{0,1000}\sknowsmore\.knowsmore.{0,1000}","offensive_tool_keyword","knowsmore","KnowsMore is a swiss army knife tool for pentesting Microsoft Active Directory (NTLM Hashes - BloodHound - NTDS and DCSync).","T1003 - T1098 - T1134 - T1484 - T1178 - T1078","TA0006 - TA0008 - TA0003 - TA0011 - TA0005","N/A","N/A","Credential Access","https://github.com/helviojunior/knowsmore","1","0","N/A","N/A","10","3","204","29","2024-08-01T16:01:13Z","2023-01-09T14:02:37Z"
"* knowsmore.libs.bloodhoundsync*",".{0,1000}\sknowsmore\.libs\.bloodhoundsync.{0,1000}","offensive_tool_keyword","knowsmore","KnowsMore is a swiss army knife tool for pentesting Microsoft Active Directory (NTLM Hashes - BloodHound - NTDS and DCSync).","T1003 - T1098 - T1134 - T1484 - T1178 - T1078","TA0006 - TA0008 - TA0003 - TA0011 - TA0005","N/A","N/A","Credential Access","https://github.com/helviojunior/knowsmore","1","0","N/A","N/A","10","3","204","29","2024-08-01T16:01:13Z","2023-01-09T14:02:37Z"
"* knowsmore.libs.exporterbase*",".{0,1000}\sknowsmore\.libs\.exporterbase.{0,1000}","offensive_tool_keyword","knowsmore","KnowsMore is a swiss army knife tool for pentesting Microsoft Active Directory (NTLM Hashes - BloodHound - NTDS and DCSync).","T1003 - T1098 - T1134 - T1484 - T1178 - T1078","TA0006 - TA0008 - TA0003 - TA0011 - TA0005","N/A","N/A","Credential Access","https://github.com/helviojunior/knowsmore","1","0","N/A","N/A","10","3","204","29","2024-08-01T16:01:13Z","2023-01-09T14:02:37Z"
"* knowsmore.libs.ntdsuseraccount*",".{0,1000}\sknowsmore\.libs\.ntdsuseraccount.{0,1000}","offensive_tool_keyword","knowsmore","KnowsMore is a swiss army knife tool for pentesting Microsoft Active Directory (NTLM Hashes - BloodHound - NTDS and DCSync).","T1003 - T1098 - T1134 - T1484 - T1178 - T1078","TA0006 - TA0008 - TA0003 - TA0011 - TA0005","N/A","N/A","Credential Access","https://github.com/helviojunior/knowsmore","1","0","N/A","N/A","10","3","204","29","2024-08-01T16:01:13Z","2023-01-09T14:02:37Z"
"* knowsmore.module*",".{0,1000}\sknowsmore\.module.{0,1000}","offensive_tool_keyword","knowsmore","KnowsMore is a swiss army knife tool for pentesting Microsoft Active Directory (NTLM Hashes - BloodHound - NTDS and DCSync).","T1003 - T1098 - T1134 - T1484 - T1178 - T1078","TA0006 - TA0008 - TA0003 - TA0011 - TA0005","N/A","N/A","Credential Access","https://github.com/helviojunior/knowsmore","1","0","N/A","N/A","10","3","204","29","2024-08-01T16:01:13Z","2023-01-09T14:02:37Z"
