"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* ShellGen.ps1*",".{0,1000}\sShellGen\.ps1.{0,1000}","offensive_tool_keyword","ShellGen","PowerShell script to generate ShellCode in various formats","T1059.001 - T1588","TA0042","N/A","N/A","Resource Development","https://github.com/Leo4j/ShellGen","1","0","N/A","N/A","7","1","19","6","2024-08-27T14:04:44Z","2024-08-22T13:32:06Z"
"*$B64PwshCommand*",".{0,1000}\$B64PwshCommand.{0,1000}","offensive_tool_keyword","ShellGen","PowerShell script to generate ShellCode in various formats","T1059.001 - T1588","TA0042","N/A","N/A","Resource Development","https://github.com/Leo4j/ShellGen","1","0","N/A","N/A","7","1","19","6","2024-08-27T14:04:44Z","2024-08-22T13:32:06Z"
"*$shellcode += 0x65,0x48,0x8b,0x42,0x60*",".{0,1000}\$shellcode\s\+\=\s0x65,0x48,0x8b,0x42,0x60.{0,1000}","offensive_tool_keyword","ShellGen","PowerShell script to generate ShellCode in various formats","T1059.001 - T1588","TA0042","N/A","N/A","Resource Development","https://github.com/Leo4j/ShellGen","1","0","N/A","N/A","7","1","19","6","2024-08-27T14:04:44Z","2024-08-22T13:32:06Z"
"*/ShellGen.git*",".{0,1000}\/ShellGen\.git.{0,1000}","offensive_tool_keyword","ShellGen","PowerShell script to generate ShellCode in various formats","T1059.001 - T1588","TA0042","N/A","N/A","Resource Development","https://github.com/Leo4j/ShellGen","1","1","N/A","N/A","7","1","19","6","2024-08-27T14:04:44Z","2024-08-22T13:32:06Z"
"*/ShellGen.ps1*",".{0,1000}\/ShellGen\.ps1.{0,1000}","offensive_tool_keyword","ShellGen","PowerShell script to generate ShellCode in various formats","T1059.001 - T1588","TA0042","N/A","N/A","Resource Development","https://github.com/Leo4j/ShellGen","1","1","N/A","N/A","7","1","19","6","2024-08-27T14:04:44Z","2024-08-22T13:32:06Z"
"*\ShellGen.ps1*",".{0,1000}\\ShellGen\.ps1.{0,1000}","offensive_tool_keyword","ShellGen","PowerShell script to generate ShellCode in various formats","T1059.001 - T1588","TA0042","N/A","N/A","Resource Development","https://github.com/Leo4j/ShellGen","1","0","N/A","N/A","7","1","19","6","2024-08-27T14:04:44Z","2024-08-22T13:32:06Z"
"*\ShellGen-main.zip*",".{0,1000}\\ShellGen\-main\.zip.{0,1000}","offensive_tool_keyword","ShellGen","PowerShell script to generate ShellCode in various formats","T1059.001 - T1588","TA0042","N/A","N/A","Resource Development","https://github.com/Leo4j/ShellGen","1","0","N/A","N/A","7","1","19","6","2024-08-27T14:04:44Z","2024-08-22T13:32:06Z"
"*59c03a973a4c6ad7327812d568a8bcdd9c21af006853ce459014183bef699a24*",".{0,1000}59c03a973a4c6ad7327812d568a8bcdd9c21af006853ce459014183bef699a24.{0,1000}","offensive_tool_keyword","ShellGen","PowerShell script to generate ShellCode in various formats","T1059.001 - T1588","TA0042","N/A","N/A","Resource Development","https://github.com/Leo4j/ShellGen","1","0","#filehash","N/A","7","1","19","6","2024-08-27T14:04:44Z","2024-08-22T13:32:06Z"
"*Leo4j/ShellGen*",".{0,1000}Leo4j\/ShellGen.{0,1000}","offensive_tool_keyword","ShellGen","PowerShell script to generate ShellCode in various formats","T1059.001 - T1588","TA0042","N/A","N/A","Resource Development","https://github.com/Leo4j/ShellGen","1","1","N/A","N/A","7","1","19","6","2024-08-27T14:04:44Z","2024-08-22T13:32:06Z"
"*ShellGen -x64 -B64PwshCommand *",".{0,1000}ShellGen\s\-x64\s\-B64PwshCommand\s.{0,1000}","offensive_tool_keyword","ShellGen","PowerShell script to generate ShellCode in various formats","T1059.001 - T1588","TA0042","N/A","N/A","Resource Development","https://github.com/Leo4j/ShellGen","1","0","N/A","N/A","7","1","19","6","2024-08-27T14:04:44Z","2024-08-22T13:32:06Z"
"*ShellGen -x64 -CmdCommand *",".{0,1000}ShellGen\s\-x64\s\-CmdCommand\s.{0,1000}","offensive_tool_keyword","ShellGen","PowerShell script to generate ShellCode in various formats","T1059.001 - T1588","TA0042","N/A","N/A","Resource Development","https://github.com/Leo4j/ShellGen","1","0","N/A","N/A","7","1","19","6","2024-08-27T14:04:44Z","2024-08-22T13:32:06Z"
"*ShellGen -x64 -PwshCommand *",".{0,1000}ShellGen\s\-x64\s\-PwshCommand\s.{0,1000}","offensive_tool_keyword","ShellGen","PowerShell script to generate ShellCode in various formats","T1059.001 - T1588","TA0042","N/A","N/A","Resource Development","https://github.com/Leo4j/ShellGen","1","0","N/A","N/A","7","1","19","6","2024-08-27T14:04:44Z","2024-08-22T13:32:06Z"
