"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/Invoke-Maldaptive.git*",".{0,1000}\/Invoke\-Maldaptive\.git.{0,1000}","greyware_tool_keyword","Invoke-Maldaptive","MaLDAPtive is a framework for LDAP SearchFilter parsing - obfuscation - deobfuscation and detection.","T1027","TA0005 - TA0007","N/A","N/A","Discovery","https://github.com/MaLDAPtive/Invoke-Maldaptive","1","1","N/A","N/A","7","3","202","19","2024-08-07T21:12:45Z","2024-08-07T20:43:52Z"
"*\Invoke-Maldaptive-main*",".{0,1000}\\Invoke\-Maldaptive\-main.{0,1000}","greyware_tool_keyword","Invoke-Maldaptive","MaLDAPtive is a framework for LDAP SearchFilter parsing - obfuscation - deobfuscation and detection.","T1027","TA0005 - TA0007","N/A","N/A","Discovery","https://github.com/MaLDAPtive/Invoke-Maldaptive","1","0","N/A","N/A","7","3","202","19","2024-08-07T21:12:45Z","2024-08-07T20:43:52Z"
"*\Obfuscated_Command.txt*",".{0,1000}\\Obfuscated_Command\.txt.{0,1000}","greyware_tool_keyword","Invoke-Maldaptive","MaLDAPtive is a framework for LDAP SearchFilter parsing - obfuscation - deobfuscation and detection.","T1027","TA0005 - TA0007","N/A","N/A","Discovery","https://github.com/MaLDAPtive/Invoke-Maldaptive","1","0","N/A","N/A","7","3","202","19","2024-08-07T21:12:45Z","2024-08-07T20:43:52Z"
"*275de3390b20723991268204fb3f70b0ec76dba29f809ac0152588cecc22e87f*",".{0,1000}275de3390b20723991268204fb3f70b0ec76dba29f809ac0152588cecc22e87f.{0,1000}","greyware_tool_keyword","Invoke-Maldaptive","MaLDAPtive is a framework for LDAP SearchFilter parsing - obfuscation - deobfuscation and detection.","T1027","TA0005 - TA0007","N/A","N/A","Discovery","https://github.com/MaLDAPtive/Invoke-Maldaptive","1","0","#filehash","N/A","7","3","202","19","2024-08-07T21:12:45Z","2024-08-07T20:43:52Z"
"*50c178847f0454a84f85bc765699c1180ea1b49f91e7d70b5b9113845d008387*",".{0,1000}50c178847f0454a84f85bc765699c1180ea1b49f91e7d70b5b9113845d008387.{0,1000}","greyware_tool_keyword","Invoke-Maldaptive","MaLDAPtive is a framework for LDAP SearchFilter parsing - obfuscation - deobfuscation and detection.","T1027","TA0005 - TA0007","N/A","N/A","Discovery","https://github.com/MaLDAPtive/Invoke-Maldaptive","1","0","#filehash","N/A","7","3","202","19","2024-08-07T21:12:45Z","2024-08-07T20:43:52Z"
"*7215255a842142ffa7f7e1624942684279e9a2f14fa7947451a3194d0b608f52*",".{0,1000}7215255a842142ffa7f7e1624942684279e9a2f14fa7947451a3194d0b608f52.{0,1000}","greyware_tool_keyword","Invoke-Maldaptive","MaLDAPtive is a framework for LDAP SearchFilter parsing - obfuscation - deobfuscation and detection.","T1027","TA0005 - TA0007","N/A","N/A","Discovery","https://github.com/MaLDAPtive/Invoke-Maldaptive","1","0","#filehash","N/A","7","3","202","19","2024-08-07T21:12:45Z","2024-08-07T20:43:52Z"
"*db015ab1-abcd-1234-5678-133337c0ffee*",".{0,1000}db015ab1\-abcd\-1234\-5678\-133337c0ffee.{0,1000}","greyware_tool_keyword","Invoke-Maldaptive","MaLDAPtive is a framework for LDAP SearchFilter parsing - obfuscation - deobfuscation and detection.","T1027","TA0005 - TA0007","N/A","N/A","Discovery","https://github.com/MaLDAPtive/Invoke-Maldaptive","1","0","#GUIDproject","N/A","7","3","202","19","2024-08-07T21:12:45Z","2024-08-07T20:43:52Z"
"*Disable-LdapClientWinEvent -ProcessName *",".{0,1000}Disable\-LdapClientWinEvent\s\-ProcessName\s.{0,1000}","greyware_tool_keyword","Invoke-Maldaptive","MaLDAPtive is a framework for LDAP SearchFilter parsing - obfuscation - deobfuscation and detection.","T1027","TA0005 - TA0007","N/A","N/A","Discovery","https://github.com/MaLDAPtive/Invoke-Maldaptive","1","0","N/A","N/A","7","3","202","19","2024-08-07T21:12:45Z","2024-08-07T20:43:52Z"
"*e8f71ea9428bb466651b9cd3a2ed3a726d1a07712bd611330def1ebfcbc68b47*",".{0,1000}e8f71ea9428bb466651b9cd3a2ed3a726d1a07712bd611330def1ebfcbc68b47.{0,1000}","greyware_tool_keyword","Invoke-Maldaptive","MaLDAPtive is a framework for LDAP SearchFilter parsing - obfuscation - deobfuscation and detection.","T1027","TA0005 - TA0007","N/A","N/A","Discovery","https://github.com/MaLDAPtive/Invoke-Maldaptive","1","0","#filehash","N/A","7","3","202","19","2024-08-07T21:12:45Z","2024-08-07T20:43:52Z"
"*https://github.com/mandiant/SilkETW/releases/download/v0.8/SilkETW_SilkService_v8.zip*",".{0,1000}https\:\/\/github\.com\/mandiant\/SilkETW\/releases\/download\/v0\.8\/SilkETW_SilkService_v8\.zip.{0,1000}","greyware_tool_keyword","Invoke-Maldaptive","MaLDAPtive is a framework for LDAP SearchFilter parsing - obfuscation - deobfuscation and detection.","T1027","TA0005 - TA0007","N/A","N/A","Discovery","https://github.com/MaLDAPtive/Invoke-Maldaptive","1","1","N/A","N/A","7","3","202","19","2024-08-07T21:12:45Z","2024-08-07T20:43:52Z"
