"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"* fscan.exe*",".{0,1000}\sfscan\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"* fscan32.exe*",".{0,1000}\sfscan32\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"* fscan64.exe*",".{0,1000}\sfscan64\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"* fscanarm64.exe*",".{0,1000}\sfscanarm64\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"* fscanarmv6.exe*",".{0,1000}\sfscanarmv6\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"* fscanarmv7.exe*",".{0,1000}\sfscanarmv7\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*./fscan*",".{0,1000}\.\/fscan.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","#linux","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*/fscan.exe*",".{0,1000}\/fscan\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","1","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*/fscan.git*",".{0,1000}\/fscan\.git.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","1","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*/fscan/releases/download/*",".{0,1000}\/fscan\/releases\/download\/.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","1","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*/fscan_freebsd_arm64*",".{0,1000}\/fscan_freebsd_arm64.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*/fscan_mac_arm64*",".{0,1000}\/fscan_mac_arm64.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*/fscan32 *",".{0,1000}\/fscan32\s.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*/fscan32.exe*",".{0,1000}\/fscan32\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","1","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*/fscan386 *",".{0,1000}\/fscan386\s.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*/fscan64.exe*",".{0,1000}\/fscan64\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","1","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*/fscanamd64 *",".{0,1000}\/fscanamd64\s.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*/fscanarm64.exe*",".{0,1000}\/fscanarm64\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","1","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*/fscanarmv6.exe*",".{0,1000}\/fscanarmv6\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","1","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*/fscanarmv7.exe*",".{0,1000}\/fscanarmv7\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","1","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*[+] PocScan *",".{0,1000}\[\+\]\sPocScan\s.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","#content","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*[+] WmiExec *",".{0,1000}\[\+\]\sWmiExec\s.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","#content","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*\fscan.exe*",".{0,1000}\\fscan\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*\fscan\common\proxy*",".{0,1000}\\fscan\\common\\proxy.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*\fscan\WebScan\pocs\*",".{0,1000}\\fscan\\WebScan\\pocs\\.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*\fscan32.exe*",".{0,1000}\\fscan32\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*\fscan64.exe*",".{0,1000}\\fscan64\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*\fscanarm64.exe*",".{0,1000}\\fscanarm64\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*\fscanarmv6.exe*",".{0,1000}\\fscanarmv6\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*\fscanarmv7.exe*",".{0,1000}\\fscanarmv7\.exe.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","N/A","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
"*027bf95a524ee9daf472869e548c9221b16d4a5230de187e5ae9ba9a9e98cfba*",".{0,1000}027bf95a524ee9daf472869e548c9221b16d4a5230de187e5ae9ba9a9e98cfba.{0,1000}","offensive_tool_keyword","fscan","Vulnerability scanner","T1595","TA0042 - TA0007","N/A","Earth Lusca","Reconnaissance","https://github.com/shadow1ng/fscan","1","0","#filehash","N/A","8","10","10906","1625","2024-10-25T08:41:45Z","2020-11-13T16:35:20Z"
