"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/dnspot.git*",".{0,1000}\/dnspot\.git.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","1","N/A","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*/releases/download/v0.1.0/dnspot-*",".{0,1000}\/releases\/download\/v0\.1\.0\/dnspot\-.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","1","N/A","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*101ce1b9d0a8f8870b287bdc3308e443d3995cec57162678d83772df947a5ad4*",".{0,1000}101ce1b9d0a8f8870b287bdc3308e443d3995cec57162678d83772df947a5ad4.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*121a8382a9b50c51ffe0269efc4db9fafee9cb7dc1afe5ea5318b2d2439b22c7*",".{0,1000}121a8382a9b50c51ffe0269efc4db9fafee9cb7dc1afe5ea5318b2d2439b22c7.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*1515c3b59422ffaaa8ca8eea53ae86a27a2c107972aa84e6b9cca68c7c9d53a1*",".{0,1000}1515c3b59422ffaaa8ca8eea53ae86a27a2c107972aa84e6b9cca68c7c9d53a1.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*1f607d81f474d120730e81149d0597ad822da8fe41eacacc7dac394d0a2df4d1*",".{0,1000}1f607d81f474d120730e81149d0597ad822da8fe41eacacc7dac394d0a2df4d1.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*2329a9ff31f85b197f5d1ce5af29167de3027b0b80e786080ab2a7bd046b8dd9*",".{0,1000}2329a9ff31f85b197f5d1ce5af29167de3027b0b80e786080ab2a7bd046b8dd9.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*3874c97fddb57971c35e02b68b74709f05ed396c19dceacadf4d9432c5a0206f*",".{0,1000}3874c97fddb57971c35e02b68b74709f05ed396c19dceacadf4d9432c5a0206f.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*3a2d28a6ff81e99af6bbeb0d0087866389c0177104b8e657e302c20ae4f6381c*",".{0,1000}3a2d28a6ff81e99af6bbeb0d0087866389c0177104b8e657e302c20ae4f6381c.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*3dc7e0f43e9ebe086c137fa1af3bf410c3d566f1edbceeea7ea5e19d1f9ab5b8*",".{0,1000}3dc7e0f43e9ebe086c137fa1af3bf410c3d566f1edbceeea7ea5e19d1f9ab5b8.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*4a3192bb30ab0b91e3909e2b64b22ea7a262199c5edf5d2f54946dc5212bc7c5*",".{0,1000}4a3192bb30ab0b91e3909e2b64b22ea7a262199c5edf5d2f54946dc5212bc7c5.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*5154b1146c48faca26e0276ce7fecb023e5d3d2b62d3e2157df51650ba834e23*",".{0,1000}5154b1146c48faca26e0276ce7fecb023e5d3d2b62d3e2157df51650ba834e23.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*5193483fa2796f8c87502eb8efbd9f462dfaa8ea94e9ffdd28bfd2b569f8df54*",".{0,1000}5193483fa2796f8c87502eb8efbd9f462dfaa8ea94e9ffdd28bfd2b569f8df54.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*51ae11608f904fb4fe9bc6ff63dacd0e318921b2aefcb81481106a1073205ae8*",".{0,1000}51ae11608f904fb4fe9bc6ff63dacd0e318921b2aefcb81481106a1073205ae8.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*526feda402303812eac1b6663f2de7deac3bb433fcb9855625ff7d8201245416*",".{0,1000}526feda402303812eac1b6663f2de7deac3bb433fcb9855625ff7d8201245416.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*542c779d785acb08e773a28f3de3c51c64ebbb2bbea0bd3ff70dc87f830add68*",".{0,1000}542c779d785acb08e773a28f3de3c51c64ebbb2bbea0bd3ff70dc87f830add68.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*5506149199922b7560a4f6d669fb7f7b61f77668c5f8cb5a81128d0bdc1a2b2f*",".{0,1000}5506149199922b7560a4f6d669fb7f7b61f77668c5f8cb5a81128d0bdc1a2b2f.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*55cb93078b605122dcef64a6680ca4dd2217fc0668704b0363bb227811b180a3*",".{0,1000}55cb93078b605122dcef64a6680ca4dd2217fc0668704b0363bb227811b180a3.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*59eb20e71e9284537d2626e19a2c12a633c7568d115d939e95cfc51ee1f53c61*",".{0,1000}59eb20e71e9284537d2626e19a2c12a633c7568d115d939e95cfc51ee1f53c61.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
"*5a8f375901afcfe1a4152984d4cb6c1d6c0084964fe76b689bd7bdef6a83b959*",".{0,1000}5a8f375901afcfe1a4152984d4cb6c1d6c0084964fe76b689bd7bdef6a83b959.{0,1000}","offensive_tool_keyword","dnspot","End-to-end Encrypted DNS Tunnelling and C2 framework","T1071.004 - T1090.002 - T1573.002","TA0011 - TA0010 - TA0005","N/A","N/A","C2","https://github.com/mosajjal/dnspot","1","0","#filehash","N/A","10","10","63","15","2024-10-13T06:33:58Z","2021-09-25T08:49:43Z"
