"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/SharpThief.git*",".{0,1000}\/SharpThief\.git.{0,1000}","offensive_tool_keyword","SharpThief","A one-click program to steal the icon, resource information, version information, modification time, and digital signature (invalid) to make the program appear legitimate","T1036 - T1070 - T1078 - T1027 - T1202","TA0005 - TA0002 - TA0001","N/A","N/A","Defense Evasion","https://github.com/INotGreen/SharpThief","1","1","N/A","N/A","8","4","319","28","2024-03-19T02:55:26Z","2024-03-05T05:34:50Z"
"*/SharpThief/tarball*",".{0,1000}\/SharpThief\/tarball.{0,1000}","offensive_tool_keyword","SharpThief","A one-click program to steal the icon, resource information, version information, modification time, and digital signature (invalid) to make the program appear legitimate","T1036 - T1070 - T1078 - T1027 - T1202","TA0005 - TA0002 - TA0001","N/A","N/A","Defense Evasion","https://github.com/INotGreen/SharpThief","1","1","N/A","N/A","8","4","319","28","2024-03-19T02:55:26Z","2024-03-05T05:34:50Z"
"*/SharpThief/zipball*",".{0,1000}\/SharpThief\/zipball.{0,1000}","offensive_tool_keyword","SharpThief","A one-click program to steal the icon, resource information, version information, modification time, and digital signature (invalid) to make the program appear legitimate","T1036 - T1070 - T1078 - T1027 - T1202","TA0005 - TA0002 - TA0001","N/A","N/A","Defense Evasion","https://github.com/INotGreen/SharpThief","1","1","N/A","N/A","8","4","319","28","2024-03-19T02:55:26Z","2024-03-05T05:34:50Z"
"*\SharpThief\*",".{0,1000}\\SharpThief\\.{0,1000}","offensive_tool_keyword","SharpThief","A one-click program to steal the icon, resource information, version information, modification time, and digital signature (invalid) to make the program appear legitimate","T1036 - T1070 - T1078 - T1027 - T1202","TA0005 - TA0002 - TA0001","N/A","N/A","Defense Evasion","https://github.com/INotGreen/SharpThief","1","0","N/A","N/A","8","4","319","28","2024-03-19T02:55:26Z","2024-03-05T05:34:50Z"
"*\SharpThief-main*",".{0,1000}\\SharpThief\-main.{0,1000}","offensive_tool_keyword","SharpThief","A one-click program to steal the icon, resource information, version information, modification time, and digital signature (invalid) to make the program appear legitimate","T1036 - T1070 - T1078 - T1027 - T1202","TA0005 - TA0002 - TA0001","N/A","N/A","Defense Evasion","https://github.com/INotGreen/SharpThief","1","0","N/A","N/A","8","4","319","28","2024-03-19T02:55:26Z","2024-03-05T05:34:50Z"
"*>SharpThief<*",".{0,1000}\>SharpThief\<.{0,1000}","offensive_tool_keyword","SharpThief","A one-click program to steal the icon, resource information, version information, modification time, and digital signature (invalid) to make the program appear legitimate","T1036 - T1070 - T1078 - T1027 - T1202","TA0005 - TA0002 - TA0001","N/A","N/A","Defense Evasion","https://github.com/INotGreen/SharpThief","1","0","#description","N/A","8","4","319","28","2024-03-19T02:55:26Z","2024-03-05T05:34:50Z"
"*025280A3-24F7-4C55-9B5E-D08124A52546*",".{0,1000}025280A3\-24F7\-4C55\-9B5E\-D08124A52546.{0,1000}","offensive_tool_keyword","SharpThief","A one-click program to steal the icon, resource information, version information, modification time, and digital signature (invalid) to make the program appear legitimate","T1036 - T1070 - T1078 - T1027 - T1202","TA0005 - TA0002 - TA0001","N/A","N/A","Defense Evasion","https://github.com/INotGreen/SharpThief","1","0","#GUIDproject","N/A","8","4","319","28","2024-03-19T02:55:26Z","2024-03-05T05:34:50Z"
"*2759a95c63a2af0eed9d3202d961ddb72d4da05ea44653d400f9003e0a492064*",".{0,1000}2759a95c63a2af0eed9d3202d961ddb72d4da05ea44653d400f9003e0a492064.{0,1000}","offensive_tool_keyword","SharpThief","A one-click program to steal the icon, resource information, version information, modification time, and digital signature (invalid) to make the program appear legitimate","T1036 - T1070 - T1078 - T1027 - T1202","TA0005 - TA0002 - TA0001","N/A","N/A","Defense Evasion","https://github.com/INotGreen/SharpThief","1","0","#filehash","N/A","8","4","319","28","2024-03-19T02:55:26Z","2024-03-05T05:34:50Z"
"*2990d1f4243fdfc99c3da1be020ee516ef530be55e2769d2526e4672e32b40f5*",".{0,1000}2990d1f4243fdfc99c3da1be020ee516ef530be55e2769d2526e4672e32b40f5.{0,1000}","offensive_tool_keyword","SharpThief","A one-click program to steal the icon, resource information, version information, modification time, and digital signature (invalid) to make the program appear legitimate","T1036 - T1070 - T1078 - T1027 - T1202","TA0005 - TA0002 - TA0001","N/A","N/A","Defense Evasion","https://github.com/INotGreen/SharpThief","1","0","#filehash","N/A","8","4","319","28","2024-03-19T02:55:26Z","2024-03-05T05:34:50Z"
"*5374b615af370b5b03281366c6561f4ebb4f0f2716e8005f07cc4572d865b80a*",".{0,1000}5374b615af370b5b03281366c6561f4ebb4f0f2716e8005f07cc4572d865b80a.{0,1000}","offensive_tool_keyword","SharpThief","A one-click program to steal the icon, resource information, version information, modification time, and digital signature (invalid) to make the program appear legitimate","T1036 - T1070 - T1078 - T1027 - T1202","TA0005 - TA0002 - TA0001","N/A","N/A","Defense Evasion","https://github.com/INotGreen/SharpThief","1","0","#filehash","N/A","8","4","319","28","2024-03-19T02:55:26Z","2024-03-05T05:34:50Z"
