"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/WMEye.git*",".{0,1000}\/WMEye\.git.{0,1000}","offensive_tool_keyword","WMEye","WMEye is a post exploitation tool that uses WMI Event Filter and MSBuild Execution for Lateral Movement","T1047 - T1053.005 - T1124 - T1203 - T1569.002","TA0008 - TA0011","N/A","N/A","Lateral Movement","https://github.com/pwn1sher/WMEye","1","1","N/A","N/A","8","4","359","56","2021-12-24T05:38:50Z","2021-09-07T08:18:30Z"
"*/wmeye/*",".{0,1000}\/wmeye\/.{0,1000}","offensive_tool_keyword","WMEye","WMEye is a post exploitation tool that uses WMI Event Filter and MSBuild Execution for Lateral Movement","T1047 - T1053.005 - T1124 - T1203 - T1569.002","TA0008 - TA0011","N/A","N/A","Lateral Movement","https://github.com/pwn1sher/WMEye","1","1","N/A","N/A","8","4","359","56","2021-12-24T05:38:50Z","2021-09-07T08:18:30Z"
"*[X] ShellCode Property Created*",".{0,1000}\[X\]\sShellCode\sProperty\sCreated.{0,1000}","offensive_tool_keyword","WMEye","WMEye is a post exploitation tool that uses WMI Event Filter and MSBuild Execution for Lateral Movement","T1047 - T1053.005 - T1124 - T1203 - T1569.002","TA0008 - TA0011","N/A","N/A","Lateral Movement","https://github.com/pwn1sher/WMEye","1","0","N/A","N/A","8","4","359","56","2021-12-24T05:38:50Z","2021-09-07T08:18:30Z"
"*[X] Uploading Shellcode into target*",".{0,1000}\[X\]\sUploading\sShellcode\sinto\starget.{0,1000}","offensive_tool_keyword","WMEye","WMEye is a post exploitation tool that uses WMI Event Filter and MSBuild Execution for Lateral Movement","T1047 - T1053.005 - T1124 - T1203 - T1569.002","TA0008 - TA0011","N/A","N/A","Lateral Movement","https://github.com/pwn1sher/WMEye","1","0","N/A","N/A","8","4","359","56","2021-12-24T05:38:50Z","2021-09-07T08:18:30Z"
"*\wmeye.csproj*",".{0,1000}\\wmeye\.csproj.{0,1000}","offensive_tool_keyword","WMEye","WMEye is a post exploitation tool that uses WMI Event Filter and MSBuild Execution for Lateral Movement","T1047 - T1053.005 - T1124 - T1203 - T1569.002","TA0008 - TA0011","N/A","N/A","Lateral Movement","https://github.com/pwn1sher/WMEye","1","0","N/A","N/A","8","4","359","56","2021-12-24T05:38:50Z","2021-09-07T08:18:30Z"
"*\wmeye.pdb*",".{0,1000}\\wmeye\.pdb.{0,1000}","offensive_tool_keyword","WMEye","WMEye is a post exploitation tool that uses WMI Event Filter and MSBuild Execution for Lateral Movement","T1047 - T1053.005 - T1124 - T1203 - T1569.002","TA0008 - TA0011","N/A","N/A","Lateral Movement","https://github.com/pwn1sher/WMEye","1","0","N/A","N/A","8","4","359","56","2021-12-24T05:38:50Z","2021-09-07T08:18:30Z"
"*080de56a40e4ff15b0157da0224988a36f3e7c2347d58824ab3880f338d3eaec*",".{0,1000}080de56a40e4ff15b0157da0224988a36f3e7c2347d58824ab3880f338d3eaec.{0,1000}","offensive_tool_keyword","WMEye","WMEye is a post exploitation tool that uses WMI Event Filter and MSBuild Execution for Lateral Movement","T1047 - T1053.005 - T1124 - T1203 - T1569.002","TA0008 - TA0011","N/A","N/A","Lateral Movement","https://github.com/pwn1sher/WMEye","1","0","#filehash","N/A","8","4","359","56","2021-12-24T05:38:50Z","2021-09-07T08:18:30Z"
"*928120DC-5275-4806-B99B-12D67B710DC0*",".{0,1000}928120DC\-5275\-4806\-B99B\-12D67B710DC0.{0,1000}","offensive_tool_keyword","WMEye","WMEye is a post exploitation tool that uses WMI Event Filter and MSBuild Execution for Lateral Movement","T1047 - T1053.005 - T1124 - T1203 - T1569.002","TA0008 - TA0011","N/A","N/A","Lateral Movement","https://github.com/pwn1sher/WMEye","1","0","#GUIDproject","N/A","8","4","359","56","2021-12-24T05:38:50Z","2021-09-07T08:18:30Z"
"*namespace WmEye*",".{0,1000}namespace\sWmEye.{0,1000}","offensive_tool_keyword","WMEye","WMEye is a post exploitation tool that uses WMI Event Filter and MSBuild Execution for Lateral Movement","T1047 - T1053.005 - T1124 - T1203 - T1569.002","TA0008 - TA0011","N/A","N/A","Lateral Movement","https://github.com/pwn1sher/WMEye","1","0","N/A","N/A","8","4","359","56","2021-12-24T05:38:50Z","2021-09-07T08:18:30Z"
"*OiCAAAAYInlMcBki1Awi1IMi1IUi3IoD7dKJjH/rDxhfAIsIMHPDQHH4vJSV4tSEItKPItMEXjjSAHRUYtZIAHTi0kY4zpJizSLAdYx*",".{0,1000}OiCAAAAYInlMcBki1Awi1IMi1IUi3IoD7dKJjH\/rDxhfAIsIMHPDQHH4vJSV4tSEItKPItMEXjjSAHRUYtZIAHTi0kY4zpJizSLAdYx.{0,1000}","offensive_tool_keyword","WMEye","WMEye is a post exploitation tool that uses WMI Event Filter and MSBuild Execution for Lateral Movement","T1047 - T1053.005 - T1124 - T1203 - T1569.002","TA0008 - TA0011","N/A","N/A","Lateral Movement","https://github.com/pwn1sher/WMEye","1","0","N/A","N/A","8","4","359","56","2021-12-24T05:38:50Z","2021-09-07T08:18:30Z"
"*public class WmEye*",".{0,1000}public\sclass\sWmEye.{0,1000}","offensive_tool_keyword","WMEye","WMEye is a post exploitation tool that uses WMI Event Filter and MSBuild Execution for Lateral Movement","T1047 - T1053.005 - T1124 - T1203 - T1569.002","TA0008 - TA0011","N/A","N/A","Lateral Movement","https://github.com/pwn1sher/WMEye","1","0","N/A","N/A","8","4","359","56","2021-12-24T05:38:50Z","2021-09-07T08:18:30Z"
"*pwn1sher/WMEye*",".{0,1000}pwn1sher\/WMEye.{0,1000}","offensive_tool_keyword","WMEye","WMEye is a post exploitation tool that uses WMI Event Filter and MSBuild Execution for Lateral Movement","T1047 - T1053.005 - T1124 - T1203 - T1569.002","TA0008 - TA0011","N/A","N/A","Lateral Movement","https://github.com/pwn1sher/WMEye","1","1","N/A","N/A","8","4","359","56","2021-12-24T05:38:50Z","2021-09-07T08:18:30Z"
