"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/paensy.cpp*",".{0,1000}\/paensy\.cpp.{0,1000}","offensive_tool_keyword","Pateensy","payload for teensy like a rubber ducky but the syntax is different. this Human interfaes device ( HID attacks ). Penetration With Teensy","T1056.001 - T1200 - T1036 - T1071","TA0002 - TA0005 - TA0011 - TA0006","N/A","N/A","Exploitation tool","https://github.com/screetsec/Pateensy","1","1","N/A","N/A","N/A","2","137","60","2017-01-26T12:02:56Z","2016-03-21T07:29:38Z"
"*BadUSB_AddAdmin.ino*",".{0,1000}BadUSB_AddAdmin\.ino.{0,1000}","offensive_tool_keyword","Pateensy","payload for teensy like a rubber ducky but the syntax is different. this Human interfaes device ( HID attacks ). Penetration With Teensy","T1056.001 - T1200 - T1036 - T1071","TA0002 - TA0005 - TA0011 - TA0006","N/A","N/A","Exploitation tool","https://github.com/screetsec/Pateensy","1","1","N/A","N/A","N/A","2","137","60","2017-01-26T12:02:56Z","2016-03-21T07:29:38Z"
"*BadUSB_DownloadExecute.ino*",".{0,1000}BadUSB_DownloadExecute\.ino.{0,1000}","offensive_tool_keyword","Pateensy","payload for teensy like a rubber ducky but the syntax is different. this Human interfaes device ( HID attacks ). Penetration With Teensy","T1056.001 - T1200 - T1036 - T1071","TA0002 - TA0005 - TA0011 - TA0006","N/A","N/A","Exploitation tool","https://github.com/screetsec/Pateensy","1","1","N/A","N/A","N/A","2","137","60","2017-01-26T12:02:56Z","2016-03-21T07:29:38Z"
"*BadUSB_FacebookPost.ino*",".{0,1000}BadUSB_FacebookPost\.ino.{0,1000}","offensive_tool_keyword","Pateensy","payload for teensy like a rubber ducky but the syntax is different. this Human interfaes device ( HID attacks ). Penetration With Teensy","T1056.001 - T1200 - T1036 - T1071","TA0002 - TA0005 - TA0011 - TA0006","N/A","N/A","Exploitation tool","https://github.com/screetsec/Pateensy","1","1","N/A","N/A","N/A","2","137","60","2017-01-26T12:02:56Z","2016-03-21T07:29:38Z"
"*BadUSB_HideWindow.ino*",".{0,1000}BadUSB_HideWindow\.ino.{0,1000}","offensive_tool_keyword","Pateensy","payload for teensy like a rubber ducky but the syntax is different. this Human interfaes device ( HID attacks ). Penetration With Teensy","T1056.001 - T1200 - T1036 - T1071","TA0002 - TA0005 - TA0011 - TA0006","N/A","N/A","Exploitation tool","https://github.com/screetsec/Pateensy","1","1","N/A","N/A","N/A","2","137","60","2017-01-26T12:02:56Z","2016-03-21T07:29:38Z"
"*BadUSB_LockYourComputer.ino*",".{0,1000}BadUSB_LockYourComputer\.ino.{0,1000}","offensive_tool_keyword","Pateensy","payload for teensy like a rubber ducky but the syntax is different. this Human interfaes device ( HID attacks ). Penetration With Teensy","T1056.001 - T1200 - T1036 - T1071","TA0002 - TA0005 - TA0011 - TA0006","N/A","N/A","Exploitation tool","https://github.com/screetsec/Pateensy","1","1","N/A","N/A","N/A","2","137","60","2017-01-26T12:02:56Z","2016-03-21T07:29:38Z"
"*Bye_Explorer.ino*",".{0,1000}Bye_Explorer\.ino.{0,1000}","offensive_tool_keyword","Pateensy","payload for teensy like a rubber ducky but the syntax is different. this Human interfaes device ( HID attacks ). Penetration With Teensy","T1056.001 - T1200 - T1036 - T1071","TA0002 - TA0005 - TA0011 - TA0006","N/A","N/A","Exploitation tool","https://github.com/screetsec/Pateensy","1","1","N/A","N/A","N/A","2","137","60","2017-01-26T12:02:56Z","2016-03-21T07:29:38Z"
"*Pateensy/PaensyLib/*",".{0,1000}Pateensy\/PaensyLib\/.{0,1000}","offensive_tool_keyword","Pateensy","payload for teensy like a rubber ducky but the syntax is different. this Human interfaes device ( HID attacks ). Penetration With Teensy","T1056.001 - T1200 - T1036 - T1071","TA0002 - TA0005 - TA0011 - TA0006","N/A","N/A","Exploitation tool","https://github.com/screetsec/Pateensy","1","1","N/A","N/A","N/A","2","137","60","2017-01-26T12:02:56Z","2016-03-21T07:29:38Z"
"*powershell-admin-download-execute.ino*",".{0,1000}powershell\-admin\-download\-execute\.ino.{0,1000}","offensive_tool_keyword","Pateensy","payload for teensy like a rubber ducky but the syntax is different. this Human interfaes device ( HID attacks ). Penetration With Teensy","T1056.001 - T1200 - T1036 - T1071","TA0002 - TA0005 - TA0011 - TA0006","N/A","N/A","Exploitation tool","https://github.com/screetsec/Pateensy","1","1","N/A","N/A","N/A","2","137","60","2017-01-26T12:02:56Z","2016-03-21T07:29:38Z"
"*screetsec/Pateensy*",".{0,1000}screetsec\/Pateensy.{0,1000}","offensive_tool_keyword","Pateensy","payload for teensy like a rubber ducky but the syntax is different. this Human interfaes device ( HID attacks ). Penetration With Teensy","T1056.001 - T1200 - T1036 - T1071","TA0002 - TA0005 - TA0011 - TA0006","N/A","N/A","Exploitation tool","https://github.com/screetsec/Pateensy","1","1","N/A","N/A","N/A","2","137","60","2017-01-26T12:02:56Z","2016-03-21T07:29:38Z"
"*Teensypreter.ino*",".{0,1000}Teensypreter\.ino.{0,1000}","offensive_tool_keyword","Pateensy","payload for teensy like a rubber ducky but the syntax is different. this Human interfaes device ( HID attacks ). Penetration With Teensy","T1056.001 - T1200 - T1036 - T1071","TA0002 - TA0005 - TA0011 - TA0006","N/A","N/A","Exploitation tool","https://github.com/screetsec/Pateensy","1","1","N/A","N/A","N/A","2","137","60","2017-01-26T12:02:56Z","2016-03-21T07:29:38Z"
"*WiFi_Hacker.ino*",".{0,1000}WiFi_Hacker\.ino.{0,1000}","offensive_tool_keyword","Pateensy","payload for teensy like a rubber ducky but the syntax is different. this Human interfaes device ( HID attacks ). Penetration With Teensy","T1056.001 - T1200 - T1036 - T1071","TA0002 - TA0005 - TA0011 - TA0006","N/A","N/A","Exploitation tool","https://github.com/screetsec/Pateensy","1","1","N/A","N/A","N/A","2","137","60","2017-01-26T12:02:56Z","2016-03-21T07:29:38Z"
"*Windows7-BypassLogon-Screen.ino*",".{0,1000}Windows7\-BypassLogon\-Screen\.ino.{0,1000}","offensive_tool_keyword","Pateensy","payload for teensy like a rubber ducky but the syntax is different. this Human interfaes device ( HID attacks ). Penetration With Teensy","T1056.001 - T1200 - T1036 - T1071","TA0002 - TA0005 - TA0011 - TA0006","N/A","N/A","Exploitation tool","https://github.com/screetsec/Pateensy","1","1","N/A","N/A","N/A","2","137","60","2017-01-26T12:02:56Z","2016-03-21T07:29:38Z"
"*windows-forkbomb.ino*",".{0,1000}windows\-forkbomb\.ino.{0,1000}","offensive_tool_keyword","Pateensy","payload for teensy like a rubber ducky but the syntax is different. this Human interfaes device ( HID attacks ). Penetration With Teensy","T1056.001 - T1200 - T1036 - T1071","TA0002 - TA0005 - TA0011 - TA0006","N/A","N/A","Exploitation tool","https://github.com/screetsec/Pateensy","1","1","N/A","N/A","N/A","2","137","60","2017-01-26T12:02:56Z","2016-03-21T07:29:38Z"
"*You_spin_me__round.ino*",".{0,1000}You_spin_me__round\.ino.{0,1000}","offensive_tool_keyword","Pateensy","payload for teensy like a rubber ducky but the syntax is different. this Human interfaes device ( HID attacks ). Penetration With Teensy","T1056.001 - T1200 - T1036 - T1071","TA0002 - TA0005 - TA0011 - TA0006","N/A","N/A","Exploitation tool","https://github.com/screetsec/Pateensy","1","1","N/A","N/A","N/A","2","137","60","2017-01-26T12:02:56Z","2016-03-21T07:29:38Z"
