"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*\Potato.exe*",".{0,1000}\\Potato\.exe.{0,1000}","offensive_tool_keyword","potato","Potato Privilege Escalation on Windows","T1134.001 - T1068  - T1055 - T1546.015","TA0004","N/A","N/A","Privilege Escalation","https://github.com/foxglovesec/Potato","1","0","N/A","N/A","7","8","714","164","2021-01-16T20:34:04Z","2016-02-09T11:28:17Z"
"*\Potato\obj\Release\Potato.pdb*",".{0,1000}\\Potato\\obj\\Release\\Potato\.pdb.{0,1000}","offensive_tool_keyword","potato","Potato Privilege Escalation on Windows","T1134.001 - T1068  - T1055 - T1546.015","TA0004","N/A","N/A","Privilege Escalation","https://github.com/foxglovesec/Potato","1","0","#content","N/A","7","8","714","164","2021-01-16T20:34:04Z","2016-02-09T11:28:17Z"
"*127.0.0.1/C$/Windows/System32/utilman.exe*",".{0,1000}127\.0\.0\.1\/C\$\/Windows\/System32\/utilman\.exe.{0,1000}","offensive_tool_keyword","potato","Potato Privilege Escalation on Windows","T1134.001 - T1068  - T1055 - T1546.015","TA0004","N/A","N/A","Privilege Escalation","https://github.com/foxglovesec/Potato","1","0","#content","N/A","7","8","714","164","2021-01-16T20:34:04Z","2016-02-09T11:28:17Z"
"*58ba7d7a43c3cbf5ffba7351a6509d04290b41ac5565735c6b6b66ffaf2daaca*",".{0,1000}58ba7d7a43c3cbf5ffba7351a6509d04290b41ac5565735c6b6b66ffaf2daaca.{0,1000}","offensive_tool_keyword","potato","Potato Privilege Escalation on Windows","T1134.001 - T1068  - T1055 - T1546.015","TA0004","N/A","N/A","Privilege Escalation","https://github.com/foxglovesec/Potato","1","0","#filehash","N/A","7","8","714","164","2021-01-16T20:34:04Z","2016-02-09T11:28:17Z"
"*7e21c5b9cf9cb3cc0b3c6909fdf3a7820c6feaa45e86722ed4e7a43d39aee819*",".{0,1000}7e21c5b9cf9cb3cc0b3c6909fdf3a7820c6feaa45e86722ed4e7a43d39aee819.{0,1000}","offensive_tool_keyword","potato","Potato Privilege Escalation on Windows","T1134.001 - T1068  - T1055 - T1546.015","TA0004","N/A","N/A","Privilege Escalation","https://github.com/foxglovesec/Potato","1","0","#filehash","N/A","7","8","714","164","2021-01-16T20:34:04Z","2016-02-09T11:28:17Z"
"*893CC775-335D-4010-9751-D8C8E2A04048*",".{0,1000}893CC775\-335D\-4010\-9751\-D8C8E2A04048.{0,1000}","offensive_tool_keyword","potato","Potato Privilege Escalation on Windows","T1134.001 - T1068  - T1055 - T1546.015","TA0004","N/A","N/A","Privilege Escalation","https://github.com/foxglovesec/Potato","1","0","#GUIDproject","N/A","7","8","714","164","2021-01-16T20:34:04Z","2016-02-09T11:28:17Z"
"*c391bff39add68d2e9bd97ecfbc98850c2b80f831007df95704eedbc7e93617b*",".{0,1000}c391bff39add68d2e9bd97ecfbc98850c2b80f831007df95704eedbc7e93617b.{0,1000}","offensive_tool_keyword","potato","Potato Privilege Escalation on Windows","T1134.001 - T1068  - T1055 - T1546.015","TA0004","N/A","N/A","Privilege Escalation","https://github.com/foxglovesec/Potato","1","0","#filehash","N/A","7","8","714","164","2021-01-16T20:34:04Z","2016-02-09T11:28:17Z"
"*foxglovesec/Potato*",".{0,1000}foxglovesec\/Potato.{0,1000}","offensive_tool_keyword","potato","Potato Privilege Escalation on Windows","T1134.001 - T1068  - T1055 - T1546.015","TA0004","N/A","N/A","Privilege Escalation","https://github.com/foxglovesec/Potato","1","1","N/A","N/A","7","8","714","164","2021-01-16T20:34:04Z","2016-02-09T11:28:17Z"
"*http://127.0.0.1/wpad.dat*",".{0,1000}http\:\/\/127\.0\.0\.1\/wpad\.dat.{0,1000}","offensive_tool_keyword","potato","Potato Privilege Escalation on Windows","T1134.001 - T1068  - T1055 - T1546.015","TA0004","N/A","N/A","Privilege Escalation","https://github.com/foxglovesec/Potato","1","0","#content","N/A","7","8","714","164","2021-01-16T20:34:04Z","2016-02-09T11:28:17Z"
"*potato.exe -ip *",".{0,1000}potato\.exe\s\-ip\s.{0,1000}","offensive_tool_keyword","potato","Potato Privilege Escalation on Windows","T1134.001 - T1068  - T1055 - T1546.015","TA0004","N/A","N/A","Privilege Escalation","https://github.com/foxglovesec/Potato","1","0","N/A","N/A","7","8","714","164","2021-01-16T20:34:04Z","2016-02-09T11:28:17Z"
"*Starting NBNS spoofer*",".{0,1000}Starting\sNBNS\sspoofer.{0,1000}","offensive_tool_keyword","potato","Potato Privilege Escalation on Windows","T1134.001 - T1068  - T1055 - T1546.015","TA0004","N/A","N/A","Privilege Escalation","https://github.com/foxglovesec/Potato","1","0","#content","N/A","7","8","714","164","2021-01-16T20:34:04Z","2016-02-09T11:28:17Z"
