"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/kalilinux/packages/winexe*",".{0,1000}\/kalilinux\/packages\/winexe.{0,1000}","offensive_tool_keyword","winexe","Winexe remotely executes commands on Windows systems from GNU/Linux","T1059.004 - T1021.005 - T1078.003","TA0002 - TA0008 - TA0011","N/A","APT28","Lateral Movement","https://www.kali.org/tools/winexe/","1","1","N/A","N/A","8","8","N/A","N/A","N/A","N/A"
"*/winexe.git*",".{0,1000}\/winexe\.git.{0,1000}","offensive_tool_keyword","winexe","Winexe remotely executes commands on Windows systems from GNU/Linux","T1059.004 - T1021.005 - T1078.003","TA0002 - TA0008 - TA0011","N/A","APT28","Lateral Movement","https://www.kali.org/tools/winexe/","1","1","N/A","N/A","8","8","N/A","N/A","N/A","N/A"
"*skalkoto/winexe*",".{0,1000}skalkoto\/winexe.{0,1000}","offensive_tool_keyword","winexe","Winexe remotely executes commands on Windows systems from GNU/Linux","T1059.004 - T1021.005 - T1078.003","TA0002 - TA0008 - TA0011","N/A","APT28","Lateral Movement","https://www.kali.org/tools/winexe/","1","1","N/A","N/A","8","8","N/A","N/A","N/A","N/A"
"*apt install winexe*",".{0,1000}apt\sinstall\swinexe.{0,1000}","offensive_tool_keyword","winexe","Winexe remotely executes commands on Windows systems from GNU/Linux","T1059.004 - T1021.005 - T1078.003","TA0002 - TA0008 - TA0011","N/A","APT28","Lateral Movement","https://www.kali.org/tools/winexe/","1","0","N/A","N/A","8","8","N/A","N/A","N/A","N/A"
"*/winexe-1.00.tar.gz*",".{0,1000}\/winexe\-1\.00\.tar\.gz.{0,1000}","offensive_tool_keyword","winexe","Winexe remotely executes commands on Windows systems from GNU/Linux","T1059.004 - T1021.005 - T1078.003","TA0002 - TA0008 - TA0011","N/A","APT28","Lateral Movement","https://www.kali.org/tools/winexe/","1","1","N/A","N/A","8","8","N/A","N/A","N/A","N/A"
"*/winexe-0.91.tar.gz*",".{0,1000}\/winexe\-0\.91\.tar\.gz.{0,1000}","offensive_tool_keyword","winexe","Winexe remotely executes commands on Windows systems from GNU/Linux","T1059.004 - T1021.005 - T1078.003","TA0002 - TA0008 - TA0011","N/A","APT28","Lateral Movement","https://www.kali.org/tools/winexe/","1","1","N/A","N/A","8","8","N/A","N/A","N/A","N/A"
"*/winexe -U *",".{0,1000}\/winexe\s\-U\s.{0,1000}","offensive_tool_keyword","winexe","Winexe remotely executes commands on Windows systems from GNU/Linux","T1059.004 - T1021.005 - T1078.003","TA0002 - TA0008 - TA0011","N/A","APT28","Lateral Movement","https://www.kali.org/tools/winexe/","1","0","N/A","N/A","8","8","N/A","N/A","N/A","N/A"
"*winexesvc64.exe*",".{0,1000}winexesvc64\.exe.{0,1000}","offensive_tool_keyword","winexe","Winexe remotely executes commands on Windows systems from GNU/Linux","T1059.004 - T1021.005 - T1078.003","TA0002 - TA0008 - TA0011","N/A","APT28","Lateral Movement","https://www.kali.org/tools/winexe/","1","1","N/A","N/A","8","8","N/A","N/A","N/A","N/A"
"*winexesvc32.exe*",".{0,1000}winexesvc32\.exe.{0,1000}","offensive_tool_keyword","winexe","Winexe remotely executes commands on Windows systems from GNU/Linux","T1059.004 - T1021.005 - T1078.003","TA0002 - TA0008 - TA0011","N/A","APT28","Lateral Movement","https://www.kali.org/tools/winexe/","1","1","N/A","N/A","8","8","N/A","N/A","N/A","N/A"
"*99238bd3e1c0637041c737c86a05bd73a9375abc9794dca71d2765e22d87537e*",".{0,1000}99238bd3e1c0637041c737c86a05bd73a9375abc9794dca71d2765e22d87537e.{0,1000}","offensive_tool_keyword","winexe","Winexe remotely executes commands on Windows systems from GNU/Linux","T1059.004 - T1021.005 - T1078.003","TA0002 - TA0008 - TA0011","N/A","APT28","Lateral Movement","https://www.kali.org/tools/winexe/","1","0","#filehash","N/A","8","8","N/A","N/A","N/A","N/A"
"*\winexesvc.exe*",".{0,1000}\\winexesvc\.exe.{0,1000}","offensive_tool_keyword","winexe","Winexe remotely executes commands on Windows systems from GNU/Linux","T1059.004 - T1021.005 - T1078.003","TA0002 - TA0008 - TA0011","N/A","APT28","Lateral Movement","https://www.kali.org/tools/winexe/","1","0","#servicename","N/A","8","8","N/A","N/A","N/A","N/A"
"*60f25c8a290ba6185b07da48663cfc4662e2853e324bef2a272aede4c15260d2*",".{0,1000}60f25c8a290ba6185b07da48663cfc4662e2853e324bef2a272aede4c15260d2.{0,1000}","offensive_tool_keyword","winexe","Winexe remotely executes commands on Windows systems from GNU/Linux","T1059.004 - T1021.005 - T1078.003","TA0002 - TA0008 - TA0011","N/A","APT28","Lateral Movement","https://www.kali.org/tools/winexe/","1","0","#filehash","N/A","8","8","N/A","N/A","N/A","N/A"
"*2077c0c96383793ffa5b0843740f9b095688df5f5accd1a74c65f634bbc42358*",".{0,1000}2077c0c96383793ffa5b0843740f9b095688df5f5accd1a74c65f634bbc42358.{0,1000}","offensive_tool_keyword","winexe","Winexe remotely executes commands on Windows systems from GNU/Linux","T1059.004 - T1021.005 - T1078.003","TA0002 - TA0008 - TA0011","N/A","APT28","Lateral Movement","https://www.kali.org/tools/winexe/","1","0","#filehash","N/A","8","8","N/A","N/A","N/A","N/A"
"*https://sourceforge.net/projects/winexe*",".{0,1000}https\:\/\/sourceforge\.net\/projects\/winexe.{0,1000}","offensive_tool_keyword","winexe","Winexe remotely executes commands on Windows systems from GNU/Linux","T1059.004 - T1021.005 - T1078.003","TA0002 - TA0008 - TA0011","N/A","APT28","Lateral Movement","https://www.kali.org/tools/winexe/","1","1","N/A","N/A","8","8","N/A","N/A","N/A","N/A"
"*/winexe *--runas*",".{0,1000}\/winexe\s.{0,1000}\-\-runas.{0,1000}","offensive_tool_keyword","winexe","Winexe remotely executes commands on Windows systems from GNU/Linux","T1059.004 - T1021.005 - T1078.003","TA0002 - TA0008 - TA0011","N/A","APT28","Lateral Movement","https://www.kali.org/tools/winexe/","1","0","N/A","N/A","8","8","N/A","N/A","N/A","N/A"
"*>winexesvc<*",".{0,1000}\>winexesvc\<.{0,1000}","offensive_tool_keyword","winexe","Winexe remotely executes commands on Windows systems from GNU/Linux","T1059.004 - T1021.005 - T1078.003","TA0002 - TA0008 - TA0011","N/A","APT28","Lateral Movement","https://www.kali.org/tools/winexe/","1","0","#servicename","N/A","8","8","N/A","N/A","N/A","N/A"
