"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/DecryptAutoLogon.exe*",".{0,1000}\/DecryptAutoLogon\.exe.{0,1000}","offensive_tool_keyword","DecryptAutoLogon","Command line tool to extract/decrypt the password that was stored in the LSA by SysInternals AutoLogon","T1003.001 - T1555.003 - T1003.006","TA0006","N/A","N/A","Credential Access","https://github.com/securesean/DecryptAutoLogon","1","1","N/A","N/A","10","3","213","32","2020-12-05T16:14:28Z","2020-12-03T20:38:59Z"
"*/DecryptAutoLogon.git*",".{0,1000}\/DecryptAutoLogon\.git.{0,1000}","offensive_tool_keyword","DecryptAutoLogon","Command line tool to extract/decrypt the password that was stored in the LSA by SysInternals AutoLogon","T1003.001 - T1555.003 - T1003.006","TA0006","N/A","N/A","Credential Access","https://github.com/securesean/DecryptAutoLogon","1","1","N/A","N/A","10","3","213","32","2020-12-05T16:14:28Z","2020-12-03T20:38:59Z"
"*\DecryptAutoLogon.exe*",".{0,1000}\\DecryptAutoLogon\.exe.{0,1000}","offensive_tool_keyword","DecryptAutoLogon","Command line tool to extract/decrypt the password that was stored in the LSA by SysInternals AutoLogon","T1003.001 - T1555.003 - T1003.006","TA0006","N/A","N/A","Credential Access","https://github.com/securesean/DecryptAutoLogon","1","0","N/A","N/A","10","3","213","32","2020-12-05T16:14:28Z","2020-12-03T20:38:59Z"
"*\DecryptAutoLogon.sln*",".{0,1000}\\DecryptAutoLogon\.sln.{0,1000}","offensive_tool_keyword","DecryptAutoLogon","Command line tool to extract/decrypt the password that was stored in the LSA by SysInternals AutoLogon","T1003.001 - T1555.003 - T1003.006","TA0006","N/A","N/A","Credential Access","https://github.com/securesean/DecryptAutoLogon","1","0","N/A","N/A","10","3","213","32","2020-12-05T16:14:28Z","2020-12-03T20:38:59Z"
"*\DecryptAutoLogon.sln*",".{0,1000}\\DecryptAutoLogon\.sln.{0,1000}","offensive_tool_keyword","DecryptAutoLogon","Command line tool to extract/decrypt the password that was stored in the LSA by SysInternals AutoLogon","T1003.001 - T1555.003 - T1003.006","TA0006","N/A","N/A","Credential Access","https://github.com/securesean/DecryptAutoLogon","1","0","N/A","N/A","10","3","213","32","2020-12-05T16:14:28Z","2020-12-03T20:38:59Z"
"*\DecryptAutoLogon-main*",".{0,1000}\\DecryptAutoLogon\-main.{0,1000}","offensive_tool_keyword","DecryptAutoLogon","Command line tool to extract/decrypt the password that was stored in the LSA by SysInternals AutoLogon","T1003.001 - T1555.003 - T1003.006","TA0006","N/A","N/A","Credential Access","https://github.com/securesean/DecryptAutoLogon","1","0","N/A","N/A","10","3","213","32","2020-12-05T16:14:28Z","2020-12-03T20:38:59Z"
"*>DecryptAutoLogon<*",".{0,1000}\>DecryptAutoLogon\<.{0,1000}","offensive_tool_keyword","DecryptAutoLogon","Command line tool to extract/decrypt the password that was stored in the LSA by SysInternals AutoLogon","T1003.001 - T1555.003 - T1003.006","TA0006","N/A","N/A","Credential Access","https://github.com/securesean/DecryptAutoLogon","1","0","#productname","N/A","10","3","213","32","2020-12-05T16:14:28Z","2020-12-03T20:38:59Z"
"*015A37FC-53D0-499B-BFFE-AB88C5086040*",".{0,1000}015A37FC\-53D0\-499B\-BFFE\-AB88C5086040.{0,1000}","offensive_tool_keyword","DecryptAutoLogon","Command line tool to extract/decrypt the password that was stored in the LSA by SysInternals AutoLogon","T1003.001 - T1555.003 - T1003.006","TA0006","N/A","N/A","Credential Access","https://github.com/securesean/DecryptAutoLogon","1","0","#GUIDproject","N/A","10","3","213","32","2020-12-05T16:14:28Z","2020-12-03T20:38:59Z"
"*6f14aa417bc4b85c47ef65bfed84e2b7728b1cb8bdd1c0cfc6eb6cd7fd0db7c0*",".{0,1000}6f14aa417bc4b85c47ef65bfed84e2b7728b1cb8bdd1c0cfc6eb6cd7fd0db7c0.{0,1000}","offensive_tool_keyword","DecryptAutoLogon","Command line tool to extract/decrypt the password that was stored in the LSA by SysInternals AutoLogon","T1003.001 - T1555.003 - T1003.006","TA0006","N/A","N/A","Credential Access","https://github.com/securesean/DecryptAutoLogon","1","0","#filehash","N/A","10","3","213","32","2020-12-05T16:14:28Z","2020-12-03T20:38:59Z"
"*83b65d33d21b01395de5b5537e36f18eb8f16237a64f3a8f17991dc652d1a61a*",".{0,1000}83b65d33d21b01395de5b5537e36f18eb8f16237a64f3a8f17991dc652d1a61a.{0,1000}","offensive_tool_keyword","DecryptAutoLogon","Command line tool to extract/decrypt the password that was stored in the LSA by SysInternals AutoLogon","T1003.001 - T1555.003 - T1003.006","TA0006","N/A","N/A","Credential Access","https://github.com/securesean/DecryptAutoLogon","1","0","#filehash","N/A","10","3","213","32","2020-12-05T16:14:28Z","2020-12-03T20:38:59Z"
"*83b65d33d21b01395de5b5537e36f18eb8f16237a64f3a8f17991dc652d1a61a*",".{0,1000}83b65d33d21b01395de5b5537e36f18eb8f16237a64f3a8f17991dc652d1a61a.{0,1000}","offensive_tool_keyword","DecryptAutoLogon","Command line tool to extract/decrypt the password that was stored in the LSA by SysInternals AutoLogon","T1003.001 - T1555.003 - T1003.006","TA0006","N/A","N/A","Credential Access","https://github.com/securesean/DecryptAutoLogon","1","0","#filehash","N/A","10","3","213","32","2020-12-05T16:14:28Z","2020-12-03T20:38:59Z"
"*9b723acfd67b3a99b88251493db23b8af6fedc8e36395096acec7332f61b86ba*",".{0,1000}9b723acfd67b3a99b88251493db23b8af6fedc8e36395096acec7332f61b86ba.{0,1000}","offensive_tool_keyword","DecryptAutoLogon","Command line tool to extract/decrypt the password that was stored in the LSA by SysInternals AutoLogon","T1003.001 - T1555.003 - T1003.006","TA0006","N/A","N/A","Credential Access","https://github.com/securesean/DecryptAutoLogon","1","0","#filehash","N/A","10","3","213","32","2020-12-05T16:14:28Z","2020-12-03T20:38:59Z"
"*c749894ea43c267418df93c7dd6b74ef25826d6c4a5461226ec800ae2efd1921*",".{0,1000}c749894ea43c267418df93c7dd6b74ef25826d6c4a5461226ec800ae2efd1921.{0,1000}","offensive_tool_keyword","DecryptAutoLogon","Command line tool to extract/decrypt the password that was stored in the LSA by SysInternals AutoLogon","T1003.001 - T1555.003 - T1003.006","TA0006","N/A","N/A","Credential Access","https://github.com/securesean/DecryptAutoLogon","1","0","#filehash","N/A","10","3","213","32","2020-12-05T16:14:28Z","2020-12-03T20:38:59Z"
"*securesean/DecryptAutoLogon*",".{0,1000}securesean\/DecryptAutoLogon.{0,1000}","offensive_tool_keyword","DecryptAutoLogon","Command line tool to extract/decrypt the password that was stored in the LSA by SysInternals AutoLogon","T1003.001 - T1555.003 - T1003.006","TA0006","N/A","N/A","Credential Access","https://github.com/securesean/DecryptAutoLogon","1","1","N/A","N/A","10","3","213","32","2020-12-05T16:14:28Z","2020-12-03T20:38:59Z"
