"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*c9def37771dabf11171830fdd27b3b751955f40c577fae3f9691188ed3f90b08*","N/A","offensive_tool_keyword","SMBTrap","tool capturing authentication attempts and performing man-in-the-middle (MitM) attacks leveraging SMB services","T1071.001 - T1557.001 - T1040 - T1070.001 - T1205.001 - T1185","TA0006 - TA0008 - TA0011 - TA0005","N/A","ENERGETIC BEAR","Sniffing & Spoofing","https://github.com/cylance/SMBTrap","1","0","#filehash","N/A","8","1","83","38","2015-06-02T17:22:48Z","2015-04-13T07:08:01Z"
"*06f43329147155af22520cda36202f9af0bd46b5e30b3d3f202d2a463aa2729d*","N/A","offensive_tool_keyword","SMBTrap","tool capturing authentication attempts and performing man-in-the-middle (MitM) attacks leveraging SMB services","T1071.001 - T1557.001 - T1040 - T1070.001 - T1205.001 - T1185","TA0006 - TA0008 - TA0011 - TA0005","N/A","ENERGETIC BEAR","Sniffing & Spoofing","https://github.com/cylance/SMBTrap","1","0","#filehash","N/A","8","1","83","38","2015-06-02T17:22:48Z","2015-04-13T07:08:01Z"
"*de25283c258cc462a919df98ff3033b6f433cf0ab4d92e95a650099839c45e63*","N/A","offensive_tool_keyword","SMBTrap","tool capturing authentication attempts and performing man-in-the-middle (MitM) attacks leveraging SMB services","T1071.001 - T1557.001 - T1040 - T1070.001 - T1205.001 - T1185","TA0006 - TA0008 - TA0011 - TA0005","N/A","ENERGETIC BEAR","Sniffing & Spoofing","https://github.com/cylance/SMBTrap","1","0","#filehash","N/A","8","1","83","38","2015-06-02T17:22:48Z","2015-04-13T07:08:01Z"
"*432bb0868bd1152ce689dda88d274bb05671174c5c892c7db0575e50abcadf4c*","N/A","offensive_tool_keyword","SMBTrap","tool capturing authentication attempts and performing man-in-the-middle (MitM) attacks leveraging SMB services","T1071.001 - T1557.001 - T1040 - T1070.001 - T1205.001 - T1185","TA0006 - TA0008 - TA0011 - TA0005","N/A","ENERGETIC BEAR","Sniffing & Spoofing","https://github.com/cylance/SMBTrap","1","0","#filehash","N/A","8","1","83","38","2015-06-02T17:22:48Z","2015-04-13T07:08:01Z"
"*/SMBTrap.git*","N/A","offensive_tool_keyword","SMBTrap","tool capturing authentication attempts and performing man-in-the-middle (MitM) attacks leveraging SMB services","T1071.001 - T1557.001 - T1040 - T1070.001 - T1205.001 - T1185","TA0006 - TA0008 - TA0011 - TA0005","N/A","ENERGETIC BEAR","Sniffing & Spoofing","https://github.com/cylance/SMBTrap","1","1","N/A","N/A","8","1","83","38","2015-06-02T17:22:48Z","2015-04-13T07:08:01Z"
"*\smbtrap2.py*","N/A","offensive_tool_keyword","SMBTrap","tool capturing authentication attempts and performing man-in-the-middle (MitM) attacks leveraging SMB services","T1071.001 - T1557.001 - T1040 - T1070.001 - T1205.001 - T1185","TA0006 - TA0008 - TA0011 - TA0005","N/A","ENERGETIC BEAR","Sniffing & Spoofing","https://github.com/cylance/SMBTrap","1","0","N/A","N/A","8","1","83","38","2015-06-02T17:22:48Z","2015-04-13T07:08:01Z"
"* smbtrap2.py*","N/A","offensive_tool_keyword","SMBTrap","tool capturing authentication attempts and performing man-in-the-middle (MitM) attacks leveraging SMB services","T1071.001 - T1557.001 - T1040 - T1070.001 - T1205.001 - T1185","TA0006 - TA0008 - TA0011 - TA0005","N/A","ENERGETIC BEAR","Sniffing & Spoofing","https://github.com/cylance/SMBTrap","1","0","N/A","N/A","8","1","83","38","2015-06-02T17:22:48Z","2015-04-13T07:08:01Z"
"*/smbtrap2.py*","N/A","offensive_tool_keyword","SMBTrap","tool capturing authentication attempts and performing man-in-the-middle (MitM) attacks leveraging SMB services","T1071.001 - T1557.001 - T1040 - T1070.001 - T1205.001 - T1185","TA0006 - TA0008 - TA0011 - TA0005","N/A","ENERGETIC BEAR","Sniffing & Spoofing","https://github.com/cylance/SMBTrap","1","1","N/A","N/A","8","1","83","38","2015-06-02T17:22:48Z","2015-04-13T07:08:01Z"
"*/quickcrack.py*","N/A","offensive_tool_keyword","SMBTrap","tool capturing authentication attempts and performing man-in-the-middle (MitM) attacks leveraging SMB services","T1071.001 - T1557.001 - T1040 - T1070.001 - T1205.001 - T1185","TA0006 - TA0008 - TA0011 - TA0005","N/A","ENERGETIC BEAR","Sniffing & Spoofing","https://github.com/cylance/SMBTrap","1","1","N/A","N/A","8","1","83","38","2015-06-02T17:22:48Z","2015-04-13T07:08:01Z"
"*\quickcrack.py*","N/A","offensive_tool_keyword","SMBTrap","tool capturing authentication attempts and performing man-in-the-middle (MitM) attacks leveraging SMB services","T1071.001 - T1557.001 - T1040 - T1070.001 - T1205.001 - T1185","TA0006 - TA0008 - TA0011 - TA0005","N/A","ENERGETIC BEAR","Sniffing & Spoofing","https://github.com/cylance/SMBTrap","1","0","N/A","N/A","8","1","83","38","2015-06-02T17:22:48Z","2015-04-13T07:08:01Z"
"* quickcrack.py*","N/A","offensive_tool_keyword","SMBTrap","tool capturing authentication attempts and performing man-in-the-middle (MitM) attacks leveraging SMB services","T1071.001 - T1557.001 - T1040 - T1070.001 - T1205.001 - T1185","TA0006 - TA0008 - TA0011 - TA0005","N/A","ENERGETIC BEAR","Sniffing & Spoofing","https://github.com/cylance/SMBTrap","1","0","N/A","N/A","8","1","83","38","2015-06-02T17:22:48Z","2015-04-13T07:08:01Z"
"*cylance/SMBTrap*","N/A","offensive_tool_keyword","SMBTrap","tool capturing authentication attempts and performing man-in-the-middle (MitM) attacks leveraging SMB services","T1071.001 - T1557.001 - T1040 - T1070.001 - T1205.001 - T1185","TA0006 - TA0008 - TA0011 - TA0005","N/A","ENERGETIC BEAR","Sniffing & Spoofing","https://github.com/cylance/SMBTrap","1","1","N/A","N/A","8","1","83","38","2015-06-02T17:22:48Z","2015-04-13T07:08:01Z"
"*redirecttosmb.py *","N/A","offensive_tool_keyword","SMBTrap","tool capturing authentication attempts and performing man-in-the-middle (MitM) attacks leveraging SMB services","T1071.001 - T1557.001 - T1040 - T1070.001 - T1205.001 - T1185","TA0006 - TA0008 - TA0011 - TA0005","N/A","ENERGETIC BEAR","Sniffing & Spoofing","https://github.com/cylance/SMBTrap","1","0","N/A","N/A","8","1","83","38","2015-06-02T17:22:48Z","2015-04-13T07:08:01Z"
"*\redirecttosmb.py*","N/A","offensive_tool_keyword","SMBTrap","tool capturing authentication attempts and performing man-in-the-middle (MitM) attacks leveraging SMB services","T1071.001 - T1557.001 - T1040 - T1070.001 - T1205.001 - T1185","TA0006 - TA0008 - TA0011 - TA0005","N/A","ENERGETIC BEAR","Sniffing & Spoofing","https://github.com/cylance/SMBTrap","1","0","N/A","N/A","8","1","83","38","2015-06-02T17:22:48Z","2015-04-13T07:08:01Z"
"*/redirecttosmb.py*","N/A","offensive_tool_keyword","SMBTrap","tool capturing authentication attempts and performing man-in-the-middle (MitM) attacks leveraging SMB services","T1071.001 - T1557.001 - T1040 - T1070.001 - T1205.001 - T1185","TA0006 - TA0008 - TA0011 - TA0005","N/A","ENERGETIC BEAR","Sniffing & Spoofing","https://github.com/cylance/SMBTrap","1","1","N/A","N/A","8","1","83","38","2015-06-02T17:22:48Z","2015-04-13T07:08:01Z"
"* redirecttosmb.py*","N/A","offensive_tool_keyword","SMBTrap","tool capturing authentication attempts and performing man-in-the-middle (MitM) attacks leveraging SMB services","T1071.001 - T1557.001 - T1040 - T1070.001 - T1205.001 - T1185","TA0006 - TA0008 - TA0011 - TA0005","N/A","ENERGETIC BEAR","Sniffing & Spoofing","https://github.com/cylance/SMBTrap","1","0","N/A","N/A","8","1","83","38","2015-06-02T17:22:48Z","2015-04-13T07:08:01Z"
