"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/UnmanagedPowerShell.git*",".{0,1000}\/UnmanagedPowerShell\.git.{0,1000}","offensive_tool_keyword","UnmanagedPowerShell","Executes PowerShell from an unmanaged process","T1059 - T1086","TA0002 - TA0005","N/A","N/A","Defense Evasion","https://github.com/leechristensen/UnmanagedPowerShell","1","1","N/A","N/A","6","5","465","109","2016-03-17T05:20:55Z","2014-12-15T00:59:03Z"
"*\PowerShellRunnerDll.h*",".{0,1000}\\PowerShellRunnerDll\.h.{0,1000}","offensive_tool_keyword","UnmanagedPowerShell","Executes PowerShell from an unmanaged process","T1059 - T1086","TA0002 - TA0005","N/A","N/A","Defense Evasion","https://github.com/leechristensen/UnmanagedPowerShell","1","0","N/A","N/A","6","5","465","109","2016-03-17T05:20:55Z","2014-12-15T00:59:03Z"
"*\UnmanagedPowerShell.cpp*",".{0,1000}\\UnmanagedPowerShell\.cpp.{0,1000}","offensive_tool_keyword","UnmanagedPowerShell","Executes PowerShell from an unmanaged process","T1059 - T1086","TA0002 - TA0005","N/A","N/A","Defense Evasion","https://github.com/leechristensen/UnmanagedPowerShell","1","0","N/A","N/A","6","5","465","109","2016-03-17T05:20:55Z","2014-12-15T00:59:03Z"
"*\UnmanagedPowerShell.exe*",".{0,1000}\\UnmanagedPowerShell\.exe.{0,1000}","offensive_tool_keyword","UnmanagedPowerShell","Executes PowerShell from an unmanaged process","T1059 - T1086","TA0002 - TA0005","N/A","N/A","Defense Evasion","https://github.com/leechristensen/UnmanagedPowerShell","1","0","N/A","N/A","6","5","465","109","2016-03-17T05:20:55Z","2014-12-15T00:59:03Z"
"*\UnmanagedPowerShell.sln*",".{0,1000}\\UnmanagedPowerShell\.sln.{0,1000}","offensive_tool_keyword","UnmanagedPowerShell","Executes PowerShell from an unmanaged process","T1059 - T1086","TA0002 - TA0005","N/A","N/A","Defense Evasion","https://github.com/leechristensen/UnmanagedPowerShell","1","0","N/A","N/A","6","5","465","109","2016-03-17T05:20:55Z","2014-12-15T00:59:03Z"
"*\UnmanagedPowerShell.vcxproj*",".{0,1000}\\UnmanagedPowerShell\.vcxproj.{0,1000}","offensive_tool_keyword","UnmanagedPowerShell","Executes PowerShell from an unmanaged process","T1059 - T1086","TA0002 - TA0005","N/A","N/A","Defense Evasion","https://github.com/leechristensen/UnmanagedPowerShell","1","0","N/A","N/A","6","5","465","109","2016-03-17T05:20:55Z","2014-12-15T00:59:03Z"
"*5A9955E4-62B7-419D-AB73-01A6D7DD27FC*",".{0,1000}5A9955E4\-62B7\-419D\-AB73\-01A6D7DD27FC.{0,1000}","offensive_tool_keyword","UnmanagedPowerShell","Executes PowerShell from an unmanaged process","T1059 - T1086","TA0002 - TA0005","N/A","N/A","Defense Evasion","https://github.com/leechristensen/UnmanagedPowerShell","1","0","#GUIDproject","N/A","6","5","465","109","2016-03-17T05:20:55Z","2014-12-15T00:59:03Z"
"*692110b2f60de3d52ac15e84be38fab5f9a16249b2bb0011af047b174efceeda*",".{0,1000}692110b2f60de3d52ac15e84be38fab5f9a16249b2bb0011af047b174efceeda.{0,1000}","offensive_tool_keyword","UnmanagedPowerShell","Executes PowerShell from an unmanaged process","T1059 - T1086","TA0002 - TA0005","N/A","N/A","Defense Evasion","https://github.com/leechristensen/UnmanagedPowerShell","1","0","#filehash","N/A","6","5","465","109","2016-03-17T05:20:55Z","2014-12-15T00:59:03Z"
"*6EB55FE6-C11C-453B-8B32-22B689B6B3E2*",".{0,1000}6EB55FE6\-C11C\-453B\-8B32\-22B689B6B3E2.{0,1000}","offensive_tool_keyword","UnmanagedPowerShell","Executes PowerShell from an unmanaged process","T1059 - T1086","TA0002 - TA0005","N/A","N/A","Defense Evasion","https://github.com/leechristensen/UnmanagedPowerShell","1","0","#GUIDproject","N/A","6","5","465","109","2016-03-17T05:20:55Z","2014-12-15T00:59:03Z"
"*leechristensen/UnmanagedPowerShell*",".{0,1000}leechristensen\/UnmanagedPowerShell.{0,1000}","offensive_tool_keyword","UnmanagedPowerShell","Executes PowerShell from an unmanaged process","T1059 - T1086","TA0002 - TA0005","N/A","N/A","Defense Evasion","https://github.com/leechristensen/UnmanagedPowerShell","1","1","N/A","N/A","6","5","465","109","2016-03-17T05:20:55Z","2014-12-15T00:59:03Z"
